# percentages are of *new* total
# dir	file	added	deleted	changed	total
TOTAL		76’422	9’271	26’942	1’924’165
annotations	sr_Latn_BA.xml	0	0	0	8
annotations	sv.xml	385	15	9	6’458
annotations	sw.xml	483	107	38	7’052
annotations	sw_KE.xml	40	39	20	245
annotations	ta.xml	385	7	3	6’787
annotations	te.xml	383	14	4	6’576
annotations	th.xml	418	9	3	6’348
annotations	tk.xml	401	62	32	6’985
annotations	to.xml	298	87	89	3’255
annotations	tr.xml	441	7	3	7’014
annotations	uk.xml	526	165	9	7’655
annotations	ur.xml	451	62	11	6’884
annotations	uz.xml	666	211	13	7’438
annotations	vi.xml	401	7	4	6’911
annotations	yue.xml	372	0	1	6’858
annotations	yue_Hans.xml	366	0	0	6’901
annotations	zh.xml	372	2	0	6’908
annotations	zh_Hant.xml	365	1	0	4’952
annotations	zh_Hant_HK.xml	2	0	1	3’431
annotations	zu.xml	394	8	5	6’792
bcp47	calendar.xml	0	0	0	73
bcp47	collation.xml	0	0	0	158
bcp47	currency.xml	0	0	0	615
bcp47	measure.xml	0	0	0	10
bcp47	number.xml	0	0	0	176
bcp47	segmentation.xml	0	0	0	22
bcp47	timezone.xml	0	0	0	1’401
bcp47	transform-destination.xml	0	0	0	67
bcp47	transform.xml	0	0	0	48
bcp47	transform_hybrid.xml	0	0	0	5
bcp47	transform_ime.xml	0	0	0	10
bcp47	transform_keyboard.xml	0	0	0	60
bcp47	transform_mt.xml	0	0	0	4
bcp47	transform_private_use.xml	0	0	0	5
bcp47	variant.xml	0	0	0	20
collation	af.xml	1	0	0	1
collation	am.xml	1	0	0	1
collation	ar.xml	792	0	0	792
collation	as.xml	19	0	0	19
collation	az.xml	15	0	0	15
collation	be.xml	4	0	0	4
collation	bg.xml	2	0	0	2
collation	bn.xml	619	0	0	619
collation	bo.xml	1	0	0	1
collation	bs.xml	2	0	0	2
collation	bs_Cyrl.xml	1	0	0	1
collation	ca.xml	7	0	0	7
collation	ceb.xml	2	0	0	2
collation	chr.xml	1	0	0	1
collation	cs.xml	12	0	0	12
collation	cu.xml	20	0	0	20
collation	cy.xml	9	0	0	9
collation	da.xml	11	0	0	11
collation	de.xml	26	0	0	26
collation	de_AT.xml	4	0	0	4
collation	dsb.xml	9	0	0	9
collation	dz.xml	75	0	0	75
collation	ee.xml	11	0	0	11
collation	el.xml	2	0	0	2
collation	en_US_POSIX.xml	2	0	0	2
collation	eo.xml	6	0	0	6
collation	es.xml	11	0	0	11
collation	et.xml	2	0	0	2
collation	fa.xml	10	0	0	10
collation	fa_AF.xml	1	0	0	1
collation	fi.xml	22	0	0	22
collation	fil.xml	2	0	0	2
collation	fo.xml	13	0	0	13
collation	fr_CA.xml	1	0	0	1
collation	gl.xml	2	0	0	2
collation	gu.xml	28	0	0	28
collation	ha.xml	7	0	0	7
collation	haw.xml	2	0	0	2
collation	he.xml	9	0	0	9
collation	hi.xml	13	0	0	13
collation	hr.xml	10	0	0	10
collation	hsb.xml	8	0	0	8
collation	hu.xml	77	0	0	77
collation	hy.xml	2	0	0	2
collation	ig.xml	9	0	0	9
collation	is.xml	10	0	0	10
collation	ja.xml	423	0	0	423
collation	ka.xml	1	0	0	1
collation	kk.xml	5	0	0	5
collation	kl.xml	8	0	0	8
collation	km.xml	60	0	0	60
collation	kn.xml	642	0	0	642
collation	ko.xml	866	0	0	866
collation	kok.xml	22	0	0	22
collation	ku.xml	20	0	0	20
collation	ky.xml	3	0	0	3
collation	lkt.xml	5	0	0	5
collation	ln.xml	12	0	0	12
collation	lo.xml	1	0	0	1
collation	lt.xml	11	0	0	11
collation	lv.xml	10	0	0	10
collation	mk.xml	4	0	0	4
collation	ml.xml	29	0	0	29
collation	mn.xml	1	0	0	1
collation	mr.xml	26	0	0	26
collation	mt.xml	13	0	0	13
collation	my.xml	377	0	0	377
collation	nb.xml	7	0	0	7
collation	ne.xml	1	0	0	1
collation	nn.xml	2	0	0	2
collation	om.xml	1	0	0	1
collation	or.xml	15	0	0	15
collation	pa.xml	5	0	0	5
collation	pl.xml	9	0	0	9
collation	ps.xml	18	0	0	18
collation	ro.xml	5	0	0	5
collation	root.xml	1’285	0	0	1’285
collation	ru.xml	2	0	0	2
collation	se.xml	42	0	0	42
collation	si.xml	10	0	0	10
collation	sk.xml	25	0	0	25
collation	sl.xml	8	0	0	8
collation	smn.xml	8	0	0	8
collation	sq.xml	22	0	0	22
collation	sr.xml	2	0	0	2
collation	sr_Latn.xml	2	0	0	2
collation	sv.xml	14	0	0	14
collation	ta.xml	29	0	0	29
collation	te.xml	11	0	0	11
collation	th.xml	23	0	0	23
collation	tk.xml	8	0	0	8
collation	to.xml	7	0	0	7
collation	tr.xml	9	0	0	9
collation	ug.xml	4	0	0	4
collation	uk.xml	4	0	0	4
collation	ur.xml	7	0	0	7
collation	uz.xml	16	0	0	16
collation	vi.xml	21	0	0	21
collation	vo.xml	3	0	0	3
collation	wae.xml	10	0	0	10
collation	wo.xml	5	0	0	5
collation	yi.xml	17	0	0	17
collation	yo.xml	6	0	0	6
collation	zh.xml	9’906	0	0	9’906
collation	zh_Hant.xml	1	0	0	1
main	af.xml	58	0	508	4’693
main	af_NA.xml	0	0	0	11
main	agq.xml	0	0	2	492
main	ak.xml	0	0	2	489
main	am.xml	57	0	11	5’051
main	ar.xml	157	0	219	8’509
main	ar_AE.xml	0	0	0	13
main	ar_BH.xml	0	0	0	5
main	ar_DJ.xml	0	0	0	2
main	ar_DZ.xml	0	0	1	48
main	ar_EG.xml	0	0	0	6
main	ar_EH.xml	0	0	0	1
main	ar_ER.xml	0	0	0	2
main	ar_IL.xml	0	0	0	5
main	ar_IQ.xml	0	0	0	77
main	ar_JO.xml	0	0	0	77
main	ar_KM.xml	0	0	0	6
main	ar_KW.xml	0	0	0	5
main	ar_LB.xml	0	0	1	77
main	ar_LY.xml	0	0	1	23
main	ar_MA.xml	0	0	1	54
main	ar_MR.xml	0	0	1	76
main	ar_OM.xml	0	0	0	5
main	ar_PS.xml	0	0	0	73
main	ar_QA.xml	0	0	0	5
main	ar_SA.xml	0	0	354	422
main	ar_SD.xml	0	0	0	5
main	ar_SO.xml	0	0	1	4
main	ar_SS.xml	0	0	0	3
main	ar_SY.xml	0	0	0	77
main	ar_TD.xml	0	0	0	1
main	ar_TN.xml	0	0	1	48
main	ar_YE.xml	0	0	0	5
main	as.xml	15	0	17	4’437
main	asa.xml	0	0	1	505
main	ast.xml	0	0	4	7’146
main	az.xml	61	1	112	5’194
main	az_Cyrl.xml	0	0	2	1’007
main	bas.xml	0	0	2	494
main	be.xml	114	0	524	5’814
main	bem.xml	0	0	0	203
main	bez.xml	0	0	1	506
main	bg.xml	38	0	224	5’188
main	bm.xml	0	0	1	497
main	bn.xml	46	2	36	5’784
main	bn_IN.xml	0	0	0	3
main	bo.xml	0	0	1	423
main	bo_IN.xml	0	0	0	2
main	br.xml	213	0	1’339	10’931
main	brx.xml	0	0	2	2’061
main	bs.xml	40	0	24	6’196
main	bs_Cyrl.xml	62	0	1’141	4’303
main	ca.xml	63	0	64	5’626
main	ca_ES_VALENCIA.xml	0	0	0	180
main	ca_FR.xml	0	0	0	1
main	ccp.xml	3	0	4	4’582
main	ce.xml	0	0	3	2’881
main	ceb.xml	319	0	1’681	2’347
main	cgg.xml	0	0	1	498
main	chr.xml	39	0	29	4’506
main	ckb.xml	3	0	6	1’244
main	ckb_IR.xml	0	0	0	8
main	cs.xml	116	0	25	11’112
main	cu.xml	0	0	2	502
main	cy.xml	38	0	388	8’615
main	da.xml	33	0	82	5’653
main	dav.xml	0	0	1	494
main	de.xml	36	0	55	6’125
main	de_AT.xml	0	0	1	72
main	de_CH.xml	0	0	10	119
main	de_IT.xml	0	0	0	48
main	de_LI.xml	0	0	1	8
main	de_LU.xml	0	0	0	7
main	dje.xml	0	0	2	495
main	dsb.xml	0	0	4	4’251
main	dua.xml	0	0	1	171
main	dyo.xml	0	0	1	336
main	dz.xml	0	0	4	1’448
main	ebu.xml	0	0	1	493
main	ee.xml	0	0	4	3’635
main	ee_TG.xml	0	0	0	4
main	el.xml	46	0	48	5’736
main	en.xml	103	0	8	5’556
main	en_001.xml	6	0	126	699
main	en_150.xml	0	0	0	16
main	en_AE.xml	0	0	0	158
main	en_AG.xml	0	0	0	1
main	en_AI.xml	0	0	0	5
main	en_AT.xml	0	0	0	6
main	en_AU.xml	0	0	25	2’261
main	en_BB.xml	0	0	0	1
main	en_BE.xml	0	0	0	23
main	en_BI.xml	0	0	0	5
main	en_BM.xml	0	0	0	1
main	en_BS.xml	0	0	0	5
main	en_BW.xml	0	0	1	66
main	en_BZ.xml	0	0	1	72
main	en_CA.xml	9	0	6	743
main	en_CC.xml	0	0	0	5
main	en_CH.xml	0	0	0	4
main	en_CK.xml	0	0	0	5
main	en_CM.xml	0	0	0	10
main	en_CX.xml	0	0	0	5
main	en_DE.xml	0	0	0	4
main	en_DG.xml	0	0	0	4
main	en_DK.xml	0	0	0	36
main	en_DM.xml	0	0	0	1
main	en_ER.xml	0	0	0	7
main	en_FI.xml	0	0	1	35
main	en_FJ.xml	0	0	0	1
main	en_FK.xml	0	0	0	6
main	en_GB.xml	6	0	81	2’105
main	en_GD.xml	0	0	0	1
main	en_GG.xml	0	0	0	7
main	en_GH.xml	0	0	0	7
main	en_GI.xml	0	0	0	6
main	en_GM.xml	0	0	0	7
main	en_GU.xml	0	0	0	1
main	en_GY.xml	0	0	0	2
main	en_HK.xml	0	0	0	52
main	en_IE.xml	0	0	0	35
main	en_IL.xml	0	0	0	14
main	en_IM.xml	0	0	0	7
main	en_IN.xml	0	0	1	130
main	en_IO.xml	0	0	0	4
main	en_JE.xml	0	0	0	7
main	en_JM.xml	0	0	0	28
main	en_KE.xml	0	0	0	11
main	en_KI.xml	0	0	0	1
main	en_KN.xml	0	0	0	1
main	en_KY.xml	0	0	0	5
main	en_LC.xml	0	0	0	1
main	en_LR.xml	0	0	0	7
main	en_LS.xml	0	0	0	7
main	en_MG.xml	0	0	0	11
main	en_MH.xml	0	0	0	24
main	en_MO.xml	0	0	0	7
main	en_MP.xml	0	0	0	24
main	en_MS.xml	0	0	0	5
main	en_MT.xml	0	0	0	41
main	en_MU.xml	0	0	0	11
main	en_MW.xml	0	0	0	7
main	en_MY.xml	0	0	0	2
main	en_NA.xml	0	0	0	7
main	en_NF.xml	0	0	0	5
main	en_NG.xml	0	0	0	11
main	en_NL.xml	0	0	0	4
main	en_NR.xml	0	0	0	5
main	en_NU.xml	0	0	0	5
main	en_NZ.xml	0	0	0	57
main	en_PG.xml	0	0	0	1
main	en_PH.xml	0	0	0	1
main	en_PK.xml	0	0	0	47
main	en_PN.xml	0	0	0	5
main	en_PW.xml	0	0	0	4
main	en_RW.xml	0	0	0	11
main	en_SB.xml	0	0	0	1
main	en_SC.xml	0	0	0	5
main	en_SD.xml	0	0	0	6
main	en_SE.xml	0	0	1	14
main	en_SG.xml	0	0	3	62
main	en_SH.xml	0	0	0	6
main	en_SI.xml	0	0	0	4
main	en_SL.xml	0	0	0	7
main	en_SS.xml	0	0	0	8
main	en_SX.xml	0	0	0	5
main	en_SZ.xml	0	0	0	7
main	en_TK.xml	0	0	0	5
main	en_TO.xml	0	0	0	1
main	en_TT.xml	0	0	0	1
main	en_TV.xml	0	0	0	5
main	en_TZ.xml	0	0	0	11
main	en_UG.xml	0	0	0	11
main	en_US_POSIX.xml	0	0	1	7
main	en_VC.xml	0	0	0	1
main	en_VU.xml	0	0	0	1
main	en_WS.xml	0	0	0	1
main	en_ZA.xml	0	0	3	86
main	en_ZM.xml	0	0	0	7
main	en_ZW.xml	0	0	1	78
main	eo.xml	0	0	2	1’292
main	es.xml	72	0	72	5’899
main	es_419.xml	1	0	140	3’749
main	es_AR.xml	0	0	1	204
main	es_BO.xml	0	0	0	35
main	es_BR.xml	0	0	0	1
main	es_BZ.xml	0	0	0	1
main	es_CL.xml	0	0	0	151
main	es_CO.xml	0	0	1	216
main	es_CR.xml	0	0	1	39
main	es_CU.xml	0	0	0	2
main	es_DO.xml	0	0	2	95
main	es_EC.xml	0	0	0	94
main	es_GQ.xml	0	0	0	2
main	es_GT.xml	0	0	1	149
main	es_HN.xml	0	0	0	104
main	es_MX.xml	8	0	119	1’011
main	es_NI.xml	0	0	0	35
main	es_PA.xml	0	0	0	105
main	es_PE.xml	0	0	0	170
main	es_PH.xml	0	0	0	5
main	es_PR.xml	0	0	0	98
main	es_PY.xml	0	0	4	147
main	es_SV.xml	0	0	0	25
main	es_US.xml	0	0	141	934
main	es_UY.xml	0	0	0	68
main	es_VE.xml	0	0	0	113
main	et.xml	65	0	41	5’455
main	eu.xml	71	0	634	4’684
main	ewo.xml	0	0	2	497
main	fa.xml	44	0	288	5’797
main	fa_AF.xml	0	0	0	286
main	ff.xml	0	0	2	513
main	ff_Latn_GH.xml	0	0	0	5
main	ff_Latn_GM.xml	0	0	0	5
main	ff_Latn_GN.xml	0	0	0	1
main	ff_Latn_LR.xml	0	0	0	5
main	ff_Latn_MR.xml	0	0	0	5
main	ff_Latn_NG.xml	0	0	0	1
main	ff_Latn_SL.xml	0	0	0	5
main	fi.xml	28	0	133	6’546
main	fil.xml	33	0	16	5’976
main	fo.xml	37	0	256	4’508
main	fo_DK.xml	0	0	0	1
main	fr.xml	69	0	18	7’987
main	fr_BE.xml	0	0	0	19
main	fr_BI.xml	0	0	0	1
main	fr_CA.xml	7	0	34	3’852
main	fr_CD.xml	0	0	0	10
main	fr_CH.xml	0	0	0	84
main	fr_CI.xml	0	0	0	1
main	fr_CM.xml	0	0	0	29
main	fr_DJ.xml	0	0	0	5
main	fr_DZ.xml	0	0	0	5
main	fr_GF.xml	0	0	0	1
main	fr_GN.xml	0	0	0	1
main	fr_HT.xml	0	0	0	47
main	fr_KM.xml	0	0	0	1
main	fr_LU.xml	0	0	1	4
main	fr_MA.xml	0	0	1	28
main	fr_MG.xml	0	0	0	1
main	fr_ML.xml	0	0	0	11
main	fr_MR.xml	0	0	0	5
main	fr_MU.xml	0	0	0	1
main	fr_RE.xml	0	0	0	9
main	fr_RW.xml	0	0	0	1
main	fr_SC.xml	0	0	0	1
main	fr_SN.xml	0	0	0	14
main	fr_SY.xml	0	0	0	5
main	fr_TD.xml	0	0	0	4
main	fr_TN.xml	0	0	0	5
main	fr_VU.xml	0	0	0	5
main	fur.xml	0	0	3	1’147
main	fy.xml	0	0	4	4’363
main	ga.xml	51	0	61	8’244
main	gd.xml	113	0	337	9’204
main	gl.xml	59	0	427	4’745
main	gsw.xml	0	0	2	2’636
main	gu.xml	45	0	40	5’449
main	guz.xml	0	0	1	491
main	gv.xml	0	0	1	138
main	ha.xml	199	0	507	1’840
main	ha_GH.xml	0	0	0	5
main	ha_NE.xml	199	0	506	1’840
main	haw.xml	0	0	1	420
main	he.xml	86	0	197	7’055
main	hi.xml	48	0	37	5’256
main	hr.xml	91	0	61	7’236
main	hr_BA.xml	0	0	0	13
main	hsb.xml	0	0	4	4’249
main	hu.xml	49	0	46	5’685
main	hy.xml	64	0	205	4’676
main	ia.xml	0	0	1	3’322
main	id.xml	28	0	94	4’925
main	ig.xml	276	0	318	1’176
main	ii.xml	0	0	1	325
main	is.xml	63	0	50	6’309
main	it.xml	21	0	17	5’065
main	it_CH.xml	0	0	1	68
main	ja.xml	49	0	28	6’603
main	jgo.xml	0	0	2	363
main	jmc.xml	0	0	1	502
main	jv.xml	26	0	213	3’633
main	ka.xml	69	0	15	5’197
main	kab.xml	0	0	85	4’403
main	kam.xml	0	0	1	490
main	kde.xml	0	0	1	491
main	kea.xml	40	0	531	2’381
main	khq.xml	0	0	2	500
main	ki.xml	0	0	1	490
main	kk.xml	62	0	61	4’629
main	kkj.xml	0	0	1	177
main	kl.xml	0	0	38	1’526
main	kln.xml	0	0	1	491
main	km.xml	7	0	67	3’890
main	kn.xml	61	0	183	5’475
main	ko.xml	26	0	6	5’491
main	ko_KP.xml	0	0	0	4
main	kok.xml	249	0	1’354	3’707
main	ks.xml	0	0	2	2’050
main	ksb.xml	0	0	1	502
main	ksf.xml	0	0	2	483
main	ksh.xml	0	0	2	2’168
main	ku.xml	0	0	122	1’024
main	kw.xml	0	0	0	141
main	ky.xml	14	0	12	4’523
main	lag.xml	0	0	1	512
main	lb.xml	0	0	6	4’092
main	lg.xml	0	0	1	499
main	lkt.xml	0	0	2	340
main	ln.xml	0	0	3	908
main	ln_AO.xml	0	0	0	1
main	lo.xml	7	0	120	5’245
main	lrc.xml	0	0	2	584
main	lrc_IQ.xml	0	0	0	4
main	lt.xml	93	0	6	8’533
main	lu.xml	0	0	2	495
main	luo.xml	0	0	1	490
main	luy.xml	0	0	1	490
main	lv.xml	48	0	243	5’977
main	mas.xml	0	0	1	492
main	mas_TZ.xml	0	0	0	1
main	mer.xml	0	0	1	486
main	mfe.xml	0	0	2	496
main	mg.xml	0	0	2	702
main	mgh.xml	0	0	2	335
main	mgo.xml	0	0	1	290
main	mi.xml	0	0	45	635
main	mk.xml	41	0	118	5’773
main	ml.xml	38	0	57	5’915
main	mn.xml	39	0	893	4’569
main	mr.xml	47	0	12	5’508
main	ms.xml	50	0	161	4’984
main	ms_BN.xml	0	0	0	6
main	ms_SG.xml	0	0	0	1
main	mt.xml	3	0	2	3’103
main	mua.xml	0	0	2	497
main	my.xml	14	0	13	3’951
main	mzn.xml	0	0	3	1’800
main	naq.xml	0	0	1	515
main	nb.xml	52	0	14	9’972
main	nd.xml	0	0	1	497
main	nds.xml	0	0	2	1’581
main	nds_NL.xml	0	0	1	4
main	ne.xml	60	0	23	4’857
main	ne_IN.xml	0	0	0	5
main	nl.xml	74	0	38	11’154
main	nl_AW.xml	0	0	0	1
main	nl_BE.xml	0	0	0	37
main	nl_BQ.xml	0	0	0	1
main	nl_CW.xml	0	0	0	1
main	nl_SR.xml	0	0	0	2
main	nl_SX.xml	0	0	0	1
main	nmg.xml	0	0	2	484
main	nn.xml	0	0	0	4’739
main	nnh.xml	0	0	1	190
main	nus.xml	0	0	1	266
main	nyn.xml	0	0	1	498
main	om.xml	0	0	1	436
main	om_KE.xml	0	0	0	31
main	or.xml	24	0	9	4’638
main	os.xml	0	0	2	531
main	os_RU.xml	0	0	0	2
main	pa.xml	58	0	36	5’494
main	pa_Arab.xml	0	0	1	101
main	pl.xml	52	0	263	6’257
main	prg.xml	0	0	3	546
main	ps.xml	18	3	1’283	4’408
main	ps_PK.xml	0	0	0	133
main	pt.xml	43	0	171	5’214
main	pt_AO.xml	0	0	0	14
main	pt_CV.xml	0	0	1	15
main	pt_GW.xml	0	0	0	12
main	pt_LU.xml	0	0	0	1
main	pt_MO.xml	0	0	0	17
main	pt_MZ.xml	0	0	0	13
main	pt_PT.xml	17	0	291	3’989
main	pt_ST.xml	0	0	0	13
main	pt_TL.xml	0	0	0	12
main	qu.xml	210	0	978	2’656
main	qu_BO.xml	0	0	0	8
main	qu_EC.xml	0	0	0	6
main	rm.xml	33	14	113	2’075
main	rn.xml	0	0	2	475
main	ro.xml	65	0	23	6’578
main	ro_MD.xml	0	0	0	103
main	rof.xml	0	0	1	502
main	root.xml	23	0	2	2’159
main	ru.xml	113	0	85	7’547
main	ru_BY.xml	0	0	0	3
main	ru_KG.xml	0	0	0	1
main	ru_KZ.xml	0	0	0	1
main	ru_MD.xml	0	0	0	1
main	ru_UA.xml	0	0	0	36
main	rw.xml	0	0	2	422
main	rwk.xml	0	0	1	502
main	sah.xml	0	0	4	1’043
main	saq.xml	0	0	1	502
main	sbp.xml	0	0	2	485
main	sd.xml	49	0	47	4’462
main	se.xml	0	0	1	1’747
main	se_FI.xml	0	0	0	1’047
main	se_SE.xml	0	0	0	2
main	seh.xml	0	0	2	496
main	ses.xml	0	0	2	500
main	sg.xml	0	0	2	498
main	shi.xml	0	0	2	510
main	shi_Latn.xml	0	0	2	511
main	si.xml	61	0	28	4’629
main	sk.xml	89	0	28	7’658
main	sl.xml	34	0	121	6’352
main	smn.xml	0	0	2	1’125
main	sn.xml	0	0	2	695
main	so.xml	17	0	81	4’325
main	so_DJ.xml	0	0	0	1
main	so_ET.xml	0	0	0	1
main	so_KE.xml	0	0	0	5
main	sq.xml	38	0	106	4’660
main	sq_MK.xml	0	0	0	5
main	sq_XK.xml	0	0	0	4
main	sr.xml	52	0	31	6’488
main	sr_Cyrl_BA.xml	0	0	3	149
main	sr_Cyrl_ME.xml	0	0	1	81
main	sr_Cyrl_XK.xml	0	0	1	51
main	sr_Latn.xml	52	0	31	6’488
main	sr_Latn_BA.xml	0	0	3	150
main	sr_Latn_ME.xml	0	0	31	109
main	sr_Latn_XK.xml	0	0	31	79
main	sv.xml	49	0	105	6’711
main	sv_FI.xml	0	0	26	44
main	sw.xml	62	0	35	4’724
main	sw_CD.xml	0	0	0	83
main	sw_KE.xml	50	0	508	707
main	sw_UG.xml	0	0	0	1
main	ta.xml	68	0	37	5’440
main	ta_LK.xml	0	0	0	5
main	ta_MY.xml	0	0	0	8
main	ta_SG.xml	0	0	0	9
main	te.xml	61	0	39	5’494
main	teo.xml	0	0	1	502
main	teo_KE.xml	0	0	0	1
main	tg.xml	0	0	151	965
main	th.xml	29	0	66	5’996
main	ti.xml	0	0	1	1’536
main	ti_ER.xml	0	0	0	39
main	tk.xml	59	0	28	4’485
main	to.xml	63	0	295	5’044
main	tr.xml	39	0	82	6’165
main	tr_CY.xml	0	0	0	4
main	tt.xml	0	0	18	843
main	twq.xml	0	0	2	496
main	tzm.xml	0	0	2	501
main	ug.xml	0	0	1	3’303
main	uk.xml	66	0	43	7’368
main	ur.xml	46	0	64	5’093
main	ur_IN.xml	0	0	0	247
main	uz.xml	60	0	45	4’645
main	uz_Arab.xml	0	0	1	106
main	uz_Cyrl.xml	0	0	1	2’154
main	vai.xml	0	0	2	505
main	vai_Latn.xml	0	0	2	439
main	vi.xml	24	0	59	6’178
main	vo.xml	0	0	1	211
main	vun.xml	0	0	1	502
main	wae.xml	0	0	3	941
main	wo.xml	0	0	1	817
main	xh.xml	0	0	0	380
main	xog.xml	0	0	1	500
main	yav.xml	0	0	2	450
main	yi.xml	0	0	3	982
main	yo.xml	252	0	132	1’241
main	yo_BJ.xml	252	0	132	1’241
main	yue.xml	47	0	35	6’221
main	yue_Hans.xml	47	0	35	6’221
main	zgh.xml	0	0	2	683
main	zh.xml	40	0	25	7’363
main	zh_Hans_HK.xml	0	0	0	90
main	zh_Hans_MO.xml	0	0	0	82
main	zh_Hans_SG.xml	0	0	0	88
main	zh_Hant.xml	23	0	10	9’670
main	zh_Hant_HK.xml	17	0	11	1’363
main	zh_Hant_MO.xml	0	0	0	1
main	zu.xml	5	0	54	4’557
subdivisions	af.xml	0	3	0	3’314
subdivisions	am.xml	0	3	0	2’708
subdivisions	ar.xml	0	3	0	7’961
subdivisions	as.xml	0	3	0	2’430
subdivisions	az.xml	0	3	0	3’709
subdivisions	be.xml	0	3	12	5’386
subdivisions	bg.xml	0	3	0	5’561
subdivisions	bn.xml	0	3	0	6’472
subdivisions	br.xml	0	3	0	3’289
subdivisions	bs.xml	0	3	0	3’592
subdivisions	ca.xml	0	3	14	5’927
subdivisions	ccp.xml	0	3	0	7’296
subdivisions	ceb.xml	0	3	7	6’876
subdivisions	ckb.xml	0	3	0	2’380
subdivisions	cs.xml	0	3	0	5’623
subdivisions	cy.xml	0	3	0	4’714
subdivisions	da.xml	0	3	0	6’568
subdivisions	de.xml	0	3	0	7’213
subdivisions	de_CH.xml	0	0	0	2’424
subdivisions	el.xml	0	3	0	6’565
subdivisions	en.xml	30	3	0	7’612
subdivisions	es.xml	0	3	12	7’170
subdivisions	et.xml	0	3	0	4’590
subdivisions	eu.xml	0	3	1	5’071
subdivisions	fa.xml	0	3	0	6’024
subdivisions	fi.xml	0	3	0	6’789
subdivisions	fil.xml	0	3	0	2’422
