# Grammatical Features
#Locale	ID	Feature	Usage	Values
Latvian	lv	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative
Latvian	lv	grammaticalCase	units	nominative, accusative, genitive, locative, dative
Latvian	lv	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	zero	{0} diennakšu	<div class='cldr_example'><span class='cldr_substituted'>10</span> diennakšu</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakšu</div>
Plural	one	{0} diennakts	<div class='cldr_example'><span class='cldr_substituted'>1</span> diennakts</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakts</div>
Plural	other	{0} diennaktis	<div class='cldr_example'><span class='cldr_substituted'>2</span> diennaktis</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> diennaktis</div>
Case (for measurement units)	nominative	pagājusi {0}	<div class='cldr_example'>pagājusi <span class='cldr_substituted'>1 megapikselis</span></div><div class='cldr_example'>❌  pagājusi <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	accusative	palikt {0}	<div class='cldr_example'>palikt <span class='cldr_substituted'>1 megapikseli</span></div><div class='cldr_example'>❌  palikt <span class='cldr_substituted'>1 megapikselim</span></div>
Case (for measurement units)	genitive	{0} brauciens	<div class='cldr_example'><span class='cldr_substituted'>10 MP</span> brauciens</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 megapikseli</span> brauciens</div>
Case (for measurement units)	locative	izdarīts {0}	<div class='cldr_example'>izdarīts <span class='cldr_substituted'>1 megapikselī</span></div><div class='cldr_example'>❌  izdarīts <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	dative	pietiks {0}	<div class='cldr_example'>pietiks <span class='cldr_substituted'>1 megapikselim</span></div><div class='cldr_example'>❌  pietiks <span class='cldr_substituted'>1 megapikseli</span></div>
Gender (for measurement units)	masculine	viens {0}	<div class='cldr_example'>viens <span class='cldr_substituted'>centimetrs</span></div><div class='cldr_example'>❌  viens <span class='cldr_substituted'>diena</span></div>
Gender (for measurement units)	feminine	gara {0}	<div class='cldr_example'>gara <span class='cldr_substituted'>diena</span></div><div class='cldr_example'>❌  gara <span class='cldr_substituted'>centimetrs</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for zero	Case MP + pattern with 10.0	Pattern for one	Case MP + pattern with 21.0	Pattern for other	Case MP + pattern with 3.0
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	gara leņķa sekunde	nominative	{0} leņķa sekunžu	pagājusi 10 leņķa sekunžu	{0} leņķa sekunde	pagājusi 21 leņķa sekunde	{0} leņķa sekundes	pagājusi 3 leņķa sekundes
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	gara leņķa sekunde	accusative	{0} leņķa sekunžu	palikt 10 leņķa sekunžu	{0} leņķa sekundi	palikt 21 leņķa sekundi	{0} leņķa sekundes	palikt 3 leņķa sekundes
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	gara leņķa sekunde	genitive	{0} leņķa sekunžu	10 leņķa sekunžu brauciens	{0} leņķa sekundes	21 leņķa sekundes brauciens	{0} leņķa sekunžu	3 leņķa sekunžu brauciens
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	gara leņķa sekunde	locative	{0} leņķa sekunžu	izdarīts 10 leņķa sekunžu	{0} leņķa sekundē	izdarīts 21 leņķa sekundē	{0} leņķa sekundēs	izdarīts 3 leņķa sekundēs
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	gara leņķa sekunde	dative	{0} leņķa sekunžu	pietiks 10 leņķa sekunžu	{0} leņķa sekundei	pietiks 21 leņķa sekundei	{0} leņķa sekundēm	pietiks 3 leņķa sekundēm
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	gara leņķa minūte	nominative	{0} leņķa minūšu	pagājusi 10 leņķa minūšu	{0} leņķa minūte	pagājusi 21 leņķa minūte	{0} leņķa minūtes	pagājusi 3 leņķa minūtes
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	gara leņķa minūte	accusative	{0} leņķa minūšu	palikt 10 leņķa minūšu	{0} leņķa minūti	palikt 21 leņķa minūti	{0} leņķa minūtes	palikt 3 leņķa minūtes
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	gara leņķa minūte	genitive	{0} leņķa minūšu	10 leņķa minūšu brauciens	{0} leņķa minūtes	21 leņķa minūtes brauciens	{0} leņķa minūšu	3 leņķa minūšu brauciens
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	gara leņķa minūte	locative	{0} leņķa minūšu	izdarīts 10 leņķa minūšu	{0} leņķa minūtē	izdarīts 21 leņķa minūtē	{0} leņķa minūtēs	izdarīts 3 leņķa minūtēs
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	gara leņķa minūte	dative	{0} leņķa minūšu	pietiks 10 leņķa minūšu	{0} leņķa minūtei	pietiks 21 leņķa minūtei	{0} leņķa minūtēm	pietiks 3 leņķa minūtēm
angle	degree • ( = 0.002˙7 rev)	masculine	viens grāds	nominative	{0} grādu	pagājusi 10 grādu	{0} grāds	pagājusi 21 grāds	{0} grādi	pagājusi 3 grādi
angle	degree • ( = 0.002˙7 rev)	masculine	viens grāds	accusative	{0} grādu	palikt 10 grādu	{0} grādu	palikt 21 grādu	{0} grādus	palikt 3 grādus
angle	degree • ( = 0.002˙7 rev)	masculine	viens grāds	genitive	{0} grādu	10 grādu brauciens	{0} grāda	21 grāda brauciens	{0} grādu	3 grādu brauciens
angle	degree • ( = 0.002˙7 rev)	masculine	viens grāds	locative	{0} grādu	izdarīts 10 grādu	{0} grādā	izdarīts 21 grādā	{0} grādos	izdarīts 3 grādos
angle	degree • ( = 0.002˙7 rev)	masculine	viens grāds	dative	{0} grādu	pietiks 10 grādu	{0} grādam	pietiks 21 grādam	{0} grādiem	pietiks 3 grādiem
angle	radian • ( = ~0.1591549430918953 rev)	masculine	viens radiāns	nominative	{0} radiānu	pagājusi 10 radiānu	{0} radiāns	pagājusi 21 radiāns	{0} radiāni	pagājusi 3 radiāni
angle	radian • ( = ~0.1591549430918953 rev)	masculine	viens radiāns	accusative	{0} radiānu	palikt 10 radiānu	{0} radiānu	palikt 21 radiānu	{0} radiānus	palikt 3 radiānus
angle	radian • ( = ~0.1591549430918953 rev)	masculine	viens radiāns	genitive	{0} radiānu	10 radiānu brauciens	{0} radiāna	21 radiāna brauciens	{0} radiānu	3 radiānu brauciens
angle	radian • ( = ~0.1591549430918953 rev)	masculine	viens radiāns	locative	{0} radiānu	izdarīts 10 radiānu	{0} radiānā	izdarīts 21 radiānā	{0} radiānos	izdarīts 3 radiānos
angle	radian • ( = ~0.1591549430918953 rev)	masculine	viens radiāns	dative	{0} radiānu	pietiks 10 radiānu	{0} radiānam	pietiks 21 radiānam	{0} radiāniem	pietiks 3 radiāniem
angle	revolutions	masculine	viens apgrieziens	nominative	{0} apgriezienu	pagājusi 10 apgriezienu	{0} apgrieziens	pagājusi 21 apgrieziens	{0} apgriezieni	pagājusi 3 apgriezieni
angle	revolutions	masculine	viens apgrieziens	accusative	{0} apgriezienu	palikt 10 apgriezienu	{0} apgriezienu	palikt 21 apgriezienu	{0} apgriezienus	palikt 3 apgriezienus
angle	revolutions	masculine	viens apgrieziens	genitive	{0} apgriezienu	10 apgriezienu brauciens	{0} apgrieziena	21 apgrieziena brauciens	{0} apgriezienu	3 apgriezienu brauciens
angle	revolutions	masculine	viens apgrieziens	locative	{0} apgriezienu	izdarīts 10 apgriezienu	{0} apgriezienā	izdarīts 21 apgriezienā	{0} apgriezienos	izdarīts 3 apgriezienos
angle	revolutions	masculine	viens apgrieziens	dative	{0} apgriezienu	pietiks 10 apgriezienu	{0} apgriezienam	pietiks 21 apgriezienam	{0} apgriezieniem	pietiks 3 apgriezieniem
area	square centimeters	masculine	viens kvadrātcentimetrs	nominative	{0} kvadrātcentimetru	pagājusi 10 kvadrātcentimetru	{0} kvadrātcentimetrs	pagājusi 21 kvadrātcentimetrs	{0} kvadrātcentimetri	pagājusi 3 kvadrātcentimetri
area	square centimeters	masculine	viens kvadrātcentimetrs	accusative	{0} kvadrātcentimetru	palikt 10 kvadrātcentimetru	{0} kvadrātcentimetru	palikt 21 kvadrātcentimetru	{0} kvadrātcentimetrus	palikt 3 kvadrātcentimetrus
area	square centimeters	masculine	viens kvadrātcentimetrs	genitive	{0} kvadrātcentimetru	10 kvadrātcentimetru brauciens	{0} kvadrātcentimetra	21 kvadrātcentimetra brauciens	{0} kvadrātcentimetru	3 kvadrātcentimetru brauciens
area	square centimeters	masculine	viens kvadrātcentimetrs	locative	{0} kvadrātcentimetru	izdarīts 10 kvadrātcentimetru	{0} kvadrātcentimetrā	izdarīts 21 kvadrātcentimetrā	{0} kvadrātcentimetros	izdarīts 3 kvadrātcentimetros
area	square centimeters	masculine	viens kvadrātcentimetrs	dative	{0} kvadrātcentimetru	pietiks 10 kvadrātcentimetru	{0} kvadrātcentimetram	pietiks 21 kvadrātcentimetram	{0} kvadrātcentimetriem	pietiks 3 kvadrātcentimetriem
area	square meters	masculine	viens kvadrātmetrs	nominative	{0} kvadrātmetru	pagājusi 10 kvadrātmetru	{0} kvadrātmetrs	pagājusi 21 kvadrātmetrs	{0} kvadrātmetri	pagājusi 3 kvadrātmetri
area	square meters	masculine	viens kvadrātmetrs	accusative	{0} kvadrātmetru	palikt 10 kvadrātmetru	{0} kvadrātmetru	palikt 21 kvadrātmetru	{0} kvadrātmetrus	palikt 3 kvadrātmetrus
area	square meters	masculine	viens kvadrātmetrs	genitive	{0} kvadrātmetru	10 kvadrātmetru brauciens	{0} kvadrātmetra	21 kvadrātmetra brauciens	{0} kvadrātmetru	3 kvadrātmetru brauciens
area	square meters	masculine	viens kvadrātmetrs	locative	{0} kvadrātmetru	izdarīts 10 kvadrātmetru	{0} kvadrātmetrā	izdarīts 21 kvadrātmetrā	{0} kvadrātmetros	izdarīts 3 kvadrātmetros
area	square meters	masculine	viens kvadrātmetrs	dative	{0} kvadrātmetru	pietiks 10 kvadrātmetru	{0} kvadrātmetram	pietiks 21 kvadrātmetram	{0} kvadrātmetriem	pietiks 3 kvadrātmetriem
area	hectares	masculine	viens hektārs	nominative	{0} hektāru	pagājusi 10 hektāru	{0} hektārs	pagājusi 21 hektārs	{0} hektāri	pagājusi 3 hektāri
area	hectares	masculine	viens hektārs	accusative	{0} hektāru	palikt 10 hektāru	{0} hektāru	palikt 21 hektāru	{0} hektāru	palikt 3 hektāru
area	hectares	masculine	viens hektārs	genitive	{0} hektāru	10 hektāru brauciens	{0} hektāra	21 hektāra brauciens	{0} hektāru	3 hektāru brauciens
area	hectares	masculine	viens hektārs	locative	{0} hektāru	izdarīts 10 hektāru	{0} hektārā	izdarīts 21 hektārā	{0} hektāros	izdarīts 3 hektāros
area	hectares	masculine	viens hektārs	dative	{0} hektāru	pietiks 10 hektāru	{0} hektāram	pietiks 21 hektāram	{0} hektāriem	pietiks 3 hektāriem
area	square kilometers	masculine	viens kvadrātkilometrs	nominative	{0} kvadrātkilometru	pagājusi 10 kvadrātkilometru	{0} kvadrātkilometrs	pagājusi 21 kvadrātkilometrs	{0} kvadrātkilometri	pagājusi 3 kvadrātkilometri
area	square kilometers	masculine	viens kvadrātkilometrs	accusative	{0} kvadrātkilometru	palikt 10 kvadrātkilometru	{0} kvadrātkilometru	palikt 21 kvadrātkilometru	{0} kvadrātkilometrus	palikt 3 kvadrātkilometrus
area	square kilometers	masculine	viens kvadrātkilometrs	genitive	{0} kvadrātkilometru	10 kvadrātkilometru brauciens	{0} kvadrātkilometra	21 kvadrātkilometra brauciens	{0} kvadrātkilometru	3 kvadrātkilometru brauciens
area	square kilometers	masculine	viens kvadrātkilometrs	locative	{0} kvadrātkilometru	izdarīts 10 kvadrātkilometru	{0} kvadrātkilometrā	izdarīts 21 kvadrātkilometrā	{0} kvadrātkilometros	izdarīts 3 kvadrātkilometros
area	square kilometers	masculine	viens kvadrātkilometrs	dative	{0} kvadrātkilometru	pietiks 10 kvadrātkilometru	{0} kvadrātkilometram	pietiks 21 kvadrātkilometram	{0} kvadrātkilometriem	pietiks 3 kvadrātkilometriem
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	masculine	viens milimols uz litru	nominative	{0} milimolu uz litru	pagājusi 10 milimolu uz litru	{0} milimols uz litru	pagājusi 21 milimols uz litru	{0} milimoli uz litru	pagājusi 3 milimoli uz litru
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	masculine	viens milimols uz litru	accusative	{0} milimolu uz litru	palikt 10 milimolu uz litru	{0} milimolu uz litru	palikt 21 milimolu uz litru	{0} milimolus uz litru	palikt 3 milimolus uz litru
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	masculine	viens milimols uz litru	genitive	{0} milimolu uz litru	10 milimolu uz litru brauciens	{0} milimola uz litru	21 milimola uz litru brauciens	{0} milimolu uz litru	3 milimolu uz litru brauciens
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	masculine	viens milimols uz litru	locative	{0} milimolu uz litru	izdarīts 10 milimolu uz litru	{0} milimolā uz litru	izdarīts 21 milimolā uz litru	{0} milimolos uz litru	izdarīts 3 milimolos uz litru
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	masculine	viens milimols uz litru	dative	{0} milimolu uz litru	pietiks 10 milimolu uz litru	{0} milimolam uz litru	pietiks 21 milimolam uz litru	{0} milimoliem uz litru	pietiks 3 milimoliem uz litru
consumption	liters per 100 kilometers	masculine	viens litrs uz 100 kilometriem	nominative	{0} litru uz 100 kilometriem	pagājusi 10 litru uz 100 kilometriem	{0} litrs uz 100 kilometriem	pagājusi 21 litrs uz 100 kilometriem	{0} litri uz 100 kilometriem	pagājusi 3 litri uz 100 kilometriem
consumption	liters per 100 kilometers	masculine	viens litrs uz 100 kilometriem	accusative	{0} litru uz 100 kilometriem	palikt 10 litru uz 100 kilometriem	{0} litru uz 100 kilometriem	palikt 21 litru uz 100 kilometriem	{0} litrus uz 100 kilometriem	palikt 3 litrus uz 100 kilometriem
consumption	liters per 100 kilometers	masculine	viens litrs uz 100 kilometriem	genitive	{0} litru uz 100 kilometriem	10 litru uz 100 kilometriem brauciens	{0} litra uz 100 kilometriem	21 litra uz 100 kilometriem brauciens	{0} litru uz 100 kilometriem	3 litru uz 100 kilometriem brauciens
consumption	liters per 100 kilometers	masculine	viens litrs uz 100 kilometriem	locative	{0} litru uz 100 kilometriem	izdarīts 10 litru uz 100 kilometriem	{0} litrā uz 100 kilometriem	izdarīts 21 litrā uz 100 kilometriem	{0} litros uz 100 kilometriem	izdarīts 3 litros uz 100 kilometriem
consumption	liters per 100 kilometers	masculine	viens litrs uz 100 kilometriem	dative	{0} litru uz 100 kilometriem	pietiks 10 litru uz 100 kilometriem	{0} litram uz 100 kilometriem	pietiks 21 litram uz 100 kilometriem	{0} litriem uz 100 kilometriem	pietiks 3 litriem uz 100 kilometriem
consumption	liters per kilometer	masculine	viens litrs uz kilometru	nominative	{0} litru uz kilometru	pagājusi 10 litru uz kilometru	{0} litrs uz kilometru	pagājusi 21 litrs uz kilometru	{0} litri uz kilometru	pagājusi 3 litri uz kilometru
consumption	liters per kilometer	masculine	viens litrs uz kilometru	accusative	{0} litru uz kilometru	palikt 10 litru uz kilometru	{0} litru uz kilometru	palikt 21 litru uz kilometru	{0} litrus uz kilometru	palikt 3 litrus uz kilometru
consumption	liters per kilometer	masculine	viens litrs uz kilometru	genitive	{0} litru uz kilometru	10 litru uz kilometru brauciens	{0} litra uz kilometru	21 litra uz kilometru brauciens	{0} litru uz kilometru	3 litru uz kilometru brauciens
consumption	liters per kilometer	masculine	viens litrs uz kilometru	locative	{0} litru uz kilometru	izdarīts 10 litru uz kilometru	{0} litrā uz kilometru	izdarīts 21 litrā uz kilometru	{0} litros uz kilometru	izdarīts 3 litros uz kilometru
consumption	liters per kilometer	masculine	viens litrs uz kilometru	dative	{0} litru uz kilometru	pietiks 10 litru uz kilometru	{0} litram uz kilometru	pietiks 21 litram uz kilometru	{0} litriem uz kilometru	pietiks 3 litriem uz kilometru
digital	bits	masculine	viens bits	nominative	{0} bitu	pagājusi 10 bitu	{0} bits	pagājusi 21 bits	{0} biti	pagājusi 3 biti
digital	bits	masculine	viens bits	accusative	{0} bitu	palikt 10 bitu	{0} bitu	palikt 21 bitu	{0} bitus	palikt 3 bitus
digital	bits	masculine	viens bits	genitive	{0} bitu	10 bitu brauciens	{0} bita	21 bita brauciens	{0} bitu	3 bitu brauciens
digital	bits	masculine	viens bits	locative	{0} bitu	izdarīts 10 bitu	{0} bitā	izdarīts 21 bitā	{0} bitos	izdarīts 3 bitos
digital	bits	masculine	viens bits	dative	{0} bitu	pietiks 10 bitu	{0} bitam	pietiks 21 bitam	{0} bitiem	pietiks 3 bitiem
digital	byte • ( = 8 bit)	masculine	viens baits	nominative	{0} baitu	pagājusi 10 baitu	{0} baits	pagājusi 21 baits	{0} baiti	pagājusi 3 baiti
digital	byte • ( = 8 bit)	masculine	viens baits	accusative	{0} baitu	palikt 10 baitu	{0} baitu	palikt 21 baitu	{0} baitus	palikt 3 baitus
digital	byte • ( = 8 bit)	masculine	viens baits	genitive	{0} baitu	10 baitu brauciens	{0} baita	21 baita brauciens	{0} baitu	3 baitu brauciens
digital	byte • ( = 8 bit)	masculine	viens baits	locative	{0} baitu	izdarīts 10 baitu	{0} baitā	izdarīts 21 baitā	{0} baitos	izdarīts 3 baitos
digital	byte • ( = 8 bit)	masculine	viens baits	dative	{0} baitu	pietiks 10 baitu	{0} baitam	pietiks 21 baitam	{0} baitiem	pietiks 3 baitiem
digital	kilobits	masculine	viens kilobits	nominative	{0} kilobitu	pagājusi 10 kilobitu	{0} kilobits	pagājusi 21 kilobits	{0} kilobiti	pagājusi 3 kilobiti
digital	kilobits	masculine	viens kilobits	accusative	{0} kilobitu	palikt 10 kilobitu	{0} kilobitu	palikt 21 kilobitu	{0} kilobitus	palikt 3 kilobitus
digital	kilobits	masculine	viens kilobits	genitive	{0} kilobitu	10 kilobitu brauciens	{0} kilobita	21 kilobita brauciens	{0} kilobitu	3 kilobitu brauciens
digital	kilobits	masculine	viens kilobits	locative	{0} kilobitu	izdarīts 10 kilobitu	{0} kilobitā	izdarīts 21 kilobitā	{0} kilobitos	izdarīts 3 kilobitos
digital	kilobits	masculine	viens kilobits	dative	{0} kilobitu	pietiks 10 kilobitu	{0} kilobitam	pietiks 21 kilobitam	{0} kilobitiem	pietiks 3 kilobitiem
digital	kilobyte • ( = 8 kb)	masculine	viens kilobaits	nominative	{0} kilobaitu	pagājusi 10 kilobaitu	{0} kilobaits	pagājusi 21 kilobaits	{0} kilobaiti	pagājusi 3 kilobaiti
digital	kilobyte • ( = 8 kb)	masculine	viens kilobaits	accusative	{0} kilobaitu	palikt 10 kilobaitu	{0} kilobaitu	palikt 21 kilobaitu	{0} kilobaitus	palikt 3 kilobaitus
digital	kilobyte • ( = 8 kb)	masculine	viens kilobaits	genitive	{0} kilobaitu	10 kilobaitu brauciens	{0} kilobaita	21 kilobaita brauciens	{0} kilobaitu	3 kilobaitu brauciens
digital	kilobyte • ( = 8 kb)	masculine	viens kilobaits	locative	{0} kilobaitu	izdarīts 10 kilobaitu	{0} kilobaitā	izdarīts 21 kilobaitā	{0} kilobaitos	izdarīts 3 kilobaitos
digital	kilobyte • ( = 8 kb)	masculine	viens kilobaits	dative	{0} kilobaitu	pietiks 10 kilobaitu	{0} kilobaitam	pietiks 21 kilobaitam	{0} kilobaitiem	pietiks 3 kilobaitiem
digital	megabits	masculine	viens megabits	nominative	{0} megabitu	pagājusi 10 megabitu	{0} megabits	pagājusi 21 megabits	{0} megabiti	pagājusi 3 megabiti
digital	megabits	masculine	viens megabits	accusative	{0} megabitu	palikt 10 megabitu	{0} megabitu	palikt 21 megabitu	{0} megabitus	palikt 3 megabitus
digital	megabits	masculine	viens megabits	genitive	{0} megabitu	10 megabitu brauciens	{0} megabita	21 megabita brauciens	{0} megabitu	3 megabitu brauciens
digital	megabits	masculine	viens megabits	locative	{0} megabitu	izdarīts 10 megabitu	{0} megabitā	izdarīts 21 megabitā	{0} megabitos	izdarīts 3 megabitos
digital	megabits	masculine	viens megabits	dative	{0} megabitu	pietiks 10 megabitu	{0} megabitam	pietiks 21 megabitam	{0} megabitiem	pietiks 3 megabitiem
digital	megabyte • ( = 8 Mb)	masculine	viens megabaits	nominative	{0} megabaitu	pagājusi 10 megabaitu	{0} megabaits	pagājusi 21 megabaits	{0} megabaits	pagājusi 3 megabaits
digital	megabyte • ( = 8 Mb)	masculine	viens megabaits	accusative	{0} megabaitu	palikt 10 megabaitu	{0} megabaitu	palikt 21 megabaitu	{0} megabaitus	palikt 3 megabaitus
digital	megabyte • ( = 8 Mb)	masculine	viens megabaits	genitive	{0} megabaitu	10 megabaitu brauciens	{0} megabaita	21 megabaita brauciens	{0} megabaitu	3 megabaitu brauciens
digital	megabyte • ( = 8 Mb)	masculine	viens megabaits	locative	{0} megabaitu	izdarīts 10 megabaitu	{0} megabaitā	izdarīts 21 megabaitā	{0} megabaitos	izdarīts 3 megabaitos
digital	megabyte • ( = 8 Mb)	masculine	viens megabaits	dative	{0} megabaitu	pietiks 10 megabaitu	{0} megabaitam	pietiks 21 megabaitam	{0} megabaitiem	pietiks 3 megabaitiem
digital	gigabits	masculine	viens gigabits	nominative	{0} gigabitu	pagājusi 10 gigabitu	{0} gigabits	pagājusi 21 gigabits	{0} gigabiti	pagājusi 3 gigabiti
digital	gigabits	masculine	viens gigabits	accusative	{0} gigabitu	palikt 10 gigabitu	{0} gigabitu	palikt 21 gigabitu	{0} gigabitus	palikt 3 gigabitus
digital	gigabits	masculine	viens gigabits	genitive	{0} gigabitu	10 gigabitu brauciens	{0} gigabita	21 gigabita brauciens	{0} gigabitu	3 gigabitu brauciens
digital	gigabits	masculine	viens gigabits	locative	{0} gigabitu	izdarīts 10 gigabitu	{0} gigabitā	izdarīts 21 gigabitā	{0} gigabitos	izdarīts 3 gigabitos
digital	gigabits	masculine	viens gigabits	dative	{0} gigabitu	pietiks 10 gigabitu	{0} gigabitam	pietiks 21 gigabitam	{0} gigabitiem	pietiks 3 gigabitiem
digital	gigabyte • ( = 8 Gb)	masculine	viens gigabaits	nominative	{0} gigabaitu	pagājusi 10 gigabaitu	{0} gigabaits	pagājusi 21 gigabaits	{0} gigabaiti	pagājusi 3 gigabaiti
