# Grammatical Features
#Locale	ID	Feature	Usage	Values
Arabic	ar	grammaticalCase	general	nominative, accusative, genitive
Arabic	ar	grammaticalDefiniteness	general	indefinite, definite, construct
Arabic	ar	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
duration	day • ( = 86,400 sec)	masculine	‫يوم واحد‬
duration	day-person • ( = 86,400 sec)	masculine	‫يوم واحد‬
duration	week • ( = 604,800 sec)	masculine	‫أسبوع واحد‬
electric-current	milliamperes	masculine	‫ملي أمبير واحد‬
electric-current	amperes	masculine	‫أمبير واحد‬
electric-resistance	ohms	masculine	‫أوم واحد‬
energy	joules	masculine	‫جول واحد‬
energy	newton-meter • ( = 1 J)	masculine	‫نيوتن متر واحد‬
energy	calorie • ( = 4.184 J)	feminine	‫سعرة واحدة‬
energy	kilojoules	masculine	‫كيلو جول واحد‬
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	masculine	‫كيلو واط/ساعة واحد‬
force	newtons	masculine	‫نيوتن واحد‬
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	‫كيلوواط ساعة لكل 100 كيلومتر واحد‬
frequency	hertz	masculine	‫هرتز واحد‬
frequency	kilohertz	masculine	‫كيلو هرتز واحد‬
frequency	megahertz	masculine	‫ميغا هرتز واحد‬
frequency	gigahertz	masculine	‫غيغا هرتز واحد‬
graphics	pixel • ( = 1 px)	masculine	‫بكسل واحد‬
graphics	megapixels	masculine	‫ميغابكسل واحد‬
illuminance	lux	masculine	‫لكس واحد‬
length	picometers	masculine	‫بيكومتر واحد‬
length	nanometers	masculine	‫نانو متر واحد‬
length	micrometers	masculine	‫ميكرومتر واحد‬
length	millimeters	masculine	‫مليمتر واحد‬
length	centimeters	masculine	‫سنتيمتر واحد‬
length	decimeters	masculine	‫ديسيمتر واحد‬
length	meters	masculine	‫متر واحد‬
length	kilometers	masculine	‫كيلومتر واحد‬
length	mile-scandinavian • ( = 10 km)	masculine	‫ميل اسكندنافي واحد‬
luminous-flux	lumen	masculine	‫لومن واحد‬
luminous-intensity	candela	feminine	‫شمعة واحدة‬
mass	micrograms	masculine	‫ميكروغرام واحد‬
mass	milligrams	masculine	‫مليغرام واحد‬
mass	carat • ( = 200 mg)	masculine	‫قيراط واحد‬
mass	grams	masculine	‫غرام واحد‬
mass	kilograms	masculine	‫كيلوغرام واحد‬
mass	metric tons	masculine	‫طن متري واحد‬
portion	parts per million	masculine	‫جزء في المليون واحد‬
portion	permyriad	feminine	‫‱ واحدة‬
portion	permille	masculine	‫في الألف واحد‬
portion	percent	feminine	‫بالمائة واحدة‬
portion	karat • ( = 4.1˙6%)	masculine	‫قيراط واحد‬
power	milliwatts	masculine	‫ملي واط واحد‬
power	watts	masculine	‫واط واحد‬
power	kilowatts	masculine	‫كيلوواط واحد‬
power	megawatts	masculine	‫ميغا واط واحد‬
power	gigawatts	masculine	‫غيغا واط واحد‬
pressure	pascals	masculine	‫باسكال واحد‬
pressure	hectopascal • ( = 1 mbar)	masculine	‫هكتوباسكال واحد‬
pressure	millibars	masculine	‫ملي بار واحد‬
pressure	kilopascals	masculine	‫كيلوباسكال واحد‬
pressure	bars	masculine	‫بار واحد‬
pressure	atmosphere • ( = 1.01325 bar)	masculine	‫ضغط جوي واحد‬
pressure	megapascals	masculine	‫ميغاباسكال واحد‬
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	‫بكسل لكل سنتيمتر واحد‬
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	‫كيلومتر في الساعة واحد‬
speed	meters per second	masculine	‫متر في الثانية واحد‬
substance-amount	items	masculine	‫عنصر واحد واحد‬
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	‫مول واحد‬
temperature	°	feminine	‫° واحدة‬
temperature	celsius • ( = 1 K)	feminine	‫درجة مئوية واحدة‬
temperature	kelvins	feminine	‫درجة كلفن واحدة‬
typewidth	typographic ems	masculine	‫إم واحد‬
voltage	volts	masculine	‫فولت واحد‬
volume	cubic-centimeter • ( = 1 mL)	masculine	‫سنتيمتر مكعب واحد‬
volume	milliliters	masculine	‫مليلتر واحد‬
volume	centiliters	masculine	‫سنتيلتر واحد‬
volume	deciliters	masculine	‫ديسيلتر واحد‬
volume	cup-metric • ( = 2.5 dL)	masculine	‫كوب متري واحد‬
volume	pint-metric • ( = 5 dL)	masculine	‫مكيال متري واحد‬
volume	liters	masculine	‫لتر واحد‬
volume	hectoliters	masculine	‫هكتولتر واحد‬
volume	cubic meters	masculine	‫متر مكعب واحد‬
volume	megaliters	masculine	‫ميغالتر واحد‬
volume	cubic kilometers	masculine	‫كيلومتر مكعب واحد‬
year-duration	month • ( = 0.08˙3 yrs)	masculine	‫شهر واحد‬
year-duration	years	feminine	‫سنة واحدة‬
year-duration	decades	masculine	‫عقد واحد‬
year-duration	centuries	masculine	‫قرن واحد‬

# Unit Power Components
#Unit	Case	Gender	Pattern for zero	Case MP + pattern with 0.0	Pattern for one	Case MP + pattern with 1.0	Pattern for two	Case MP + pattern with 2.0	Pattern for few	Case MP + pattern with 4.0	Pattern for many	Case MP + pattern with 12.0	Pattern for other	Case MP + pattern with 101.0
power2	nominative	masculine • (day)	‫{0} مربّع‬	‫٠ يوم مربّع‬	‫{0} مربّع‬	‫يوم مربّعيوم‬	‫{0} مربّعان‬	‫يومان مربّعانيومان‬	‫{0} مربّعة‬	‫٤ أيام مربّعة‬	‫{0} مربّعًا‬	‫١٢ يومًا مربّعًا‬	‫{0} مربّع‬	‫١٠١ يوم مربّع‬
power2	nominative	feminine • (second)	‫{0} مربّعة‬	‫٠ ثانية مربّعة‬	‫{0} مربّعة‬	‫ثانية مربّعةثانية‬	‫{0} مربّعتان‬	‫ثانيتان مربّعتانثانيتان‬	‫{0} مربّعة‬	‫٤ ثوان مربّعة‬	‫{0} مربّعة‬	‫١٢ ثانية مربّعة‬	‫{0} مربّعة‬	‫١٠١ ثانية مربّعة‬
power3	nominative	masculine • (day)	‫{0} مكعّب‬	‫٠ يوم مكعّب‬	‫{0} مكعّب‬	‫يوم مكعّبيوم‬	‫{0} مكعّبان‬	‫يومان مكعّبانيومان‬	‫{0} مكعّبة‬	‫٤ أيام مكعّبة‬	‫{0} مكعبًا‬	‫١٢ يومًا مكعبًا‬	‫{0} مكعّب‬	‫١٠١ يوم مكعّب‬
power3	nominative	feminine • (second)	‫{0} مكعّبة‬	‫٠ ثانية مكعّبة‬	‫{0} مكعّبة‬	‫ثانية مكعّبةثانية‬	‫{0} مكعّبتان‬	‫ثانيتان مكعّبتانثانيتان‬	‫{0} مكعّبة‬	‫٤ ثوان مكعّبة‬	‫{0} مكعّبة‬	‫١٢ ثانية مكعّبة‬	‫{0} مكعّبة‬	‫١٠١ ثانية مكعّبة‬
