# Grammatical Features
#Locale	ID	Feature	Usage	Values
Dutch	nl	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
duration	nanoseconds	common	De nanoseconde is
duration	microseconds	common	De microseconde is
duration	milliseconds	common	De milliseconde is
duration	seconds	common	De seconde is
duration	minute • ( = 60 sec)	common	De minuut is
duration	hour • ( = 3,600 sec)	neuter	Het uur is
duration	day • ( = 86,400 sec)	common	De dag is
duration	day-person • ( = 86,400 sec)	common	De dag is
duration	week • ( = 604,800 sec)	common	De week is
electric-current	milliamperes	common	De milliampère is
electric-current	amperes	common	De ampère is
electric-resistance	ohms	common	De ohm is
energy	dalton • ( = 0.00000000014924180856 J)	common	De dalton is
energy	joules	common	De joule is
energy	newton-meter • ( = 1 J)	common	De newtonmeter is
energy	calorie • ( = 4.184 J)	common	De calorie is
energy	kilojoules	common	De kilojoule is
energy	foodcalorie • ( = 4.184 kJ)	common	De kilocalorie is
energy	kilocalorie • ( = 4.184 kJ)	common	De kilocalorie is
energy	kilowatt-hour • ( = 3,600,000 kilogram-square meter-seconds per cubic second)	neuter	Het kilowattuur is
force	newtons	common	De newton is
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	neuter	Het ki­lo­wattuur per 100 kilometer is
frequency	hertz	common	De hertz is
frequency	kilohertz	common	De kilohertz is
frequency	megahertz	common	De megahertz is
frequency	gigahertz	common	De gigahertz is
graphics	pixel • ( = 1 px)	common	De pixel is
graphics	megapixels	common	De megapixel is
illuminance	lux	common	De lux is
length	picometers	common	De picometer is
length	nanometers	common	De nanometer is
length	micrometers	common	De micrometer is
length	millimeters	common	De millimeter is
length	centimeters	common	De centimeter is
length	inch • ( = 2.54 cm)	common	De inch is
length	decimeters	common	De decimeter is
length	foot • ( = 3.048 dm)	common	De voet is
length	yard • ( = 0.9144 m)	common	De yard is
length	meters	common	De meter is
length	kilometers	common	De kilometer is
length	mile • ( = 1.609344 km)	common	De mijl is
length	mile-scandinavian • ( = 10 km)	common	De Scandinavische mijl is
length	solar-radius • ( = 695,700 km)	common	De solar radius is
length	parsec • ( = 30,856,780,000,000 km)	common	De parsec is
luminous-flux	lumen	neuter	Het lumen is
luminous-intensity	candela	common	De candela is
mass	micrograms	neuter	Het microgram is
mass	milligrams	neuter	Het milligram is
mass	grain • ( = 64.79891 mg)	neuter	Het grein is
mass	carat • ( = 200 mg)	neuter	Het karaat is
mass	grams	neuter	Het gram is
mass	ounce • ( = 28.349523125 g)	common	De ounce is
mass	pound • ( = 453.59237 g)	common	De pound is
mass	kilograms	neuter	Het kilogram is
mass	metric tons	common	De metrische ton is
mass	earth-mass • ( = 5,972,200,000,000,000,000,000 t)	common	De aardmassa is
mass	solar-mass • ( = 1,988,470,000,000,000,000,000,000,000 t)	common	De zonnemassa is
portion	parts per million	common	De ppm is
portion	permyriad	neuter	Het basispunt is
portion	permille	neuter	Het promille is
portion	percent	neuter	Het procent is
portion	karat • ( = 4.1˙6%)	neuter	Het karaat is
power	milliwatts	common	De milliwatt is
power	watts	common	De watt is
power	kilowatts	common	De kilowatt is
power	megawatts	common	De megawatt is
power	gigawatts	common	De gigawatt is
power	solar-luminosity • ( = 382,800,000,000,000,000 GW)	common	De solar luminosity is
pressure	pascals	common	De pascal is
pressure	hectopascal • ( = 1 mbar)	common	De hectopascal is
pressure	millibars	common	De millibar is
pressure	kilopascals	common	De kilopascal is
pressure	bars	common	De bar is
pressure	atmosphere • ( = 1.01325 bar)	common	De atmosfeer is
pressure	megapascals	common	De megapascal is
resolution	pixel-per-centimeter • ( = 1 dpcm)	common	De pixel per centimeter is
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	common	De kilometer per uur is
speed	mile-per-hour • ( = 0.44704 m/s)	common	De mijl per uur is
speed	meters per second	common	De meter per seconde is
substance-amount	items	neuter	Het onderdeel is
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	common	De mol is
temperature	°	common	De ° is
temperature	fahrenheit • ( = 0.˙5 K)	common	De graad Fahrenheit is
temperature	celsius • ( = 1 K)	common	De graad Celsius is
temperature	kelvins	common	De kelvin is
typewidth	typographic ems	common	De em is
voltage	volts	common	De volt is
volume	drop • ( = 0.0513429332682291˙6 mL)	common	De druppel is
volume	pinch • ( = 0.23104319970703125 mL)	neuter	Het snufje is
volume	cubic-centimeter • ( = 1 mL)	common	De kubieke centimeter is
volume	milliliters	common	De milliliter is
volume	dessert-spoon • ( = 1.84834559765625 mL)	common	De dessertlepel is
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	common	De imp. dessertlepel is
volume	dram • ( = 3.6966911953125 mL)	neuter	Het drachme is
volume	teaspoon • ( = 4.92892159375 mL)	common	De theelepel is
volume	centiliters	common	De centiliter is
volume	tablespoon • ( = 1.478676478125 cL)	common	De eetlepel is
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	common	De Imp. fluid ounce is
volume	fluid-ounce • ( = 2.95735295625 cL)	common	De fluid ounce is
volume	jigger • ( = 4.436029434375 cL)	common	De jigger is
volume	deciliters	common	De deciliter is
volume	cup • ( = 2.365882365 dL)	common	De cup is
volume	cup-metric • ( = 2.5 dL)	common	De metrische cup is
volume	pint • ( = 4.73176473 dL)	common	De pint is
volume	pint-metric • ( = 5 dL)	common	De metrische pint is
volume	quart • ( = 0.946352946 L)	common	De quart is
volume	liters	common	De liter is
volume	quart-imperial • ( = 1.1365225 L)	common	De imp. quart is
volume	gallon • ( = 3.785411784 L)	common	De gallon is
volume	gallon-imperial • ( = 4.54609 L)	common	De imp. gallon is
volume	cubic-foot • ( = 28.316846592 L)	common	De kubieke voet is
volume	hectoliters	common	De hectoliter is
volume	cubic meters	common	De kubieke meter is
volume	megaliters	common	De megaliter is
volume	cubic kilometers	common	De kubieke kilometer is
volume	cubic-mile • ( = 4.168181825440579584 km³)	common	De kubieke mijl is
year-duration	month • ( = 0.08˙3 yrs)	common	De maand is
year-duration	years	neuter	Het jaar is
year-duration	decades	neuter	Het decennium is
year-duration	centuries	common	De eeuw is

# Unit Power Components
#Unit	Case	Gender	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
power2	nominative	common • (second)	vierkante {0}	1 vierkante seconde	vierkante {0}	2 vierkante seconden
power2	nominative	neuter • (hour)	vierkante {0}	1 vierkante uur	vierkante {0}	2 vierkante uur
power3	nominative	common • (second)	kubieke {0}	1 kubieke seconde	kubieke {0}	2 kubieke seconden
power3	nominative	neuter • (hour)	kubieke {0}	1 kubieke uur	kubieke {0}	2 kubieke uur
