angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	arcsekunda=ženský rod	genitive	{0} arcsekundy	1 arcsekundy=genitív	{0} arcsekúnd	3 arcsekúnd=genitív	{0} arcsekundy	0,1 arcsekundy=genitív	{0} arcsekúnd	5 arcsekúnd=genitív
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	arcsekunda=ženský rod	instrumental	{0} arcsekundou	1 arcsekundou=inštrumentál	{0} arcsekundami	3 arcsekundami=inštrumentál	{0} arcsekundy	0,1 arcsekundy=inštrumentál	{0} arcsekundami	5 arcsekundami=inštrumentál
angle	arc-minute ( = 0.00004˙629 rev)	feminine	arcminúta=ženský rod	nominative	{0} arcminúta	1 arcminúta=nominatív	{0} arcminúty	3 arcminúty=nominatív	{0} arcminúty	0,1 arcminúty=nominatív	{0} arcminút	5 arcminút=nominatív
angle	arc-minute ( = 0.00004˙629 rev)	feminine	arcminúta=ženský rod	accusative	{0} arcminútu	1 arcminútu=akuzatív	{0} arcminúty	3 arcminúty=akuzatív	{0} arcminúty	0,1 arcminúty=akuzatív	{0} arcminút	5 arcminút=akuzatív
angle	arc-minute ( = 0.00004˙629 rev)	feminine	arcminúta=ženský rod	genitive	{0} arcminúty	1 arcminúty=genitív	{0} arcminút	3 arcminút=genitív	{0} arcminúty	0,1 arcminúty=genitív	{0} arcminút	5 arcminút=genitív
angle	arc-minute ( = 0.00004˙629 rev)	feminine	arcminúta=ženský rod	instrumental	{0} arcminútou	1 arcminútou=inštrumentál	{0} arcminútami	3 arcminútami=inštrumentál	{0} arcminúty	0,1 arcminúty=inštrumentál	{0} arcminútami	5 arcminútami=inštrumentál
angle	degree ( = 0.002˙7 rev)	inanimate	stupeň=mužský rod, neživotné	nominative	{0} stupeň	1 stupeň=nominatív	{0} stupne	3 stupne=nominatív	{0} stupňa	0,1 stupňa=nominatív	{0} stupňov	5 stupňov=nominatív
angle	degree ( = 0.002˙7 rev)	inanimate	stupeň=mužský rod, neživotné	accusative	{0} stupeň	1 stupeň=akuzatív	{0} stupne	3 stupne=akuzatív	{0} stupňa	0,1 stupňa=akuzatív	{0} stupňov	5 stupňov=akuzatív
angle	degree ( = 0.002˙7 rev)	inanimate	stupeň=mužský rod, neživotné	genitive	{0} stupňa	1 stupňa=genitív	{0} stupňov	3 stupňov=genitív	{0} stupňa	0,1 stupňa=genitív	{0} stupňov	5 stupňov=genitív
angle	degree ( = 0.002˙7 rev)	inanimate	stupeň=mužský rod, neživotné	instrumental	{0} stupňom	1 stupňom=inštrumentál	{0} stupňami	3 stupňami=inštrumentál	{0} stupňa	0,1 stupňa=inštrumentál	{0} stupňami	5 stupňami=inštrumentál
angle	radian ( = ~0.1591549430918953 rev)	inanimate	radián=mužský rod, neživotné	nominative	{0} radián	1 radián=nominatív	{0} radiány	3 radiány=nominatív	{0} radiánu	0,1 radiánu=nominatív	{0} radiánov	5 radiánov=nominatív
angle	radian ( = ~0.1591549430918953 rev)	inanimate	radián=mužský rod, neživotné	accusative	{0} radián	1 radián=akuzatív	{0} radiány	3 radiány=akuzatív	{0} radiánu	0,1 radiánu=akuzatív	{0} radiánov	5 radiánov=akuzatív
angle	radian ( = ~0.1591549430918953 rev)	inanimate	radián=mužský rod, neživotné	genitive	{0} radiánu	1 radiánu=genitív	{0} radiánov	3 radiánov=genitív	{0} radiánu	0,1 radiánu=genitív	{0} radiánov	5 radiánov=genitív
angle	radian ( = ~0.1591549430918953 rev)	inanimate	radián=mužský rod, neživotné	instrumental	{0} radiánom	1 radiánom=inštrumentál	{0} radiánmi	3 radiánmi=inštrumentál	{0} radiánu	0,1 radiánu=inštrumentál	{0} radiánmi	5 radiánmi=inštrumentál
angle	revolutions	feminine	otáčka=ženský rod	nominative	{0} otáčka	1 otáčka=nominatív	{0} otáčky	3 otáčky=nominatív	{0} otáčky	0,1 otáčky=nominatív	{0} otáčok	5 otáčok=nominatív
angle	revolutions	feminine	otáčka=ženský rod	accusative	{0} otáčku	1 otáčku=akuzatív	{0} otáčky	3 otáčky=akuzatív	{0} otáčky	0,1 otáčky=akuzatív	{0} otáčok	5 otáčok=akuzatív
angle	revolutions	feminine	otáčka=ženský rod	genitive	{0} otáčky	1 otáčky=genitív	{0} otáčok	3 otáčok=genitív	{0} otáčky	0,1 otáčky=genitív	{0} otáčok	5 otáčok=genitív
angle	revolutions	feminine	otáčka=ženský rod	instrumental	{0} otáčkou	1 otáčkou=inštrumentál	{0} otáčkami	3 otáčkami=inštrumentál	{0} otáčky	0,1 otáčky=inštrumentál	{0} otáčkami	5 otáčkami=inštrumentál
area	square centimeters	n/a	n/a	nominative	{0} centimeter štvorcový	1 centimeter štvorcový=nominatív	{0} centimetre štvorcové	3 centimetre štvorcové=nominatív	{0} centimetra štvorcového	0,1 centimetra štvorcového=nominatív	{0} centimetrov štvorcových	5 centimetrov štvorcových=nominatív
area	square centimeters	n/a	n/a	accusative	{0} centimeter štvorcový	1 centimeter štvorcový=akuzatív	{0} centimetre štvorcové	3 centimetre štvorcové=akuzatív	{0} centimetra štvorcového	0,1 centimetra štvorcového=akuzatív	{0} centimetrov štvorcových	5 centimetrov štvorcových=akuzatív
area	square centimeters	n/a	n/a	genitive	{0} centimeter štvorcový	1 centimeter štvorcový=genitív	{0} centimetre štvorcové	3 centimetre štvorcové=genitív	{0} centimetra štvorcového	0,1 centimetra štvorcového=genitív	{0} centimetrov štvorcových	5 centimetrov štvorcových=genitív
area	square centimeters	n/a	n/a	instrumental	{0} centimeter štvorcový	1 centimeter štvorcový=inštrumentál	{0} centimetre štvorcové	3 centimetre štvorcové=inštrumentál	{0} centimetra štvorcového	0,1 centimetra štvorcového=inštrumentál	{0} centimetrov štvorcových	5 centimetrov štvorcových=inštrumentál
area	square meters	n/a	n/a	nominative	{0} meter štvorcový	1 meter štvorcový=nominatív	{0} metre štvorcové	3 metre štvorcové=nominatív	{0} metra štvorcového	0,1 metra štvorcového=nominatív	{0} metrov štvorcových	5 metrov štvorcových=nominatív
area	square meters	n/a	n/a	accusative	{0} meter štvorcový	1 meter štvorcový=akuzatív	{0} metre štvorcové	3 metre štvorcové=akuzatív	{0} metra štvorcového	0,1 metra štvorcového=akuzatív	{0} metrov štvorcových	5 metrov štvorcových=akuzatív
area	square meters	n/a	n/a	genitive	{0} meter štvorcový	1 meter štvorcový=genitív	{0} metre štvorcové	3 metre štvorcové=genitív	{0} metra štvorcového	0,1 metra štvorcového=genitív	{0} metrov štvorcových	5 metrov štvorcových=genitív
area	square meters	n/a	n/a	instrumental	{0} meter štvorcový	1 meter štvorcový=inštrumentál	{0} metre štvorcové	3 metre štvorcové=inštrumentál	{0} metra štvorcového	0,1 metra štvorcového=inštrumentál	{0} metrov štvorcových	5 metrov štvorcových=inštrumentál
area	hectares	inanimate	hektár=mužský rod, neživotné	nominative	{0} hektár	1 hektár=nominatív	{0} hektáre	3 hektáre=nominatív	{0} hektára	0,1 hektára=nominatív	{0} hektárov	5 hektárov=nominatív
area	hectares	inanimate	hektár=mužský rod, neživotné	accusative	{0} hektár	1 hektár=akuzatív	{0} hektáre	3 hektáre=akuzatív	{0} hektára	0,1 hektára=akuzatív	{0} hektárov	5 hektárov=akuzatív
area	hectares	inanimate	hektár=mužský rod, neživotné	genitive	{0} hektára	1 hektára=genitív	{0} hektárov	3 hektárov=genitív	{0} hektára	0,1 hektára=genitív	{0} hektárov	5 hektárov=genitív
area	hectares	inanimate	hektár=mužský rod, neživotné	instrumental	{0} hektárom	1 hektárom=inštrumentál	{0} hektármi	3 hektármi=inštrumentál	{0} hektára	0,1 hektára=inštrumentál	{0} hektármi	5 hektármi=inštrumentál
area	square kilometers	n/a	n/a	nominative	{0} kilometer štvorcový	1 kilometer štvorcový=nominatív	{0} kilometre štvorcové	3 kilometre štvorcové=nominatív	{0} kilometra štvorcového	0,1 kilometra štvorcového=nominatív	{0} kilometrov štvorcových	5 kilometrov štvorcových=nominatív
area	square kilometers	n/a	n/a	accusative	{0} kilometer štvorcový	1 kilometer štvorcový=akuzatív	{0} kilometre štvorcové	3 kilometre štvorcové=akuzatív	{0} kilometra štvorcového	0,1 kilometra štvorcového=akuzatív	{0} kilometrov štvorcových	5 kilometrov štvorcových=akuzatív
area	square kilometers	n/a	n/a	genitive	{0} kilometer štvorcový	1 kilometer štvorcový=genitív	{0} kilometre štvorcové	3 kilometre štvorcové=genitív	{0} kilometra štvorcového	0,1 kilometra štvorcového=genitív	{0} kilometrov štvorcových	5 kilometrov štvorcových=genitív
area	square kilometers	n/a	n/a	instrumental	{0} kilometer štvorcový	1 kilometer štvorcový=inštrumentál	{0} kilometre štvorcové	3 kilometre štvorcové=inštrumentál	{0} kilometra štvorcového	0,1 kilometra štvorcového=inštrumentál	{0} kilometrov štvorcových	5 kilometrov štvorcových=inštrumentál
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	nominative	{0} milimol na liter	1 milimol na liter=nominatív	{0} milimoly na liter	3 milimoly na liter=nominatív	{0} milimolu na liter	0,1 milimolu na liter=nominatív	{0} milimolov na liter	5 milimolov na liter=nominatív
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	accusative	{0} milimol na liter	1 milimol na liter=akuzatív	{0} milimoly na liter	3 milimoly na liter=akuzatív	{0} milimolu na liter	0,1 milimolu na liter=akuzatív	{0} milimolov na liter	5 milimolov na liter=akuzatív
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	genitive	{0} milimol na liter	1 milimol na liter=genitív	{0} milimoly na liter	3 milimoly na liter=genitív	{0} milimolu na liter	0,1 milimolu na liter=genitív	{0} milimolov na liter	5 milimolov na liter=genitív
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	instrumental	{0} milimol na liter	1 milimol na liter=inštrumentál	{0} milimoly na liter	3 milimoly na liter=inštrumentál	{0} milimolu na liter	0,1 milimolu na liter=inštrumentál	{0} milimolov na liter	5 milimolov na liter=inštrumentál
consumption	liters per 100 kilometers	n/a	n/a	nominative	{0} liter na 100 kilometrov	1 liter na 100 kilometrov=nominatív	{0} litre na 100 kilometrov	3 litre na 100 kilometrov=nominatív	{0} litra na 100 kilometrov	0,1 litra na 100 kilometrov=nominatív	{0} litrov na 100 kilometrov	5 litrov na 100 kilometrov=nominatív
consumption	liters per 100 kilometers	n/a	n/a	accusative	{0} liter na 100 kilometrov	1 liter na 100 kilometrov=akuzatív	{0} litre na 100 kilometrov	3 litre na 100 kilometrov=akuzatív	{0} litra na 100 kilometrov	0,1 litra na 100 kilometrov=akuzatív	{0} litrov na 100 kilometrov	5 litrov na 100 kilometrov=akuzatív
consumption	liters per 100 kilometers	n/a	n/a	genitive	{0} liter na 100 kilometrov	1 liter na 100 kilometrov=genitív	{0} litre na 100 kilometrov	3 litre na 100 kilometrov=genitív	{0} litra na 100 kilometrov	0,1 litra na 100 kilometrov=genitív	{0} litrov na 100 kilometrov	5 litrov na 100 kilometrov=genitív
consumption	liters per 100 kilometers	n/a	n/a	instrumental	{0} liter na 100 kilometrov	1 liter na 100 kilometrov=inštrumentál	{0} litre na 100 kilometrov	3 litre na 100 kilometrov=inštrumentál	{0} litra na 100 kilometrov	0,1 litra na 100 kilometrov=inštrumentál	{0} litrov na 100 kilometrov	5 litrov na 100 kilometrov=inštrumentál
consumption	liters per kilometer	n/a	n/a	nominative	{0} liter na kilometer	1 liter na kilometer=nominatív	{0} litre na kilometer	3 litre na kilometer=nominatív	{0} litra na kilometer	0,1 litra na kilometer=nominatív	{0} litrov na kilometer	5 litrov na kilometer=nominatív
consumption	liters per kilometer	n/a	n/a	accusative	{0} liter na kilometer	1 liter na kilometer=akuzatív	{0} litre na kilometer	3 litre na kilometer=akuzatív	{0} litra na kilometer	0,1 litra na kilometer=akuzatív	{0} litrov na kilometer	5 litrov na kilometer=akuzatív
consumption	liters per kilometer	n/a	n/a	genitive	{0} liter na kilometer	1 liter na kilometer=genitív	{0} litre na kilometer	3 litre na kilometer=genitív	{0} litra na kilometer	0,1 litra na kilometer=genitív	{0} litrov na kilometer	5 litrov na kilometer=genitív
consumption	liters per kilometer	n/a	n/a	instrumental	{0} liter na kilometer	1 liter na kilometer=inštrumentál	{0} litre na kilometer	3 litre na kilometer=inštrumentál	{0} litra na kilometer	0,1 litra na kilometer=inštrumentál	{0} litrov na kilometer	5 litrov na kilometer=inštrumentál
digital	bits	inanimate	bit=mužský rod, neživotné	nominative	{0} bit	1 bit=nominatív	{0} bity	3 bity=nominatív	{0} bitu	0,1 bitu=nominatív	{0} bitov	5 bitov=nominatív
digital	bits	inanimate	bit=mužský rod, neživotné	accusative	{0} bit	1 bit=akuzatív	{0} bity	3 bity=akuzatív	{0} bitu	0,1 bitu=akuzatív	{0} bitov	5 bitov=akuzatív
digital	bits	inanimate	bit=mužský rod, neživotné	genitive	{0} bitu	1 bitu=genitív	{0} bitov	3 bitov=genitív	{0} bitu	0,1 bitu=genitív	{0} bitov	5 bitov=genitív
digital	bits	inanimate	bit=mužský rod, neživotné	instrumental	{0} bitom	1 bitom=inštrumentál	{0} bitmi	3 bitmi=inštrumentál	{0} bitu	0,1 bitu=inštrumentál	{0} bitmi	5 bitmi=inštrumentál
digital	byte ( = 8 bit)	inanimate	bajt=mužský rod, neživotné	nominative	{0} bajt	1 bajt=nominatív	{0} bajty	3 bajty=nominatív	{0} bajtu	0,1 bajtu=nominatív	{0} bajtov	5 bajtov=nominatív
digital	byte ( = 8 bit)	inanimate	bajt=mužský rod, neživotné	accusative	{0} bajt	1 bajt=akuzatív	{0} bajty	3 bajty=akuzatív	{0} bajtu	0,1 bajtu=akuzatív	{0} bajtov	5 bajtov=akuzatív
digital	byte ( = 8 bit)	inanimate	bajt=mužský rod, neživotné	genitive	{0} bajtu	1 bajtu=genitív	{0} bajtov	3 bajtov=genitív	{0} bajtu	0,1 bajtu=genitív	{0} bajtov	5 bajtov=genitív
digital	byte ( = 8 bit)	inanimate	bajt=mužský rod, neživotné	instrumental	{0} bajtom	1 bajtom=inštrumentál	{0} bajtmi	3 bajtmi=inštrumentál	{0} bajtu	0,1 bajtu=inštrumentál	{0} bajtmi	5 bajtmi=inštrumentál
duration	nanoseconds	n/a	n/a	nominative	{0} nanosekunda	1 nanosekunda=nominatív	{0} nanosekundy	3 nanosekundy=nominatív	{0} nanosekundy	0,1 nanosekundy=nominatív	{0} nanosekúnd	5 nanosekúnd=nominatív
duration	nanoseconds	n/a	n/a	accusative	{0} nanosekunda	1 nanosekunda=akuzatív	{0} nanosekundy	3 nanosekundy=akuzatív	{0} nanosekundy	0,1 nanosekundy=akuzatív	{0} nanosekúnd	5 nanosekúnd=akuzatív
duration	nanoseconds	n/a	n/a	genitive	{0} nanosekunda	1 nanosekunda=genitív	{0} nanosekundy	3 nanosekundy=genitív	{0} nanosekundy	0,1 nanosekundy=genitív	{0} nanosekúnd	5 nanosekúnd=genitív
duration	nanoseconds	n/a	n/a	instrumental	{0} nanosekunda	1 nanosekunda=inštrumentál	{0} nanosekundy	3 nanosekundy=inštrumentál	{0} nanosekundy	0,1 nanosekundy=inštrumentál	{0} nanosekúnd	5 nanosekúnd=inštrumentál
duration	microseconds	n/a	n/a	nominative	{0} mikrosekunda	1 mikrosekunda=nominatív	{0} mikrosekundy	3 mikrosekundy=nominatív	{0} mikrosekundy	0,1 mikrosekundy=nominatív	{0} mikrosekúnd	5 mikrosekúnd=nominatív
duration	microseconds	n/a	n/a	accusative	{0} mikrosekunda	1 mikrosekunda=akuzatív	{0} mikrosekundy	3 mikrosekundy=akuzatív	{0} mikrosekundy	0,1 mikrosekundy=akuzatív	{0} mikrosekúnd	5 mikrosekúnd=akuzatív
duration	microseconds	n/a	n/a	genitive	{0} mikrosekunda	1 mikrosekunda=genitív	{0} mikrosekundy	3 mikrosekundy=genitív	{0} mikrosekundy	0,1 mikrosekundy=genitív	{0} mikrosekúnd	5 mikrosekúnd=genitív
duration	microseconds	n/a	n/a	instrumental	{0} mikrosekunda	1 mikrosekunda=inštrumentál	{0} mikrosekundy	3 mikrosekundy=inštrumentál	{0} mikrosekundy	0,1 mikrosekundy=inštrumentál	{0} mikrosekúnd	5 mikrosekúnd=inštrumentál
duration	milliseconds	n/a	n/a	nominative	{0} milisekunda	1 milisekunda=nominatív	{0} milisekundy	3 milisekundy=nominatív	{0} milisekundy	0,1 milisekundy=nominatív	{0} milisekúnd	5 milisekúnd=nominatív
duration	milliseconds	n/a	n/a	accusative	{0} milisekunda	1 milisekunda=akuzatív	{0} milisekundy	3 milisekundy=akuzatív	{0} milisekundy	0,1 milisekundy=akuzatív	{0} milisekúnd	5 milisekúnd=akuzatív
duration	milliseconds	n/a	n/a	genitive	{0} milisekunda	1 milisekunda=genitív	{0} milisekundy	3 milisekundy=genitív	{0} milisekundy	0,1 milisekundy=genitív	{0} milisekúnd	5 milisekúnd=genitív
duration	milliseconds	n/a	n/a	instrumental	{0} milisekunda	1 milisekunda=inštrumentál	{0} milisekundy	3 milisekundy=inštrumentál	{0} milisekundy	0,1 milisekundy=inštrumentál	{0} milisekúnd	5 milisekúnd=inštrumentál
duration	seconds	feminine	sekunda=ženský rod	nominative	{0} sekunda	1 sekunda=nominatív	{0} sekundy	3 sekundy=nominatív	{0} sekundy	0,1 sekundy=nominatív	{0} sekúnd	5 sekúnd=nominatív
duration	seconds	feminine	sekunda=ženský rod	accusative	{0} sekundu	1 sekundu=akuzatív	{0} sekundy	3 sekundy=akuzatív	{0} sekundy	0,1 sekundy=akuzatív	{0} sekúnd	5 sekúnd=akuzatív
duration	seconds	feminine	sekunda=ženský rod	genitive	{0} sekundy	1 sekundy=genitív	{0} sekúnd	3 sekúnd=genitív	{0} sekundy	0,1 sekundy=genitív	{0} sekúnd	5 sekúnd=genitív
duration	seconds	feminine	sekunda=ženský rod	instrumental	{0} sekundou	1 sekundou=inštrumentál	{0} sekundami	3 sekundami=inštrumentál	{0} sekundy	0,1 sekundy=inštrumentál	{0} sekundami	5 sekundami=inštrumentál
duration	minute ( = 60 sec)	feminine	minúta=ženský rod	nominative	{0} minúta	1 minúta=nominatív	{0} minúty	3 minúty=nominatív	{0} minúty	0,1 minúty=nominatív	{0} minút	5 minút=nominatív
duration	minute ( = 60 sec)	feminine	minúta=ženský rod	accusative	{0} minútu	1 minútu=akuzatív	{0} minúty	3 minúty=akuzatív	{0} minúty	0,1 minúty=akuzatív	{0} minút	5 minút=akuzatív
duration	minute ( = 60 sec)	feminine	minúta=ženský rod	genitive	{0} minúty	1 minúty=genitív	{0} minút	3 minút=genitív	{0} minúty	0,1 minúty=genitív	{0} minút	5 minút=genitív
duration	minute ( = 60 sec)	feminine	minúta=ženský rod	instrumental	{0} minútou	1 minútou=inštrumentál	{0} minútami	3 minútami=inštrumentál	{0} minúty	0,1 minúty=inštrumentál	{0} minútami	5 minútami=inštrumentál
duration	hour ( = 3,600 sec)	feminine	hodina=ženský rod	nominative	{0} hodina	1 hodina=nominatív	{0} hodiny	3 hodiny=nominatív	{0} hodiny	0,1 hodiny=nominatív	{0} hodín	5 hodín=nominatív
duration	hour ( = 3,600 sec)	feminine	hodina=ženský rod	accusative	{0} hodinu	1 hodinu=akuzatív	{0} hodiny	3 hodiny=akuzatív	{0} hodiny	0,1 hodiny=akuzatív	{0} hodín	5 hodín=akuzatív
duration	hour ( = 3,600 sec)	feminine	hodina=ženský rod	genitive	{0} hodiny	1 hodiny=genitív	{0} hodín	3 hodín=genitív	{0} hodiny	0,1 hodiny=genitív	{0} hodín	5 hodín=genitív
duration	hour ( = 3,600 sec)	feminine	hodina=ženský rod	instrumental	{0} hodinou	1 hodinou=inštrumentál	{0} hodinami	3 hodinami=inštrumentál	{0} hodiny	0,1 hodiny=inštrumentál	{0} hodinami	5 hodinami=inštrumentál
duration	day ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	nominative	{0} deň	1 deň=nominatív	{0} dni	3 dni=nominatív	{0} dňa	0,1 dňa=nominatív	{0} dní	5 dní=nominatív
duration	day ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	accusative	{0} deň	1 deň=akuzatív	{0} dni	3 dni=akuzatív	{0} dňa	0,1 dňa=akuzatív	{0} dní	5 dní=akuzatív
duration	day ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	genitive	{0} dňa	1 dňa=genitív	{0} dní	3 dní=genitív	{0} dňa	0,1 dňa=genitív	{0} dní	5 dní=genitív
duration	day ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	instrumental	{0} dňom	1 dňom=inštrumentál	{0} dňami	3 dňami=inštrumentál	{0} dňa	0,1 dňa=inštrumentál	{0} dňami	5 dňami=inštrumentál
duration	day-person ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	nominative	{0} deň	1 deň=nominatív	{0} dni	3 dni=nominatív	{0} dňa	0,1 dňa=nominatív	{0} dní	5 dní=nominatív
duration	day-person ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	accusative	{0} deň	1 deň=akuzatív	{0} dni	3 dni=akuzatív	{0} dňa	0,1 dňa=akuzatív	{0} dní	5 dní=akuzatív
duration	day-person ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	genitive	{0} dňa	1 dňa=genitív	{0} dní	3 dní=genitív	{0} dňa	0,1 dňa=genitív	{0} dní	5 dní=genitív
duration	day-person ( = 86,400 sec)	inanimate	deň=mužský rod, neživotné	instrumental	{0} dňom	1 dňom=inštrumentál	{0} dňami	3 dňami=inštrumentál	{0} dňa	0,1 dňa=inštrumentál	{0} dňami	5 dňami=inštrumentál
duration	week ( = 604,800 sec)	inanimate	týždeň=mužský rod, neživotné	nominative	{0} týždeň	1 týždeň=nominatív	{0} týždne	3 týždne=nominatív	{0} týždňa	0,1 týždňa=nominatív	{0} týždňov	5 týždňov=nominatív
