# Grammatical Features
#Locale	ID	Feature	Usage	Values
Punjabi	pa	grammaticalCase	general	nominative, oblique
Punjabi	pa	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} ਘੰਟਾ	<div class='cldr_example'><span class='cldr_substituted'>1</span> ਘੰਟਾ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ਘੰਟਾ</div>
Plural	other	{0} ਘੰਟੇ	<div class='cldr_example'><span class='cldr_substituted'>2</span> ਘੰਟੇ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ਘੰਟੇ</div>
Case (for measurement units)	nominative	ਅਧਿਆਪਕ ਨੇ {0} ਪੜ੍ਹਾਇਆ	<div class='cldr_example'>ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>1 ਘੰਟਾ</span> ਪੜ੍ਹਾਇਆ</div><div class='cldr_example'>❌  ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>2 ਘੰਟਿਆਂ</span> ਪੜ੍ਹਾਇਆ</div>
Case (for measurement units)	oblique	ਅਧਿਆਪਕ ਨੇ {0} ਤੱਕ ਪੜ੍ਹਾਇਆ	<div class='cldr_example'>ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>2 ਘੰਟਿਆਂ</span> ਤੱਕ ਪੜ੍ਹਾਇਆ</div><div class='cldr_example'>❌  ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>1 ਘੰਟਾ</span> ਤੱਕ ਪੜ੍ਹਾਇਆ</div>
Gender (for measurement units)	masculine	ਇਹ ਕਿੰਨੇ {0} ਦਾ ਹੈ	<div class='cldr_example'>ਇਹ ਕਿੰਨੇ <span class='cldr_substituted'>ਦਿਨ</span> ਦਾ ਹੈ</div><div class='cldr_example'>❌  ਇਹ ਕਿੰਨੇ <span class='cldr_substituted'>ਵਾਟ</span> ਦਾ ਹੈ</div>
Gender (for measurement units)	feminine	ਇਹ ਕਿੰਨੀ {0} ਦਾ ਹੈ	<div class='cldr_example'>ਇਹ ਕਿੰਨੀ <span class='cldr_substituted'>ਵਾਟ</span> ਦਾ ਹੈ</div><div class='cldr_example'>❌  ਇਹ ਕਿੰਨੀ <span class='cldr_substituted'>ਦਿਨ</span> ਦਾ ਹੈ</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
angle	radian • ( = ~0.1591549430918953 rev)	masculine	ਇਹ ਕਿੰਨੇ ਰੇਡੀਅਨ ਦਾ ਹੈ	nominative	{0} ਰੇਡੀਅਨ	ਅਧਿਆਪਕ ਨੇ 1 ਰੇਡੀਅਨ ਪੜ੍ਹਾਇਆ	{0} ਰੇਡੀਅਨ	ਅਧਿਆਪਕ ਨੇ 3 ਰੇਡੀਅਨ ਪੜ੍ਹਾਇਆ
angle	radian • ( = ~0.1591549430918953 rev)	masculine	ਇਹ ਕਿੰਨੇ ਰੇਡੀਅਨ ਦਾ ਹੈ	oblique	{0} ਰੇਡੀਅਨ	ਅਧਿਆਪਕ ਨੇ 1 ਰੇਡੀਅਨ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਰੇਡੀਅਨ	ਅਧਿਆਪਕ ਨੇ 3 ਰੇਡੀਅਨ ਤੱਕ ਪੜ੍ਹਾਇਆ
angle	revolutions	feminine	ਇਹ ਕਿੰਨੀ ਪਰਿਕਰਮਾ ਦਾ ਹੈ	nominative	{0} ਪਰਿਕਰਮਾ	ਅਧਿਆਪਕ ਨੇ 1 ਪਰਿਕਰਮਾ ਪੜ੍ਹਾਇਆ	{0} ਪਰਿਕਰਮਾ	ਅਧਿਆਪਕ ਨੇ 3 ਪਰਿਕਰਮਾ ਪੜ੍ਹਾਇਆ
angle	revolutions	feminine	ਇਹ ਕਿੰਨੀ ਪਰਿਕਰਮਾ ਦਾ ਹੈ	oblique	{0} ਪਰਿਕਰਮਾ	ਅਧਿਆਪਕ ਨੇ 1 ਪਰਿਕਰਮਾ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਪਰਿਕਰਮਾ	ਅਧਿਆਪਕ ਨੇ 3 ਪਰਿਕਰਮਾ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	square centimeters	masculine	ਇਹ ਕਿੰਨੇ ਵਰਗ ਸੈਂਟੀਮੀਟਰ ਦਾ ਹੈ	nominative	{0} ਵਰਗ ਸੈਂਟੀਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਸੈਂਟੀਮੀਟਰ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਸੈਂਟੀਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਸੈਂਟੀਮੀਟਰ ਪੜ੍ਹਾਇਆ
area	square centimeters	masculine	ਇਹ ਕਿੰਨੇ ਵਰਗ ਸੈਂਟੀਮੀਟਰ ਦਾ ਹੈ	oblique	{0} ਵਰਗ ਸੈਂਟੀਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਸੈਂਟੀਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਸੈਂਟੀਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਸੈਂਟੀਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	nominative	{0} ਵਰਗ ਇੰਚ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਇੰਚ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਇੰਚ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਇੰਚ ਪੜ੍ਹਾਇਆ
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	oblique	{0} ਵਰਗ ਇੰਚ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਇੰਚ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਇੰਚ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਇੰਚ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	nominative	{0} ਵਰਗ ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਫੁੱਟ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਫੁੱਟ ਪੜ੍ਹਾਇਆ
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	oblique	{0} ਵਰਗ ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਫੁੱਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਫੁੱਟ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਫੁੱਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	nominative	{0} ਵਰਗ ਗਜ਼	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਗਜ਼ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਗਜ਼	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਗਜ਼ ਪੜ੍ਹਾਇਆ
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	oblique	{0} ਵਰਗ ਗਜ਼	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਗਜ਼ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਗਜ਼	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਗਜ਼ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	square meters	masculine	ਇਹ ਕਿੰਨੇ ਵਰਗ ਮੀਟਰ ਦਾ ਹੈ	nominative	{0} ਵਰਗ ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਮੀਟਰ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਮੀਟਰ ਪੜ੍ਹਾਇਆ
area	square meters	masculine	ਇਹ ਕਿੰਨੇ ਵਰਗ ਮੀਟਰ ਦਾ ਹੈ	oblique	{0} ਵਰਗ ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	acre • ( = 4046.8564224 m²)	n/a	n/a	nominative	{0} ਏਕੜ	ਅਧਿਆਪਕ ਨੇ 1 ਏਕੜ ਪੜ੍ਹਾਇਆ	{0} ਏਕੜ	ਅਧਿਆਪਕ ਨੇ 3 ਏਕੜ ਪੜ੍ਹਾਇਆ
area	acre • ( = 4046.8564224 m²)	n/a	n/a	oblique	{0} ਏਕੜ	ਅਧਿਆਪਕ ਨੇ 1 ਏਕੜ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਏਕੜ	ਅਧਿਆਪਕ ਨੇ 3 ਏਕੜ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	hectares	masculine	ਇਹ ਕਿੰਨੇ ਹੈਕਟੇਅਰ ਦਾ ਹੈ	nominative	{0} ਹੈਕਟੇਅਰ	ਅਧਿਆਪਕ ਨੇ 1 ਹੈਕਟੇਅਰ ਪੜ੍ਹਾਇਆ	{0} ਹੈਕਟੇਅਰ	ਅਧਿਆਪਕ ਨੇ 3 ਹੈਕਟੇਅਰ ਪੜ੍ਹਾਇਆ
area	hectares	masculine	ਇਹ ਕਿੰਨੇ ਹੈਕਟੇਅਰ ਦਾ ਹੈ	oblique	{0} ਹੈਕਟੇਅਰ	ਅਧਿਆਪਕ ਨੇ 1 ਹੈਕਟੇਅਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਹੈਕਟੇਅਰ	ਅਧਿਆਪਕ ਨੇ 3 ਹੈਕਟੇਅਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	square kilometers	masculine	ਇਹ ਕਿੰਨੇ ਵਰਗ ਕਿਲੋਮੀਟਰ ਦਾ ਹੈ	nominative	{0} ਵਰਗ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਕਿਲੋਮੀਟਰ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਕਿਲੋਮੀਟਰ ਪੜ੍ਹਾਇਆ
area	square kilometers	masculine	ਇਹ ਕਿੰਨੇ ਵਰਗ ਕਿਲੋਮੀਟਰ ਦਾ ਹੈ	oblique	{0} ਵਰਗ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਕਿਲੋਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਕਿਲੋਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	nominative	{0} ਵਰਗ ਮੀਲ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਮੀਲ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਮੀਲ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਮੀਲ ਪੜ੍ਹਾਇਆ
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	oblique	{0} ਵਰਗ ਮੀਲ	ਅਧਿਆਪਕ ਨੇ 1 ਵਰਗ ਮੀਲ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਵਰਗ ਮੀਲ	ਅਧਿਆਪਕ ਨੇ 3 ਵਰਗ ਮੀਲ ਤੱਕ ਪੜ੍ਹਾਇਆ
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	ਇਹ ਕਿੰਨੇ ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ ਦਾ ਹੈ	nominative	{0} ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ ਪੜ੍ਹਾਇਆ	{0} ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ ਪੜ੍ਹਾਇਆ
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	ਇਹ ਕਿੰਨੇ ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ ਦਾ ਹੈ	oblique	{0} ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਮਿਲੀਮੋਲ ਪ੍ਰਤੀ ਲਿਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
consumption	liters per 100 kilometers	masculine	ਇਹ ਕਿੰਨੇ ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ ਦਾ ਹੈ	nominative	{0} ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ ਪੜ੍ਹਾਇਆ	{0} ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ ਪੜ੍ਹਾਇਆ
consumption	liters per 100 kilometers	masculine	ਇਹ ਕਿੰਨੇ ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ ਦਾ ਹੈ	oblique	{0} ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਲਿਟਰ ਪ੍ਰਤੀ 100 ਕਿਲੋਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
consumption	liters per kilometer	masculine	ਇਹ ਕਿੰਨੇ ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ ਦਾ ਹੈ	nominative	{0} ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ ਪੜ੍ਹਾਇਆ	{0} ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ ਪੜ੍ਹਾਇਆ
consumption	liters per kilometer	masculine	ਇਹ ਕਿੰਨੇ ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ ਦਾ ਹੈ	oblique	{0} ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 1 ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ	ਅਧਿਆਪਕ ਨੇ 3 ਲਿਟਰ ਪ੍ਰਤੀ ਕਿਲੋਮੀਟਰ ਤੱਕ ਪੜ੍ਹਾਇਆ
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	nominative	{0} ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 1 ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ ਪੜ੍ਹਾਇਆ	{0} ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 3 ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ ਪੜ੍ਹਾਇਆ
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	oblique	{0} ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 1 ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 3 ਮੀਲ ਪ੍ਰਤੀ ਇੰਪ. ਗੈਲਨ ਤੱਕ ਪੜ੍ਹਾਇਆ
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	nominative	{0} ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 1 ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ ਪੜ੍ਹਾਇਆ	{0} ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 3 ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ ਪੜ੍ਹਾਇਆ
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	oblique	{0} ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 1 ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ	ਅਧਿਆਪਕ ਨੇ 3 ਮੀਲ ਪ੍ਰਤੀ ਗੈਲਨ ਤੱਕ ਪੜ੍ਹਾਇਆ
digital	bits	feminine	ਇਹ ਕਿੰਨੀ ਬਿਟ ਦਾ ਹੈ	nominative	{0} ਬਿਟ	ਅਧਿਆਪਕ ਨੇ 1 ਬਿਟ ਪੜ੍ਹਾਇਆ	{0} ਬਿਟ	ਅਧਿਆਪਕ ਨੇ 3 ਬਿਟ ਪੜ੍ਹਾਇਆ
