# Grammatical Features
#Locale	ID	Feature	Usage	Values
Icelandic	is	grammaticalCase	general	nominative, accusative, genitive, dative
Icelandic	is	grammaticalDefiniteness	general	indefinite, definite
Icelandic	is	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dagur	<div class='cldr_example'><span class='cldr_substituted'>1</span> dagur</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dagur</div>
Plural	other	{0} dagar	<div class='cldr_example'><span class='cldr_substituted'>2</span> dagar</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dagar</div>
Case (for measurement units)	nominative	hér er {0}	<div class='cldr_example'>hér er <span class='cldr_substituted'>2 dagar</span></div><div class='cldr_example'>❌  hér er <span class='cldr_substituted'>1 dag</span></div>
Case (for measurement units)	accusative	um {0}	<div class='cldr_example'>um <span class='cldr_substituted'>1 dag</span></div><div class='cldr_example'>❌  um <span class='cldr_substituted'>1 degi</span></div>
Case (for measurement units)	genitive	til {0}	<div class='cldr_example'>til <span class='cldr_substituted'>2 daga</span></div><div class='cldr_example'>❌  til <span class='cldr_substituted'>1 dag</span></div>
Case (for measurement units)	dative	frá {0}	<div class='cldr_example'>frá <span class='cldr_substituted'>1 degi</span></div><div class='cldr_example'>❌  frá <span class='cldr_substituted'>1 dag</span></div>
Gender (for measurement units)	masculine	Einn {0} eftir	<div class='cldr_example'>Einn <span class='cldr_substituted'>dagur</span> eftir</div><div class='cldr_example'>❌  Einn <span class='cldr_substituted'>klukkustund</span> eftir</div>
Gender (for measurement units)	feminine	Ein {0} eftir	<div class='cldr_example'>Ein <span class='cldr_substituted'>klukkustund</span> eftir</div><div class='cldr_example'>❌  Ein <span class='cldr_substituted'>dagur</span> eftir</div>
Gender (for measurement units)	neuter	Eitt {0} eftir	<div class='cldr_example'>Eitt <span class='cldr_substituted'>ár</span> eftir</div><div class='cldr_example'>❌  Eitt <span class='cldr_substituted'>klukkustund</span> eftir</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for other	Case MP + pattern with 2.0
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	genitive	{0} bogasekúndu	til 21 bogasekúndu	{0} bogasekúndna	til 2 bogasekúndna
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	dative	{0} bogasekúndu	frá 21 bogasekúndu	{0} bogasekúndum	frá 2 bogasekúndum
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	nominative	{0} bogamínúta	hér er 21 bogamínúta	{0} bogamínútur	hér er 2 bogamínútur
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	accusative	{0} bogamínútu	um 21 bogamínútu	{0} bogamínútur	um 2 bogamínútur
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	genitive	{0} bogamínútu	til 21 bogamínútu	{0} bogamínútna	til 2 bogamínútna
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	dative	{0} bogamínútu	frá 21 bogamínútu	{0} bogamínútum	frá 2 bogamínútum
angle	degree • ( = 0.002˙7 rev)	feminine	Ein gráða eftir	nominative	{0} gráða	hér er 21 gráða	{0} gráður	hér er 2 gráður
angle	degree • ( = 0.002˙7 rev)	feminine	Ein gráða eftir	accusative	{0} gráðu	um 21 gráðu	{0} gráður	um 2 gráður
angle	degree • ( = 0.002˙7 rev)	feminine	Ein gráða eftir	genitive	{0} gráðu	til 21 gráðu	{0} gráða	til 2 gráða
angle	degree • ( = 0.002˙7 rev)	feminine	Ein gráða eftir	dative	{0} gráðu	frá 21 gráðu	{0} gráðum	frá 2 gráðum
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	nominative	{0} radían	hér er 21 radían	{0} radíanar	hér er 2 radíanar
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	accusative	{0} radían	um 21 radían	{0} radíana	um 2 radíana
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	genitive	{0} radíans	til 21 radíans	{0} radíana	til 2 radíana
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	dative	{0} radíani	frá 21 radíani	{0} radíönum	frá 2 radíönum
angle	revolutions	masculine	Einn snúningur eftir	nominative	{0} snúningur	hér er 21 snúningur	{0} snúningar	hér er 2 snúningar
angle	revolutions	masculine	Einn snúningur eftir	accusative	{0} snúning	um 21 snúning	{0} snúninga	um 2 snúninga
angle	revolutions	masculine	Einn snúningur eftir	genitive	{0} snúnings	til 21 snúnings	{0} snúninga	til 2 snúninga
angle	revolutions	masculine	Einn snúningur eftir	dative	{0} snúningi	frá 21 snúningi	{0} snúningum	frá 2 snúningum
area	square centimeters	masculine	Einn fersentimetri eftir	nominative	{0} fersentimetri	hér er 21 fersentimetri	{0} fersentimetrar	hér er 2 fersentimetrar
area	square centimeters	masculine	Einn fersentimetri eftir	accusative	{0} fersentimetra	um 21 fersentimetra	{0} fersentimetra	um 2 fersentimetra
area	square centimeters	masculine	Einn fersentimetri eftir	genitive	{0} fersentimetra	til 21 fersentimetra	{0} fersentimetra	til 2 fersentimetra
area	square centimeters	masculine	Einn fersentimetri eftir	dative	{0} fersentimetra	frá 21 fersentimetra	{0} fersentimetrum	frá 2 fersentimetrum
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	nominative	{0} fertomma	hér er 21 fertomma	{0} fertommur	hér er 2 fertommur
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	accusative	{0} fertomma	um 21 fertomma	{0} fertommur	um 2 fertommur
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	genitive	{0} fertomma	til 21 fertomma	{0} fertommur	til 2 fertommur
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	dative	{0} fertomma	frá 21 fertomma	{0} fertommur	frá 2 fertommur
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	nominative	{0} ferfet	hér er 21 ferfet	{0} ferfet	hér er 2 ferfet
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	accusative	{0} ferfet	um 21 ferfet	{0} ferfet	um 2 ferfet
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	genitive	{0} ferfet	til 21 ferfet	{0} ferfet	til 2 ferfet
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	dative	{0} ferfet	frá 21 ferfet	{0} ferfet	frá 2 ferfet
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	nominative	{0} feryard	hér er 21 feryard	{0} feryardar	hér er 2 feryardar
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	accusative	{0} feryard	um 21 feryard	{0} feryardar	um 2 feryardar
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	genitive	{0} feryard	til 21 feryard	{0} feryardar	til 2 feryardar
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	dative	{0} feryard	frá 21 feryard	{0} feryardar	frá 2 feryardar
area	square meters	masculine	Einn fermetri eftir	nominative	{0} fermetri	hér er 21 fermetri	{0} fermetrar	hér er 2 fermetrar
area	square meters	masculine	Einn fermetri eftir	accusative	{0} fermetra	um 21 fermetra	{0} fermetra	um 2 fermetra
area	square meters	masculine	Einn fermetri eftir	genitive	{0} fermetra	til 21 fermetra	{0} fermetra	til 2 fermetra
area	square meters	masculine	Einn fermetri eftir	dative	{0} fermetra	frá 21 fermetra	{0} fermetrum	frá 2 fermetrum
area	acre • ( = 4046.8564224 m²)	n/a	n/a	nominative	{0} ekra	hér er 21 ekra	{0} ekrur	hér er 2 ekrur
area	acre • ( = 4046.8564224 m²)	n/a	n/a	accusative	{0} ekra	um 21 ekra	{0} ekrur	um 2 ekrur
area	acre • ( = 4046.8564224 m²)	n/a	n/a	genitive	{0} ekra	til 21 ekra	{0} ekrur	til 2 ekrur
area	acre • ( = 4046.8564224 m²)	n/a	n/a	dative	{0} ekra	frá 21 ekra	{0} ekrur	frá 2 ekrur
area	hectares	masculine	Einn hektari eftir	nominative	{0} hektari	hér er 21 hektari	{0} hektarar	hér er 2 hektarar
area	hectares	masculine	Einn hektari eftir	accusative	{0} hektara	um 21 hektara	{0} hektara	um 2 hektara
area	hectares	masculine	Einn hektari eftir	genitive	{0} hektara	til 21 hektara	{0} hektara	til 2 hektara
area	hectares	masculine	Einn hektari eftir	dative	{0} hektara	frá 21 hektara	{0} hekturum	frá 2 hekturum
area	square kilometers	masculine	Einn ferkílómetri eftir	nominative	{0} ferkílómetri	hér er 21 ferkílómetri	{0} ferkílómetrar	hér er 2 ferkílómetrar
area	square kilometers	masculine	Einn ferkílómetri eftir	accusative	{0} ferkílómetra	um 21 ferkílómetra	{0} ferkílómetra	um 2 ferkílómetra
area	square kilometers	masculine	Einn ferkílómetri eftir	genitive	{0} ferkílómetra	til 21 ferkílómetra	{0} ferkílómetra	til 2 ferkílómetra
area	square kilometers	masculine	Einn ferkílómetri eftir	dative	{0} ferkílómetra	frá 21 ferkílómetra	{0} ferkílómetrum	frá 2 ferkílómetrum
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	nominative	{0} fermíla	hér er 21 fermíla	{0} fermílur	hér er 2 fermílur
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	accusative	{0} fermíla	um 21 fermíla	{0} fermílur	um 2 fermílur
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	genitive	{0} fermíla	til 21 fermíla	{0} fermílur	til 2 fermílur
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	dative	{0} fermíla	frá 21 fermíla	{0} fermílur	frá 2 fermílur
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	neuter	Eitt millimól á lítra eftir	nominative	{0} millimól á lítra	hér er 21 millimól á lítra	{0} millimól á lítra	hér er 2 millimól á lítra
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	neuter	Eitt millimól á lítra eftir	accusative	{0} millimól á lítra	um 21 millimól á lítra	{0} millimól á lítra	um 2 millimól á lítra
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	neuter	Eitt millimól á lítra eftir	genitive	{0} millimóls á lítra	til 21 millimóls á lítra	{0} millimóla á lítra	til 2 millimóla á lítra
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	neuter	Eitt millimól á lítra eftir	dative	{0} millimóli á lítra	frá 21 millimóli á lítra	{0} millimólum á lítra	frá 2 millimólum á lítra
consumption	liters per 100 kilometers	masculine	Einn lítri á 100 kílómetra eftir	nominative	{0} lítri á 100 kílómetra	hér er 21 lítri á 100 kílómetra	{0} lítrar á 100 kílómetra	hér er 2 lítrar á 100 kílómetra
consumption	liters per 100 kilometers	masculine	Einn lítri á 100 kílómetra eftir	accusative	{0} lítra á 100 kílómetra	um 21 lítra á 100 kílómetra	{0} lítra á 100 kílómetra	um 2 lítra á 100 kílómetra
consumption	liters per 100 kilometers	masculine	Einn lítri á 100 kílómetra eftir	genitive	{0} lítra á 100 kílómetra	til 21 lítra á 100 kílómetra	{0} lítra á 100 kílómetra	til 2 lítra á 100 kílómetra
consumption	liters per 100 kilometers	masculine	Einn lítri á 100 kílómetra eftir	dative	{0} lítra á 100 kílómetra	frá 21 lítra á 100 kílómetra	{0} lítrum á 100 kílómetra	frá 2 lítrum á 100 kílómetra
consumption	liters per kilometer	masculine	Einn lítri á kílómetra eftir	nominative	{0} lítri á kílómetra	hér er 21 lítri á kílómetra	{0} lítrar á kílómetra	hér er 2 lítrar á kílómetra
consumption	liters per kilometer	masculine	Einn lítri á kílómetra eftir	accusative	{0} lítra á kílómetra	um 21 lítra á kílómetra	{0} lítra á kílómetra	um 2 lítra á kílómetra
consumption	liters per kilometer	masculine	Einn lítri á kílómetra eftir	genitive	{0} lítra á kílómetra	til 21 lítra á kílómetra	{0} lítra á kílómetra	til 2 lítra á kílómetra
consumption	liters per kilometer	masculine	Einn lítri á kílómetra eftir	dative	{0} lítra á kílómetra	frá 21 lítra á kílómetra	{0} lítrum á kílómetra	frá 2 lítrum á kílómetra
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	nominative	{0} míla á breskt gallon	hér er 21 míla á breskt gallon	{0} mílur á breskt gallon	hér er 2 mílur á breskt gallon
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	accusative	{0} míla á breskt gallon	um 21 míla á breskt gallon	{0} mílur á breskt gallon	um 2 mílur á breskt gallon
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	genitive	{0} míla á breskt gallon	til 21 míla á breskt gallon	{0} mílur á breskt gallon	til 2 mílur á breskt gallon
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	dative	{0} míla á breskt gallon	frá 21 míla á breskt gallon	{0} mílur á breskt gallon	frá 2 mílur á breskt gallon
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	nominative	{0} míla á gallon	hér er 21 míla á gallon	{0} mílur á gallon	hér er 2 mílur á gallon
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	accusative	{0} míla á gallon	um 21 míla á gallon	{0} mílur á gallon	um 2 mílur á gallon
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	genitive	{0} míla á gallon	til 21 míla á gallon	{0} mílur á gallon	til 2 mílur á gallon
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	dative	{0} míla á gallon	frá 21 míla á gallon	{0} mílur á gallon	frá 2 mílur á gallon
digital	bits	masculine	Einn biti eftir	nominative	{0} biti	hér er 21 biti	{0} bitar	hér er 2 bitar
digital	bits	masculine	Einn biti eftir	accusative	{0} bita	um 21 bita	{0} bita	um 2 bita
digital	bits	masculine	Einn biti eftir	genitive	{0} bita	til 21 bita	{0} bita	til 2 bita
digital	bits	masculine	Einn biti eftir	dative	{0} bita	frá 21 bita	{0} bitum	frá 2 bitum
digital	byte • ( = 8 bit)	neuter	Eitt bæti eftir	nominative	{0} bæti	hér er 21 bæti	{0} bæti	hér er 2 bæti
digital	byte • ( = 8 bit)	neuter	Eitt bæti eftir	accusative	{0} bæti	um 21 bæti	{0} bæti	um 2 bæti
digital	byte • ( = 8 bit)	neuter	Eitt bæti eftir	genitive	{0} bætis	til 21 bætis	{0} bæta	til 2 bæta
digital	byte • ( = 8 bit)	neuter	Eitt bæti eftir	dative	{0} bæti	frá 21 bæti	{0} bætum	frá 2 bætum
digital	kilobits	masculine	Einn kílóbiti eftir	nominative	{0} kílóbiti	hér er 21 kílóbiti	{0} kílóbitar	hér er 2 kílóbitar
digital	kilobits	masculine	Einn kílóbiti eftir	accusative	{0} kílóbita	um 21 kílóbita	{0} kílóbita	um 2 kílóbita
digital	kilobits	masculine	Einn kílóbiti eftir	genitive	{0} kílóbita	til 21 kílóbita	{0} kílóbita	til 2 kílóbita
digital	kilobits	masculine	Einn kílóbiti eftir	dative	{0} kílóbita	frá 21 kílóbita	{0} kílóbitum	frá 2 kílóbitum
digital	kilobyte • ( = 8 kb)	neuter	Eitt kílóbæti eftir	nominative	{0} kílóbæti	hér er 21 kílóbæti	{0} kílóbæti	hér er 2 kílóbæti
digital	kilobyte • ( = 8 kb)	neuter	Eitt kílóbæti eftir	accusative	{0} kílóbæti	um 21 kílóbæti	{0} kílóbæti	um 2 kílóbæti
digital	kilobyte • ( = 8 kb)	neuter	Eitt kílóbæti eftir	genitive	{0} kílóbætis	til 21 kílóbætis	{0} kílóbæta	til 2 kílóbæta
digital	kilobyte • ( = 8 kb)	neuter	Eitt kílóbæti eftir	dative	{0} kílóbæti	frá 21 kílóbæti	{0} kílóbætum	frá 2 kílóbætum
digital	megabits	masculine	Einn megabiti eftir	nominative	{0} megabiti	hér er 21 megabiti	{0} megabitar	hér er 2 megabitar
digital	megabits	masculine	Einn megabiti eftir	accusative	{0} megabita	um 21 megabita	{0} megabita	um 2 megabita
digital	megabits	masculine	Einn megabiti eftir	genitive	{0} megabita	til 21 megabita	{0} megabita	til 2 megabita
digital	megabits	masculine	Einn megabiti eftir	dative	{0} megabita	frá 21 megabita	{0} megabitum	frá 2 megabitum
digital	megabyte • ( = 8 Mb)	neuter	Eitt megabæti eftir	nominative	{0} megabæti	hér er 21 megabæti	{0} megabæti	hér er 2 megabæti
digital	megabyte • ( = 8 Mb)	neuter	Eitt megabæti eftir	accusative	{0} megabæti	um 21 megabæti	{0} megabæti	um 2 megabæti
digital	megabyte • ( = 8 Mb)	neuter	Eitt megabæti eftir	genitive	{0} megabætis	til 21 megabætis	{0} megabæta	til 2 megabæta
digital	megabyte • ( = 8 Mb)	neuter	Eitt megabæti eftir	dative	{0} megabæti	frá 21 megabæti	{0} megabætum	frá 2 megabætum
digital	gigabits	masculine	Einn gígabiti eftir	nominative	{0} gígabiti	hér er 21 gígabiti	{0} gígabitar	hér er 2 gígabitar
digital	gigabits	masculine	Einn gígabiti eftir	accusative	{0} gígabita	um 21 gígabita	{0} gígabita	um 2 gígabita
digital	gigabits	masculine	Einn gígabiti eftir	genitive	{0} gígabita	til 21 gígabita	{0} gígabita	til 2 gígabita
digital	gigabits	masculine	Einn gígabiti eftir	dative	{0} gígabita	frá 21 gígabita	{0} gígabitum	frá 2 gígabitum
digital	gigabyte • ( = 8 Gb)	neuter	Eitt gígabæti eftir	nominative	{0} gígabæti	hér er 21 gígabæti	{0} gígabæti	hér er 2 gígabæti
digital	gigabyte • ( = 8 Gb)	neuter	Eitt gígabæti eftir	accusative	{0} gígabæti	um 21 gígabæti	{0} gígabæti	um 2 gígabæti
digital	gigabyte • ( = 8 Gb)	neuter	Eitt gígabæti eftir	genitive	{0} gígabætis	til 21 gígabætis	{0} gígabæta	til 2 gígabæta
digital	gigabyte • ( = 8 Gb)	neuter	Eitt gígabæti eftir	dative	{0} gígabæti	frá 21 gígabæti	{0} gígabætum	frá 2 gígabætum
digital	terabits	masculine	Einn terabiti eftir	nominative	{0} terabiti	hér er 21 terabiti	{0} terabitar	hér er 2 terabitar
digital	terabits	masculine	Einn terabiti eftir	accusative	{0} terabita	um 21 terabita	{0} terabita	um 2 terabita
digital	terabits	masculine	Einn terabiti eftir	genitive	{0} terabita	til 21 terabita	{0} terabita	til 2 terabita
digital	terabits	masculine	Einn terabiti eftir	dative	{0} terabita	frá 21 terabita	{0} terabitum	frá 2 terabitum
digital	terabyte • ( = 8 Tb)	neuter	Eitt terabæti eftir	nominative	{0} terabæti	hér er 21 terabæti	{0} terabæti	hér er 2 terabæti
digital	terabyte • ( = 8 Tb)	neuter	Eitt terabæti eftir	accusative	{0} terabæti	um 21 terabæti	{0} terabæti	um 2 terabæti
digital	terabyte • ( = 8 Tb)	neuter	Eitt terabæti eftir	genitive	{0} terabætis	til 21 terabætis	{0} terabæta	til 2 terabæta
digital	terabyte • ( = 8 Tb)	neuter	Eitt terabæti eftir	dative	{0} terabæti	frá 21 terabæti	{0} terabætum	frá 2 terabætum
digital	petabyte • ( = 8000 Tb)	neuter	Eitt petabæti eftir	nominative	{0} petabæti	hér er 21 petabæti	{0} petabæti	hér er 2 petabæti
digital	petabyte • ( = 8000 Tb)	neuter	Eitt petabæti eftir	accusative	{0} petabæti	um 21 petabæti	{0} petabæti	um 2 petabæti
digital	petabyte • ( = 8000 Tb)	neuter	Eitt petabæti eftir	genitive	{0} petabætis	til 21 petabætis	{0} petabæta	til 2 petabæta
digital	petabyte • ( = 8000 Tb)	neuter	Eitt petabæti eftir	dative	{0} petabæti	frá 21 petabæti	{0} petabætum	frá 2 petabætum
duration	nanoseconds	feminine	Ein nanósekúnda eftir	nominative	{0} nanósekúnda	hér er 21 nanósekúnda	{0} nanósekúndur	hér er 2 nanósekúndur
duration	nanoseconds	feminine	Ein nanósekúnda eftir	accusative	{0} nanósekúndu	um 21 nanósekúndu	{0} nanósekúndur	um 2 nanósekúndur
duration	nanoseconds	feminine	Ein nanósekúnda eftir	genitive	{0} nanósekúndu	til 21 nanósekúndu	{0} nanósekúndna	til 2 nanósekúndna
duration	nanoseconds	feminine	Ein nanósekúnda eftir	dative	{0} nanósekúndu	frá 21 nanósekúndu	{0} nanósekúndum	frá 2 nanósekúndum
duration	microseconds	feminine	Ein míkrósekúnda eftir	nominative	{0} míkrósekúnda	hér er 21 míkrósekúnda	{0} míkrósekúndur	hér er 2 míkrósekúndur
duration	microseconds	feminine	Ein míkrósekúnda eftir	accusative	{0} míkrósekúndu	um 21 míkrósekúndu	{0} míkrósekúndur	um 2 míkrósekúndur
duration	microseconds	feminine	Ein míkrósekúnda eftir	genitive	{0} míkrósekúndu	til 21 míkrósekúndu	{0} míkrósekúndna	til 2 míkrósekúndna
duration	microseconds	feminine	Ein míkrósekúnda eftir	dative	{0} míkrósekúndu	frá 21 míkrósekúndu	{0} míkrósekúndum	frá 2 míkrósekúndum
duration	milliseconds	feminine	Ein millisekúnda eftir	nominative	{0} millisekúnda	hér er 21 millisekúnda	{0} millisekúndur	hér er 2 millisekúndur
duration	milliseconds	feminine	Ein millisekúnda eftir	accusative	{0} millisekúndu	um 21 millisekúndu	{0} millisekúndur	um 2 millisekúndur
duration	milliseconds	feminine	Ein millisekúnda eftir	genitive	{0} millisekúndu	til 21 millisekúndu	{0} millisekúndna	til 2 millisekúndna
duration	milliseconds	feminine	Ein millisekúnda eftir	dative	{0} millisekúndu	frá 21 millisekúndu	{0} millisekúndum	frá 2 millisekúndum
duration	seconds	feminine	Ein sekúnda eftir	nominative	{0} sekúnda	hér er 21 sekúnda	{0} sekúndur	hér er 2 sekúndur
duration	seconds	feminine	Ein sekúnda eftir	accusative	{0} sekúndu	um 21 sekúndu	{0} sekúndur	um 2 sekúndur
duration	seconds	feminine	Ein sekúnda eftir	genitive	{0} sekúndu	til 21 sekúndu	{0} sekúndna	til 2 sekúndna
duration	seconds	feminine	Ein sekúnda eftir	dative	{0} sekúndu	frá 21 sekúndu	{0} sekúndum	frá 2 sekúndum
duration	minute • ( = 60 sec)	feminine	Ein mínúta eftir	nominative	{0} mínúta	hér er 21 mínúta	{0} mínútur	hér er 2 mínútur
duration	minute • ( = 60 sec)	feminine	Ein mínúta eftir	accusative	{0} mínútu	um 21 mínútu	{0} mínútur	um 2 mínútur
duration	minute • ( = 60 sec)	feminine	Ein mínúta eftir	genitive	{0} mínútu	til 21 mínútu	{0} mínútna	til 2 mínútna
duration	minute • ( = 60 sec)	feminine	Ein mínúta eftir	dative	{0} mínútu	frá 21 mínútu	{0} mínútum	frá 2 mínútum
duration	hour • ( = 3600 sec)	feminine	Ein klukkustund eftir	nominative	{0} klukkustund	hér er 21 klukkustund	{0} klukkustundir	hér er 2 klukkustundir
duration	hour • ( = 3600 sec)	feminine	Ein klukkustund eftir	accusative	{0} klukkustund	um 21 klukkustund	{0} klukkustundir	um 2 klukkustundir
duration	hour • ( = 3600 sec)	feminine	Ein klukkustund eftir	genitive	{0} klukkustundar	til 21 klukkustundar	{0} klukkustunda	til 2 klukkustunda
duration	hour • ( = 3600 sec)	feminine	Ein klukkustund eftir	dative	{0} klukkustund	frá 21 klukkustund	{0} klukkustundum	frá 2 klukkustundum
