# Grammatical Features
#Locale	ID	Feature	Usage	Values
Croatian	hr	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Croatian	hr	grammaticalCase	units	nominative, accusative, genitive, instrumental
Croatian	hr	grammaticalGender	general	animate, inanimate, feminine, neuter
Croatian	hr	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} sat	<div class='cldr_example'><span class='cldr_substituted'>1</span> sat</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sat</div>
Plural	few	{0} sata	<div class='cldr_example'><span class='cldr_substituted'>2</span> sata</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> sata</div>
Plural	other	{0} sati	<div class='cldr_example'><span class='cldr_substituted'>5</span> sati</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> sati</div>
Case (for measurement units)	nominative	{0} je...	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je...</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 kvadratnog metra</span> je...</div>
Case (for measurement units)	accusative	Izmjerio je {0}	<div class='cldr_example'>Izmjerio je <span class='cldr_substituted'>2 kvadratna metra</span></div><div class='cldr_example'>❌  Izmjerio je <span class='cldr_substituted'>1 kvadratnog metra</span></div>
Case (for measurement units)	genitive	Mjerenje {0}	<div class='cldr_example'>Mjerenje <span class='cldr_substituted'>1 kvadratnog metra</span></div><div class='cldr_example'>❌  Mjerenje <span class='cldr_substituted'>2 kvadratna metra</span></div>
Case (for measurement units)	instrumental	Razgovara s {0}	<div class='cldr_example'>Razgovara s <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  Razgovara s <span class='cldr_substituted'>2 kvadratna metra</span></div>
Gender (for measurement units)	inanimate	Ovaj {0}...	<div class='cldr_example'>Ovaj <span class='cldr_substituted'>dan</span>...</div><div class='cldr_example'>❌  Ovaj <span class='cldr_substituted'>minuta</span>...</div>
Gender (for measurement units)	feminine	Ova {0}...	<div class='cldr_example'>Ova <span class='cldr_substituted'>minuta</span>...</div><div class='cldr_example'>❌  Ova <span class='cldr_substituted'>dan</span>...</div>
Gender (for measurement units)	neuter	Ovo {0}...	<div class='cldr_example'>Ovo <span class='cldr_substituted'>stoljeće</span>...</div><div class='cldr_example'>❌  Ovo <span class='cldr_substituted'>minuta</span>...</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for other	Case MP + pattern with 5.0
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	instrumental	{0} kvadratni inč	Razgovara s 21 kvadratni inč	{0} kvadratna inča	Razgovara s 3 kvadratna inča	{0} kvadratnih inča	Razgovara s 5 kvadratnih inča
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	nominative	{0} kvadratna stopa	21 kvadratna stopa je...	{0} kvadratne stope	3 kvadratne stope je...	{0} kvadratnih stopa	5 kvadratnih stopa je...
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	accusative	{0} kvadratna stopa	Izmjerio je 21 kvadratna stopa	{0} kvadratne stope	Izmjerio je 3 kvadratne stope	{0} kvadratnih stopa	Izmjerio je 5 kvadratnih stopa
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	genitive	{0} kvadratna stopa	Mjerenje 21 kvadratna stopa	{0} kvadratne stope	Mjerenje 3 kvadratne stope	{0} kvadratnih stopa	Mjerenje 5 kvadratnih stopa
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	instrumental	{0} kvadratna stopa	Razgovara s 21 kvadratna stopa	{0} kvadratne stope	Razgovara s 3 kvadratne stope	{0} kvadratnih stopa	Razgovara s 5 kvadratnih stopa
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	nominative	{0} kvadratni jard	21 kvadratni jard je...	{0} kvadratna jarda	3 kvadratna jarda je...	{0} kvadratnih jardi	5 kvadratnih jardi je...
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	accusative	{0} kvadratni jard	Izmjerio je 21 kvadratni jard	{0} kvadratna jarda	Izmjerio je 3 kvadratna jarda	{0} kvadratnih jardi	Izmjerio je 5 kvadratnih jardi
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	genitive	{0} kvadratni jard	Mjerenje 21 kvadratni jard	{0} kvadratna jarda	Mjerenje 3 kvadratna jarda	{0} kvadratnih jardi	Mjerenje 5 kvadratnih jardi
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	instrumental	{0} kvadratni jard	Razgovara s 21 kvadratni jard	{0} kvadratna jarda	Razgovara s 3 kvadratna jarda	{0} kvadratnih jardi	Razgovara s 5 kvadratnih jardi
area	square meters	inanimate	Ovaj kvadratni metar...	nominative	{0} kvadratni metar	21 kvadratni metar je...	{0} kvadratna metra	3 kvadratna metra je...	{0} kvadratnih metara	5 kvadratnih metara je...
area	square meters	inanimate	Ovaj kvadratni metar...	accusative	{0} kvadratni metar	Izmjerio je 21 kvadratni metar	{0} kvadratna metra	Izmjerio je 3 kvadratna metra	{0} kvadratnih metara	Izmjerio je 5 kvadratnih metara
area	square meters	inanimate	Ovaj kvadratni metar...	genitive	{0} kvadratnog metra	Mjerenje 21 kvadratnog metra	{0} kvadratna metra	Mjerenje 3 kvadratna metra	{0} kvadratnih metara	Mjerenje 5 kvadratnih metara
area	square meters	inanimate	Ovaj kvadratni metar...	instrumental	{0} kvadratnim metrom	Razgovara s 21 kvadratnim metrom	{0} kvadratna metra	Razgovara s 3 kvadratna metra	{0} kvadratnih metara	Razgovara s 5 kvadratnih metara
area	acre • ( = 4046.8564224 m²)	n/a	n/a	nominative	{0} katastarsko jutro	21 katastarsko jutro je...	{0} katastarska jutra	3 katastarska jutra je...	{0} katastarskih jutara	5 katastarskih jutara je...
area	acre • ( = 4046.8564224 m²)	n/a	n/a	accusative	{0} katastarsko jutro	Izmjerio je 21 katastarsko jutro	{0} katastarska jutra	Izmjerio je 3 katastarska jutra	{0} katastarskih jutara	Izmjerio je 5 katastarskih jutara
area	acre • ( = 4046.8564224 m²)	n/a	n/a	genitive	{0} katastarsko jutro	Mjerenje 21 katastarsko jutro	{0} katastarska jutra	Mjerenje 3 katastarska jutra	{0} katastarskih jutara	Mjerenje 5 katastarskih jutara
area	acre • ( = 4046.8564224 m²)	n/a	n/a	instrumental	{0} katastarsko jutro	Razgovara s 21 katastarsko jutro	{0} katastarska jutra	Razgovara s 3 katastarska jutra	{0} katastarskih jutara	Razgovara s 5 katastarskih jutara
area	hectares	inanimate	Ovaj hektar...	nominative	{0} hektar	21 hektar je...	{0} hektra	3 hektra je...	{0} hektara	5 hektara je...
area	hectares	inanimate	Ovaj hektar...	accusative	{0} hektar	Izmjerio je 21 hektar	{0} hektra	Izmjerio je 3 hektra	{0} hektara	Izmjerio je 5 hektara
area	hectares	inanimate	Ovaj hektar...	genitive	{0} hektra	Mjerenje 21 hektra	{0} hektra	Mjerenje 3 hektra	{0} hektara	Mjerenje 5 hektara
area	hectares	inanimate	Ovaj hektar...	instrumental	{0} hektrom	Razgovara s 21 hektrom	{0} hektra	Razgovara s 3 hektra	{0} hektara	Razgovara s 5 hektara
area	square kilometers	inanimate	Ovaj kvadratni kilometar...	nominative	{0} kvadratni kilometar	21 kvadratni kilometar je...	{0} kvadratna kilometra	3 kvadratna kilometra je...	{0} kvadratnih kilometara	5 kvadratnih kilometara je...
area	square kilometers	inanimate	Ovaj kvadratni kilometar...	accusative	{0} kvadratni kilometar	Izmjerio je 21 kvadratni kilometar	{0} kvadratna kilometra	Izmjerio je 3 kvadratna kilometra	{0} kvadratnih kilometara	Izmjerio je 5 kvadratnih kilometara
area	square kilometers	inanimate	Ovaj kvadratni kilometar...	genitive	{0} kvadratnog kilometra	Mjerenje 21 kvadratnog kilometra	{0} kvadratna kilometra	Mjerenje 3 kvadratna kilometra	{0} kvadratnih kilometara	Mjerenje 5 kvadratnih kilometara
area	square kilometers	inanimate	Ovaj kvadratni kilometar...	instrumental	{0} kvadratnim kilometrom	Razgovara s 21 kvadratnim kilometrom	{0} kvadratna kilometra	Razgovara s 3 kvadratna kilometra	{0} kvadratnih kilometara	Razgovara s 5 kvadratnih kilometara
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	nominative	{0} kvadratna milja	21 kvadratna milja je...	{0} kvadratne milje	3 kvadratne milje je...	{0} kvadratnih milja	5 kvadratnih milja je...
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	accusative	{0} kvadratna milja	Izmjerio je 21 kvadratna milja	{0} kvadratne milje	Izmjerio je 3 kvadratne milje	{0} kvadratnih milja	Izmjerio je 5 kvadratnih milja
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	genitive	{0} kvadratna milja	Mjerenje 21 kvadratna milja	{0} kvadratne milje	Mjerenje 3 kvadratne milje	{0} kvadratnih milja	Mjerenje 5 kvadratnih milja
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	instrumental	{0} kvadratna milja	Razgovara s 21 kvadratna milja	{0} kvadratne milje	Razgovara s 3 kvadratne milje	{0} kvadratnih milja	Razgovara s 5 kvadratnih milja
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	inanimate	Ovaj milimol po litri...	nominative	{0} milimol po litri	21 milimol po litri je...	{0} milimola po litri	3 milimola po litri je...	{0} milimola po litri	5 milimola po litri je...
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	inanimate	Ovaj milimol po litri...	accusative	{0} milimol po litri	Izmjerio je 21 milimol po litri	{0} milimola po litri	Izmjerio je 3 milimola po litri	{0} milimola po litri	Izmjerio je 5 milimola po litri
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	inanimate	Ovaj milimol po litri...	genitive	{0} milimola po litri	Mjerenje 21 milimola po litri	{0} milimola po litri	Mjerenje 3 milimola po litri	{0} milimola po litri	Mjerenje 5 milimola po litri
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	inanimate	Ovaj milimol po litri...	instrumental	{0} milimolom po litri	Razgovara s 21 milimolom po litri	{0} milimola po litri	Razgovara s 3 milimola po litri	{0} milimola po litri	Razgovara s 5 milimola po litri
consumption	liters per 100 kilometers	feminine	Ova litra na 100 kilometara...	nominative	{0} litra na 100 kilometara	21 litra na 100 kilometara je...	{0} litre na 100 kilometara	3 litre na 100 kilometara je...	{0} litara na 100 kilometara	5 litara na 100 kilometara je...
consumption	liters per 100 kilometers	feminine	Ova litra na 100 kilometara...	accusative	{0} litru na 100 kilometara	Izmjerio je 21 litru na 100 kilometara	{0} litre na 100 kilometara	Izmjerio je 3 litre na 100 kilometara	{0} litara na 100 kilometara	Izmjerio je 5 litara na 100 kilometara
consumption	liters per 100 kilometers	feminine	Ova litra na 100 kilometara...	genitive	{0} litre na 100 kilometara	Mjerenje 21 litre na 100 kilometara	{0} litre na 100 kilometara	Mjerenje 3 litre na 100 kilometara	{0} litara na 100 kilometara	Mjerenje 5 litara na 100 kilometara
consumption	liters per 100 kilometers	feminine	Ova litra na 100 kilometara...	instrumental	{0} litrom na 100 kilometara	Razgovara s 21 litrom na 100 kilometara	{0} litre na 100 kilometara	Razgovara s 3 litre na 100 kilometara	{0} litara na 100 kilometara	Razgovara s 5 litara na 100 kilometara
consumption	liters per kilometer	feminine	Ova litra po kilometru...	nominative	{0} litra po kilometru	21 litra po kilometru je...	{0} litre po kilometru	3 litre po kilometru je...	{0} litara po kilometru	5 litara po kilometru je...
consumption	liters per kilometer	feminine	Ova litra po kilometru...	accusative	{0} litru po kilometru	Izmjerio je 21 litru po kilometru	{0} litre po kilometru	Izmjerio je 3 litre po kilometru	{0} litara po kilometru	Izmjerio je 5 litara po kilometru
consumption	liters per kilometer	feminine	Ova litra po kilometru...	genitive	{0} litre po kilometru	Mjerenje 21 litre po kilometru	{0} litre po kilometru	Mjerenje 3 litre po kilometru	{0} litara po kilometru	Mjerenje 5 litara po kilometru
consumption	liters per kilometer	feminine	Ova litra po kilometru...	instrumental	{0} litrom po kilometru	Razgovara s 21 litrom po kilometru	{0} litre po kilometru	Razgovara s 3 litre po kilometru	{0} litara po kilometru	Razgovara s 5 litara po kilometru
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	nominative	{0} milja po imp. galonu	21 milja po imp. galonu je...	{0} milje po imp. galonu	3 milje po imp. galonu je...	{0} milja po imp. galonu	5 milja po imp. galonu je...
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	accusative	{0} milja po imp. galonu	Izmjerio je 21 milja po imp. galonu	{0} milje po imp. galonu	Izmjerio je 3 milje po imp. galonu	{0} milja po imp. galonu	Izmjerio je 5 milja po imp. galonu
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	genitive	{0} milja po imp. galonu	Mjerenje 21 milja po imp. galonu	{0} milje po imp. galonu	Mjerenje 3 milje po imp. galonu	{0} milja po imp. galonu	Mjerenje 5 milja po imp. galonu
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	instrumental	{0} milja po imp. galonu	Razgovara s 21 milja po imp. galonu	{0} milje po imp. galonu	Razgovara s 3 milje po imp. galonu	{0} milja po imp. galonu	Razgovara s 5 milja po imp. galonu
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	nominative	{0} milja po galonu	21 milja po galonu je...	{0} milje po galonu	3 milje po galonu je...	{0} milja po galonu	5 milja po galonu je...
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	accusative	{0} milja po galonu	Izmjerio je 21 milja po galonu	{0} milje po galonu	Izmjerio je 3 milje po galonu	{0} milja po galonu	Izmjerio je 5 milja po galonu
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	genitive	{0} milja po galonu	Mjerenje 21 milja po galonu	{0} milje po galonu	Mjerenje 3 milje po galonu	{0} milja po galonu	Mjerenje 5 milja po galonu
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	instrumental	{0} milja po galonu	Razgovara s 21 milja po galonu	{0} milje po galonu	Razgovara s 3 milje po galonu	{0} milja po galonu	Razgovara s 5 milja po galonu
digital	bits	inanimate	Ovaj bit...	nominative	{0} bit	21 bit je...	{0} bita	3 bita je...	{0} bitova	5 bitova je...
digital	bits	inanimate	Ovaj bit...	accusative	{0} bit	Izmjerio je 21 bit	{0} bita	Izmjerio je 3 bita	{0} bitova	Izmjerio je 5 bitova
digital	bits	inanimate	Ovaj bit...	genitive	{0} bita	Mjerenje 21 bita	{0} bita	Mjerenje 3 bita	{0} bitova	Mjerenje 5 bitova
digital	bits	inanimate	Ovaj bit...	instrumental	{0} bitom	Razgovara s 21 bitom	{0} bita	Razgovara s 3 bita	{0} bitova	Razgovara s 5 bitova
digital	byte • ( = 8 bit)	inanimate	Ovaj bajt...	nominative	{0} bajt	21 bajt je...	{0} bajta	3 bajta je...	{0} bajtova	5 bajtova je...
digital	byte • ( = 8 bit)	inanimate	Ovaj bajt...	accusative	{0} bajt	Izmjerio je 21 bajt	{0} bajta	Izmjerio je 3 bajta	{0} bajtova	Izmjerio je 5 bajtova
digital	byte • ( = 8 bit)	inanimate	Ovaj bajt...	genitive	{0} bajta	Mjerenje 21 bajta	{0} bajta	Mjerenje 3 bajta	{0} bajtova	Mjerenje 5 bajtova
digital	byte • ( = 8 bit)	inanimate	Ovaj bajt...	instrumental	{0} bajtom	Razgovara s 21 bajtom	{0} bajta	Razgovara s 3 bajta	{0} bajtova	Razgovara s 5 bajtova
digital	kilobits	inanimate	Ovaj kilobit...	nominative	{0} kilobit	21 kilobit je...	{0} kilobita	3 kilobita je...	{0} kilobita	5 kilobita je...
digital	kilobits	inanimate	Ovaj kilobit...	accusative	{0} kilobit	Izmjerio je 21 kilobit	{0} kilobita	Izmjerio je 3 kilobita	{0} kilobita	Izmjerio je 5 kilobita
digital	kilobits	inanimate	Ovaj kilobit...	genitive	{0} kilobita	Mjerenje 21 kilobita	{0} kilobita	Mjerenje 3 kilobita	{0} kilobita	Mjerenje 5 kilobita
digital	kilobits	inanimate	Ovaj kilobit...	instrumental	{0} kilobitom	Razgovara s 21 kilobitom	{0} kilobita	Razgovara s 3 kilobita	{0} kilobita	Razgovara s 5 kilobita
digital	kilobyte • ( = 8 kb)	inanimate	Ovaj kilobajt...	nominative	{0} kilobajt	21 kilobajt je...	{0} kilobajta	3 kilobajta je...	{0} kilobajta	5 kilobajta je...
digital	kilobyte • ( = 8 kb)	inanimate	Ovaj kilobajt...	accusative	{0} kilobajt	Izmjerio je 21 kilobajt	{0} kilobajta	Izmjerio je 3 kilobajta	{0} kilobajta	Izmjerio je 5 kilobajta
