# Grammatical Features
#Locale	ID	Feature	Usage	Values
Romanian	ro	grammaticalCase	general	nominative, genitive
Romanian	ro	grammaticalDefiniteness	general	indefinite, definite
Romanian	ro	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} zi	<div class='cldr_example'><span class='cldr_substituted'>1</span> zi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zi</div>
Plural	few	{0} zile	<div class='cldr_example'><span class='cldr_substituted'>2</span> zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zile</div>
Plural	other	{0} de zile	<div class='cldr_example'><span class='cldr_substituted'>20</span> de zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> de zile</div>
Case (for measurement units)	nominative	{0} este/sunt …	<div class='cldr_example'><span class='cldr_substituted'>20 de zile</span> este/sunt …</div><div class='cldr_example'>❌  <span class='cldr_substituted'>unei zile</span> este/sunt …</div>
Case (for measurement units)	genitive	… ale (celor) {0} …	<div class='cldr_example'>… ale (celor) <span class='cldr_substituted'>unei zile</span> …</div><div class='cldr_example'>❌  … ale (celor) <span class='cldr_substituted'>20 de zile</span> …</div>
Gender (for measurement units)	masculine	Un {0} costă 5 €, doi costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>an</span> costă 5 €, doi costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, doi costă 9 €.</div>
Gender (for measurement units)	feminine	O {0} costă 5 €.	<div class='cldr_example'>O <span class='cldr_substituted'>zi</span> costă 5 €.</div><div class='cldr_example'>❌  O <span class='cldr_substituted'>an</span> costă 5 €.</div>
Gender (for measurement units)	neuter	Un {0} costă 5 €, două costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>minut</span> costă 5 €, două costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, două costă 9 €.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 2.0	Pattern for other	Case MP + pattern with 21.0
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Un radian costă 5 €, doi costă 9 €.	nominative	{0} radian	1 radian este/sunt …	{0} radiani	2 radiani este/sunt …	{0} de radiani	21 de radiani este/sunt …
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Un radian costă 5 €, doi costă 9 €.	genitive	unui radian	… ale (celor) unui radian …	{0} radiani	… ale (celor) 2 radiani …	{0} de radiani	… ale (celor) 21 de radiani …
angle	revolutions	feminine	O revoluție costă 5 €.	nominative	{0} revoluție	1 revoluție este/sunt …	{0} revoluții	2 revoluții este/sunt …	{0} de revoluții	21 de revoluții este/sunt …
angle	revolutions	feminine	O revoluție costă 5 €.	genitive	unei revoluții	… ale (celor) unei revoluții …	{0} revoluții	… ale (celor) 2 revoluții …	{0} de revoluții	… ale (celor) 21 de revoluții …
area	square centimeters	masculine	Un centimetru pătrat costă 5 €, doi costă 9 €.	nominative	{0} centimetru pătrat	1 centimetru pătrat este/sunt …	{0} centimetri pătrați	2 centimetri pătrați este/sunt …	{0} de centimetri pătrați	21 de centimetri pătrați este/sunt …
area	square centimeters	masculine	Un centimetru pătrat costă 5 €, doi costă 9 €.	genitive	unui centimetru pătrat	… ale (celor) unui centimetru pătrat …	{0} centimetri pătrați	… ale (celor) 2 centimetri pătrați …	{0} de centimetri pătrați	… ale (celor) 21 de centimetri pătrați …
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	nominative	{0} inch pătrat	1 inch pătrat este/sunt …	{0} inchi pătrați	2 inchi pătrați este/sunt …	{0} de inchi pătrați	21 de inchi pătrați este/sunt …
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	genitive	{0} inch pătrat	… ale (celor) 1 inch pătrat …	{0} inchi pătrați	… ale (celor) 2 inchi pătrați …	{0} de inchi pătrați	… ale (celor) 21 de inchi pătrați …
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	nominative	{0} picior pătrat	1 picior pătrat este/sunt …	{0} picioare pătrate	2 picioare pătrate este/sunt …	{0} de picioare pătrate	21 de picioare pătrate este/sunt …
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	genitive	{0} picior pătrat	… ale (celor) 1 picior pătrat …	{0} picioare pătrate	… ale (celor) 2 picioare pătrate …	{0} de picioare pătrate	… ale (celor) 21 de picioare pătrate …
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	nominative	{0} iard pătrat	1 iard pătrat este/sunt …	{0} iarzi pătrați	2 iarzi pătrați este/sunt …	{0} de iarzi pătrați	21 de iarzi pătrați este/sunt …
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	genitive	{0} iard pătrat	… ale (celor) 1 iard pătrat …	{0} iarzi pătrați	… ale (celor) 2 iarzi pătrați …	{0} de iarzi pătrați	… ale (celor) 21 de iarzi pătrați …
area	square meters	masculine	Un metru pătrat costă 5 €, doi costă 9 €.	nominative	{0} metru pătrat	1 metru pătrat este/sunt …	{0} metri pătrați	2 metri pătrați este/sunt …	{0} de metri pătrați	21 de metri pătrați este/sunt …
area	square meters	masculine	Un metru pătrat costă 5 €, doi costă 9 €.	genitive	unui metru pătrat	… ale (celor) unui metru pătrat …	{0} metri pătrați	… ale (celor) 2 metri pătrați …	{0} de metri pătrați	… ale (celor) 21 de metri pătrați …
area	acre • ( = 4046.8564224 m²)	n/a	n/a	nominative	{0} acru	1 acru este/sunt …	{0} acri	2 acri este/sunt …	{0} de acri	21 de acri este/sunt …
area	acre • ( = 4046.8564224 m²)	n/a	n/a	genitive	{0} acru	… ale (celor) 1 acru …	{0} acri	… ale (celor) 2 acri …	{0} de acri	… ale (celor) 21 de acri …
area	hectares	neuter	Un hectar costă 5 €, două costă 9 €.	nominative	{0} hectar	1 hectar este/sunt …	{0} hectare	2 hectare este/sunt …	{0} de hectare	21 de hectare este/sunt …
area	hectares	neuter	Un hectar costă 5 €, două costă 9 €.	genitive	unui hectar	… ale (celor) unui hectar …	{0} hectare	… ale (celor) 2 hectare …	{0} de hectare	… ale (celor) 21 de hectare …
area	square kilometers	masculine	Un kilometru pătrat costă 5 €, doi costă 9 €.	nominative	{0} kilometru pătrat	1 kilometru pătrat este/sunt …	{0} kilometri pătrați	2 kilometri pătrați este/sunt …	{0} de kilometri pătrați	21 de kilometri pătrați este/sunt …
area	square kilometers	masculine	Un kilometru pătrat costă 5 €, doi costă 9 €.	genitive	unui kilometru pătrat	… ale (celor) unui kilometru pătrat …	{0} kilometri pătrați	… ale (celor) 2 kilometri pătrați …	{0} de kilometri pătrați	… ale (celor) 21 de kilometri pătrați …
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	nominative	{0} milă pătrată	1 milă pătrată este/sunt …	{0} mile pătrate	2 mile pătrate este/sunt …	{0} de mile pătrate	21 de mile pătrate este/sunt …
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a	genitive	{0} milă pătrată	… ale (celor) 1 milă pătrată …	{0} mile pătrate	… ale (celor) 2 mile pătrate …	{0} de mile pătrate	… ale (celor) 21 de mile pătrate …
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	Un milimol pe litru costă 5 €, doi costă 9 €.	nominative	{0} milimol pe litru	1 milimol pe litru este/sunt …	{0} milimoli pe litru	2 milimoli pe litru este/sunt …	{0} de milimoli pe litru	21 de milimoli pe litru este/sunt …
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	Un milimol pe litru costă 5 €, doi costă 9 €.	genitive	unui milimol pe litru	… ale (celor) unui milimol pe litru …	{0} milimoli pe litru	… ale (celor) 2 milimoli pe litru …	{0} de milimoli pe litru	… ale (celor) 21 de milimoli pe litru …
consumption	liters per 100 kilometers	masculine	Un litru la suta de kilometri costă 5 €, doi costă 9 €.	nominative	{0} litru la suta de kilometri	1 litru la suta de kilometri este/sunt …	{0} litri la suta de kilometri	2 litri la suta de kilometri este/sunt …	{0} de litri la suta de kilometri	21 de litri la suta de kilometri este/sunt …
consumption	liters per 100 kilometers	masculine	Un litru la suta de kilometri costă 5 €, doi costă 9 €.	genitive	unui litru la suta de kilometri	… ale (celor) unui litru la suta de kilometri …	{0} litri la suta de kilometri	… ale (celor) 2 litri la suta de kilometri …	{0} de litri la suta de kilometri	… ale (celor) 21 de litri la suta de kilometri …
consumption	liters per kilometer	masculine	Un litru pe kilometru costă 5 €, doi costă 9 €.	nominative	{0} litru pe kilometru	1 litru pe kilometru este/sunt …	{0} litri pe kilometru	2 litri pe kilometru este/sunt …	{0} de litri pe kilometru	21 de litri pe kilometru este/sunt …
consumption	liters per kilometer	masculine	Un litru pe kilometru costă 5 €, doi costă 9 €.	genitive	unui litru pe kilometru	… ale (celor) unui litru pe kilometru …	{0} litri pe kilometru	… ale (celor) 2 litri pe kilometru …	{0} de litri pe kilometru	… ale (celor) 21 de litri pe kilometru …
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	nominative	{0} milă pe galon imperial	1 milă pe galon imperial este/sunt …	{0} mile pe galon imperial	2 mile pe galon imperial este/sunt …	{0} de mile pe galon imperial	21 de mile pe galon imperial este/sunt …
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a	genitive	{0} milă pe galon imperial	… ale (celor) 1 milă pe galon imperial …	{0} mile pe galon imperial	… ale (celor) 2 mile pe galon imperial …	{0} de mile pe galon imperial	… ale (celor) 21 de mile pe galon imperial …
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	nominative	{0} milă pe galon	1 milă pe galon este/sunt …	{0} mile pe galon	2 mile pe galon este/sunt …	{0} de mile pe galon	21 de mile pe galon este/sunt …
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a	genitive	{0} milă pe galon	… ale (celor) 1 milă pe galon …	{0} mile pe galon	… ale (celor) 2 mile pe galon …	{0} de mile pe galon	… ale (celor) 21 de mile pe galon …
digital	bits	masculine	Un bit costă 5 €, doi costă 9 €.	nominative	{0} bit	1 bit este/sunt …	{0} biți	2 biți este/sunt …	{0} de biți	21 de biți este/sunt …
digital	bits	masculine	Un bit costă 5 €, doi costă 9 €.	genitive	unui bit	… ale (celor) unui bit …	{0} biți	… ale (celor) 2 biți …	{0} de biți	… ale (celor) 21 de biți …
digital	byte • ( = 8 bit)	masculine	Un byte costă 5 €, doi costă 9 €.	nominative	{0} byte	1 byte este/sunt …	{0} byți	2 byți este/sunt …	{0} de byți	21 de byți este/sunt …
digital	byte • ( = 8 bit)	masculine	Un byte costă 5 €, doi costă 9 €.	genitive	unui byte	… ale (celor) unui byte …	{0} byți	… ale (celor) 2 byți …	{0} de byți	… ale (celor) 21 de byți …
digital	kilobits	masculine	Un kilobit costă 5 €, doi costă 9 €.	nominative	{0} kilobit	1 kilobit este/sunt …	{0} kilobiți	2 kilobiți este/sunt …	{0} de kilobiți	21 de kilobiți este/sunt …
digital	kilobits	masculine	Un kilobit costă 5 €, doi costă 9 €.	genitive	unui kilobit	… ale (celor) unui kilobit …	{0} kilobiți	… ale (celor) 2 kilobiți …	{0} de kilobiți	… ale (celor) 21 de kilobiți …
digital	kilobyte • ( = 8 kb)	masculine	Un kilobyte costă 5 €, doi costă 9 €.	nominative	{0} kilobyte	1 kilobyte este/sunt …	{0} kilobyți	2 kilobyți este/sunt …	{0} de kilobyți	21 de kilobyți este/sunt …
digital	kilobyte • ( = 8 kb)	masculine	Un kilobyte costă 5 €, doi costă 9 €.	genitive	unui kilobyte	… ale (celor) unui kilobyte …	{0} kilobyți	… ale (celor) 2 kilobyți …	{0} de kilobyți	… ale (celor) 21 de kilobyți …
digital	megabits	masculine	Un megabit costă 5 €, doi costă 9 €.	nominative	{0} megabit	1 megabit este/sunt …	{0} megabiți	2 megabiți este/sunt …	{0} de megabiți	21 de megabiți este/sunt …
digital	megabits	masculine	Un megabit costă 5 €, doi costă 9 €.	genitive	unui megabit	… ale (celor) unui megabit …	{0} megabiți	… ale (celor) 2 megabiți …	{0} de megabiți	… ale (celor) 21 de megabiți …
digital	megabyte • ( = 8 Mb)	masculine	Un megabyte costă 5 €, doi costă 9 €.	nominative	{0} megabyte	1 megabyte este/sunt …	{0} megabyți	2 megabyți este/sunt …	{0} de megabyți	21 de megabyți este/sunt …
digital	megabyte • ( = 8 Mb)	masculine	Un megabyte costă 5 €, doi costă 9 €.	genitive	unui megabyte	… ale (celor) unui megabyte …	{0} megabyți	… ale (celor) 2 megabyți …	{0} de megabyți	… ale (celor) 21 de megabyți …
digital	gigabits	masculine	Un gigabit costă 5 €, doi costă 9 €.	nominative	{0} gigabit	1 gigabit este/sunt …	{0} gigabiți	2 gigabiți este/sunt …	{0} de gigabiți	21 de gigabiți este/sunt …
digital	gigabits	masculine	Un gigabit costă 5 €, doi costă 9 €.	genitive	unui gigabit	… ale (celor) unui gigabit …	{0} gigabiți	… ale (celor) 2 gigabiți …	{0} de gigabiți	… ale (celor) 21 de gigabiți …
digital	gigabyte • ( = 8 Gb)	masculine	Un gigabyte costă 5 €, doi costă 9 €.	nominative	{0} gigabyte	1 gigabyte este/sunt …	{0} gigabyți	2 gigabyți este/sunt …	{0} de gigabyți	21 de gigabyți este/sunt …
digital	gigabyte • ( = 8 Gb)	masculine	Un gigabyte costă 5 €, doi costă 9 €.	genitive	unui gigabyte	… ale (celor) unui gigabyte …	{0} gigabyți	… ale (celor) 2 gigabyți …	{0} de gigabyți	… ale (celor) 21 de gigabyți …
digital	terabits	masculine	Un terabit costă 5 €, doi costă 9 €.	nominative	{0} terabit	1 terabit este/sunt …	{0} terabiți	2 terabiți este/sunt …	{0} de terabiți	21 de terabiți este/sunt …
digital	terabits	masculine	Un terabit costă 5 €, doi costă 9 €.	genitive	unui terabit	… ale (celor) unui terabit …	{0} terabiți	… ale (celor) 2 terabiți …	{0} de terabiți	… ale (celor) 21 de terabiți …
digital	terabyte • ( = 8 Tb)	masculine	Un terabyte costă 5 €, doi costă 9 €.	nominative	{0} terabyte	1 terabyte este/sunt …	{0} terabyți	2 terabyți este/sunt …	{0} de terabyți	21 de terabyți este/sunt …
digital	terabyte • ( = 8 Tb)	masculine	Un terabyte costă 5 €, doi costă 9 €.	genitive	unui terabyte	… ale (celor) unui terabyte …	{0} terabyți	… ale (celor) 2 terabyți …	{0} de terabyți	… ale (celor) 21 de terabyți …
digital	petabyte • ( = 8000 Tb)	masculine	Un petabyte costă 5 €, doi costă 9 €.	nominative	{0} petabyte	1 petabyte este/sunt …	{0} petabyți	2 petabyți este/sunt …	{0} de petabyți	21 de petabyți este/sunt …
digital	petabyte • ( = 8000 Tb)	masculine	Un petabyte costă 5 €, doi costă 9 €.	genitive	unui petabyte	… ale (celor) unui petabyte …	{0} petabyți	… ale (celor) 2 petabyți …	{0} de petabyți	… ale (celor) 21 de petabyți …
duration	nanoseconds	feminine	O nanosecundă costă 5 €.	nominative	{0} nanosecundă	1 nanosecundă este/sunt …	{0} nanosecunde	2 nanosecunde este/sunt …	{0} de nanosecunde	21 de nanosecunde este/sunt …
duration	nanoseconds	feminine	O nanosecundă costă 5 €.	genitive	unei nanosecunde	… ale (celor) unei nanosecunde …	{0} nanosecunde	… ale (celor) 2 nanosecunde …	{0} de nanosecunde	… ale (celor) 21 de nanosecunde …
duration	microseconds	feminine	O microsecundă costă 5 €.	nominative	{0} microsecundă	1 microsecundă este/sunt …	{0} microsecunde	2 microsecunde este/sunt …	{0} de microsecunde	21 de microsecunde este/sunt …
duration	microseconds	feminine	O microsecundă costă 5 €.	genitive	unei microsecunde	… ale (celor) unei microsecunde …	{0} microsecunde	… ale (celor) 2 microsecunde …	{0} de microsecunde	… ale (celor) 21 de microsecunde …
duration	milliseconds	feminine	O milisecundă costă 5 €.	nominative	{0} milisecundă	1 milisecundă este/sunt …	{0} milisecunde	2 milisecunde este/sunt …	{0} de milisecunde	21 de milisecunde este/sunt …
duration	milliseconds	feminine	O milisecundă costă 5 €.	genitive	unei milisecunde	… ale (celor) unei milisecunde …	{0} milisecunde	… ale (celor) 2 milisecunde …	{0} de milisecunde	… ale (celor) 21 de milisecunde …
duration	seconds	feminine	O secundă costă 5 €.	nominative	{0} secundă	1 secundă este/sunt …	{0} secunde	2 secunde este/sunt …	{0} de secunde	21 de secunde este/sunt …
duration	seconds	feminine	O secundă costă 5 €.	genitive	unei secunde	… ale (celor) unei secunde …	{0} secunde	… ale (celor) 2 secunde …	{0} de secunde	… ale (celor) 21 de secunde …
duration	minute • ( = 60 sec)	neuter	Un minut costă 5 €, două costă 9 €.	nominative	{0} minut	1 minut este/sunt …	{0} minute	2 minute este/sunt …	{0} de minute	21 de minute este/sunt …
duration	minute • ( = 60 sec)	neuter	Un minut costă 5 €, două costă 9 €.	genitive	unui minut	… ale (celor) unui minut …	{0} minute	… ale (celor) 2 minute …	{0} de minute	… ale (celor) 21 de minute …
duration	hour • ( = 3600 sec)	feminine	O oră costă 5 €.	nominative	{0} oră	1 oră este/sunt …	{0} ore	2 ore este/sunt …	{0} de ore	21 de ore este/sunt …
duration	hour • ( = 3600 sec)	feminine	O oră costă 5 €.	genitive	unei ore	… ale (celor) unei ore …	{0} ore	… ale (celor) 2 ore …	{0} de ore	… ale (celor) 21 de ore …
duration	day • ( = 86400 sec)	feminine	O zi costă 5 €.	nominative	{0} zi	1 zi este/sunt …	{0} zile	2 zile este/sunt …	{0} de zile	21 de zile este/sunt …
duration	day • ( = 86400 sec)	feminine	O zi costă 5 €.	genitive	unei zile	… ale (celor) unei zile …	{0} zile	… ale (celor) 2 zile …	{0} de zile	… ale (celor) 21 de zile …
duration	week • ( = 604800 sec)	feminine	O săptămână costă 5 €.	nominative	{0} săptămână	1 săptămână este/sunt …	{0} săptămâni	2 săptămâni este/sunt …	{0} de săptămâni	21 de săptămâni este/sunt …
duration	week • ( = 604800 sec)	feminine	O săptămână costă 5 €.	genitive	unei săptămâni	… ale (celor) unei săptămâni …	{0} săptămâni	… ale (celor) 2 săptămâni …	{0} de săptămâni	… ale (celor) 21 de săptămâni …
electric-current	milliamperes	masculine	Un miliamper costă 5 €, doi costă 9 €.	nominative	{0} miliamper	1 miliamper este/sunt …	{0} miliamperi	2 miliamperi este/sunt …	{0} de miliamperi	21 de miliamperi este/sunt …
electric-current	milliamperes	masculine	Un miliamper costă 5 €, doi costă 9 €.	genitive	unui miliamper	… ale (celor) unui miliamper …	{0} miliamperi	… ale (celor) 2 miliamperi …	{0} de miliamperi	… ale (celor) 21 de miliamperi …
electric-current	amperes	masculine	Un amper costă 5 €, doi costă 9 €.	nominative	{0} amper	1 amper este/sunt …	{0} amperi	2 amperi este/sunt …	{0} de amperi	21 de amperi este/sunt …
electric-current	amperes	masculine	Un amper costă 5 €, doi costă 9 €.	genitive	unui amper	… ale (celor) unui amper …	{0} amperi	… ale (celor) 2 amperi …	{0} de amperi	… ale (celor) 21 de amperi …
electric-resistance	ohms	masculine	Un ohm costă 5 €, doi costă 9 €.	nominative	{0} ohm	1 ohm este/sunt …	{0} ohmi	2 ohmi este/sunt …	{0} de ohmi	21 de ohmi este/sunt …
electric-resistance	ohms	masculine	Un ohm costă 5 €, doi costă 9 €.	genitive	unui ohm	… ale (celor) unui ohm …	{0} ohmi	… ale (celor) 2 ohmi …	{0} de ohmi	… ale (celor) 21 de ohmi …
energy	joules	masculine	Un joule costă 5 €, doi costă 9 €.	nominative	{0} joule	1 joule este/sunt …	{0} jouli	2 jouli este/sunt …	{0} de jouli	21 de jouli este/sunt …
energy	joules	masculine	Un joule costă 5 €, doi costă 9 €.	genitive	unui joule	… ale (celor) unui joule …	{0} jouli	… ale (celor) 2 jouli …	{0} de jouli	… ale (celor) 21 de jouli …
energy	newton-meter • ( = 1 J)	masculine	Un newton metru costă 5 €, doi costă 9 €.	nominative	{0} newton metru	1 newton metru este/sunt …	{0} newton metri	2 newton metri este/sunt …	{0} de newton metri	21 de newton metri este/sunt …
energy	newton-meter • ( = 1 J)	masculine	Un newton metru costă 5 €, doi costă 9 €.	genitive	unui newton metru	… ale (celor) unui newton metru …	{0} newton metri	… ale (celor) 2 newton metri …	{0} de newton metri	… ale (celor) 21 de newton metri …
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	nominative	{0} livră-forță picior	1 livră-forță picior este/sunt …	{0} livră-forță picioare	2 livră-forță picioare este/sunt …	{0} de livră-forță picioare	21 de livră-forță picioare este/sunt …
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a	genitive	{0} livră-forță picior	… ale (celor) 1 livră-forță picior …	{0} livră-forță picioare	… ale (celor) 2 livră-forță picioare …	{0} de livră-forță picioare	… ale (celor) 21 de livră-forță picioare …
energy	calorie • ( = 4.184 J)	feminine	O calorie costă 5 €.	nominative	{0} calorie	1 calorie este/sunt …	{0} calorii	2 calorii este/sunt …	{0} de calorii	21 de calorii este/sunt …
energy	calorie • ( = 4.184 J)	feminine	O calorie costă 5 €.	genitive	unei calorii	… ale (celor) unei calorii …	{0} calorii	… ale (celor) 2 calorii …	{0} de calorii	… ale (celor) 21 de calorii …
energy	kilojoules	masculine	Un kilojoule costă 5 €, doi costă 9 €.	nominative	{0} kilojoule	1 kilojoule este/sunt …	{0} kilojouli	2 kilojouli este/sunt …	{0} de kilojouli	21 de kilojouli este/sunt …
energy	kilojoules	masculine	Un kilojoule costă 5 €, doi costă 9 €.	genitive	unui kilojoule	… ale (celor) unui kilojoule …	{0} kilojouli	… ale (celor) 2 kilojouli …	{0} de kilojouli	… ale (celor) 21 de kilojouli …
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	nominative	{0} unitate termică britanică	1 unitate termică britanică este/sunt …	{0} unități termice britanice	2 unități termice britanice este/sunt …	{0} de unități termice britanice	21 de unități termice britanice este/sunt …
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a	genitive	{0} unitate termică britanică	… ale (celor) 1 unitate termică britanică …	{0} unități termice britanice	… ale (celor) 2 unități termice britanice …	{0} de unități termice britanice	… ale (celor) 21 de unități termice britanice …
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	nominative	{0} kilocalorie	1 kilocalorie este/sunt …	{0} kilocalorii	2 kilocalorii este/sunt …	{0} de kilocalorii	21 de kilocalorii este/sunt …
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a	genitive	{0} kilocalorie	… ale (celor) 1 kilocalorie …	{0} kilocalorii	… ale (celor) 2 kilocalorii …	{0} de kilocalorii	… ale (celor) 21 de kilocalorii …
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	masculine	Un kilowatt-oră costă 5 €, doi costă 9 €.	nominative	kilowatt-oră	kilowatt-oră este/sunt …	{0} kilowați-oră	2 kilowați-oră este/sunt …	{0} de kilowați-oră	21 de kilowați-oră este/sunt …
