# Grammatical Features
#Locale	ID	Feature	Usage	Values
Czech	cs	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalGender	general	animate, inanimate, feminine, neuter
Czech	cs	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} den	<div class='cldr_example'><span class='cldr_substituted'>1</span> den</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> den</div>
Plural	few	{0} dny	<div class='cldr_example'><span class='cldr_substituted'>2</span> dny</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dny</div>
Plural	many	{0} dne	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> dne</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dne</div>
Plural	other	{0} dní	<div class='cldr_example'><span class='cldr_substituted'>5</span> dní</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dní</div>
Case (for measurement units)	nominative	Chybí ještě {0}.	<div class='cldr_example'>Chybí ještě <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Chybí ještě <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	accusative	Naměřili jsme {0}.	<div class='cldr_example'>Naměřili jsme <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Naměřili jsme <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	genitive	Bez {0} se obejdeme.	<div class='cldr_example'>Bez <span class='cldr_substituted'>10,0 metru čtverečního</span> se obejdeme.</div><div class='cldr_example'>❌  Bez <span class='cldr_substituted'>1 metr čtvereční</span> se obejdeme.</div>
Case (for measurement units)	locative	Po {0} se zastavil.	<div class='cldr_example'>Po <span class='cldr_substituted'>1 metru čtverečním</span> se zastavil.</div><div class='cldr_example'>❌  Po <span class='cldr_substituted'>1 metr čtvereční</span> se zastavil.</div>
Case (for measurement units)	dative	Díky {0} navíc to mohl stihnout.	<div class='cldr_example'>Díky <span class='cldr_substituted'>1 metru čtverečnímu</span> navíc to mohl stihnout.</div><div class='cldr_example'>❌  Díky <span class='cldr_substituted'>1 metr čtvereční</span> navíc to mohl stihnout.</div>
Case (for measurement units)	instrumental	Spokojíme se s {0}.	<div class='cldr_example'>Spokojíme se s <span class='cldr_substituted'>1 metrem čtverečním</span>.</div><div class='cldr_example'>❌  Spokojíme se s <span class='cldr_substituted'>1 metr čtvereční</span>.</div>
Gender (for measurement units)	inanimate	Jeden {0} stál 135 Kč.	<div class='cldr_example'>Jeden <span class='cldr_substituted'>den</span> stál 135 Kč.</div><div class='cldr_example'>❌  Jeden <span class='cldr_substituted'>hodina</span> stál 135 Kč.</div>
Gender (for measurement units)	feminine	Jedna {0} stála 135 Kč.	<div class='cldr_example'>Jedna <span class='cldr_substituted'>hodina</span> stála 135 Kč.</div><div class='cldr_example'>❌  Jedna <span class='cldr_substituted'>den</span> stála 135 Kč.</div>
Gender (for measurement units)	neuter	Jedno {0} stálo 135 Kč.	<div class='cldr_example'>Jedno <span class='cldr_substituted'>století</span> stálo 135 Kč.</div><div class='cldr_example'>❌  Jedno <span class='cldr_substituted'>hodina</span> stálo 135 Kč.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 0.1	Pattern for other	Case MP + pattern with 5.0
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	dative	{0} gravitační síle	Díky 1 gravitační síle navíc to mohl stihnout.	{0} gravitačním silám	Díky 3 gravitačním silám navíc to mohl stihnout.	{0} gravitační síly	Díky 0,1 gravitační síly navíc to mohl stihnout.	{0} gravitačním silám	Díky 5 gravitačním silám navíc to mohl stihnout.
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	instrumental	{0} gravitační silou	Spokojíme se s 1 gravitační silou.	{0} gravitačními silami	Spokojíme se s 3 gravitačními silami.	{0} gravitační síly	Spokojíme se s 0,1 gravitační síly.	{0} gravitačními silami	Spokojíme se s 5 gravitačními silami.
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	nominative	{0} vteřina	Chybí ještě 1 vteřina.	{0} vteřiny	Chybí ještě 3 vteřiny.	{0} vteřiny	Chybí ještě 0,1 vteřiny.	{0} vteřin	Chybí ještě 5 vteřin.
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	accusative	{0} vteřinu	Naměřili jsme 1 vteřinu.	{0} vteřiny	Naměřili jsme 3 vteřiny.	{0} vteřiny	Naměřili jsme 0,1 vteřiny.	{0} vteřin	Naměřili jsme 5 vteřin.
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	genitive	{0} vteřiny	Bez 1 vteřiny se obejdeme.	{0} vteřin	Bez 3 vteřin se obejdeme.	{0} vteřiny	Bez 0,1 vteřiny se obejdeme.	{0} vteřin	Bez 5 vteřin se obejdeme.
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	locative	{0} vteřině	Po 1 vteřině se zastavil.	{0} vteřinách	Po 3 vteřinách se zastavil.	{0} vteřiny	Po 0,1 vteřiny se zastavil.	{0} vteřinách	Po 5 vteřinách se zastavil.
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	dative	{0} vteřině	Díky 1 vteřině navíc to mohl stihnout.	{0} vteřinám	Díky 3 vteřinám navíc to mohl stihnout.	{0} vteřiny	Díky 0,1 vteřiny navíc to mohl stihnout.	{0} vteřinám	Díky 5 vteřinám navíc to mohl stihnout.
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	instrumental	{0} vteřinou	Spokojíme se s 1 vteřinou.	{0} vteřinami	Spokojíme se s 3 vteřinami.	{0} vteřiny	Spokojíme se s 0,1 vteřiny.	{0} vteřinami	Spokojíme se s 5 vteřinami.
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	nominative	{0} minuta	Chybí ještě 1 minuta.	{0} minuty	Chybí ještě 3 minuty.	{0} minuty	Chybí ještě 0,1 minuty.	{0} minut	Chybí ještě 5 minut.
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	accusative	{0} minutu	Naměřili jsme 1 minutu.	{0} minuty	Naměřili jsme 3 minuty.	{0} minuty	Naměřili jsme 0,1 minuty.	{0} minut	Naměřili jsme 5 minut.
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	genitive	{0} minuty	Bez 1 minuty se obejdeme.	{0} minut	Bez 3 minut se obejdeme.	{0} minuty	Bez 0,1 minuty se obejdeme.	{0} minut	Bez 5 minut se obejdeme.
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	locative	{0} minutě	Po 1 minutě se zastavil.	{0} minutách	Po 3 minutách se zastavil.	{0} minuty	Po 0,1 minuty se zastavil.	{0} minutách	Po 5 minutách se zastavil.
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	dative	{0} minutě	Díky 1 minutě navíc to mohl stihnout.	{0} minutám	Díky 3 minutám navíc to mohl stihnout.	{0} minuty	Díky 0,1 minuty navíc to mohl stihnout.	{0} minutám	Díky 5 minutám navíc to mohl stihnout.
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	instrumental	{0} minutou	Spokojíme se s 1 minutou.	{0} minutami	Spokojíme se s 3 minutami.	{0} minuty	Spokojíme se s 0,1 minuty.	{0} minutami	Spokojíme se s 5 minutami.
angle	degree • ( = 0.002˙7 rev)	inanimate	Jeden stupeň stál 135 Kč.	nominative	{0} stupeň	Chybí ještě 1 stupeň.	{0} stupně	Chybí ještě 3 stupně.	{0} stupně	Chybí ještě 0,1 stupně.	{0} stupňů	Chybí ještě 5 stupňů.
angle	degree • ( = 0.002˙7 rev)	inanimate	Jeden stupeň stál 135 Kč.	accusative	{0} stupeň	Naměřili jsme 1 stupeň.	{0} stupně	Naměřili jsme 3 stupně.	{0} stupně	Naměřili jsme 0,1 stupně.	{0} stupňů	Naměřili jsme 5 stupňů.
angle	degree • ( = 0.002˙7 rev)	inanimate	Jeden stupeň stál 135 Kč.	genitive	{0} stupně	Bez 1 stupně se obejdeme.	{0} stupňů	Bez 3 stupňů se obejdeme.	{0} stupně	Bez 0,1 stupně se obejdeme.	{0} stupňů	Bez 5 stupňů se obejdeme.
angle	degree • ( = 0.002˙7 rev)	inanimate	Jeden stupeň stál 135 Kč.	locative	{0} stupni	Po 1 stupni se zastavil.	{0} stupních	Po 3 stupních se zastavil.	{0} stupně	Po 0,1 stupně se zastavil.	{0} stupních	Po 5 stupních se zastavil.
angle	degree • ( = 0.002˙7 rev)	inanimate	Jeden stupeň stál 135 Kč.	dative	{0} stupni	Díky 1 stupni navíc to mohl stihnout.	{0} stupňům	Díky 3 stupňům navíc to mohl stihnout.	{0} stupně	Díky 0,1 stupně navíc to mohl stihnout.	{0} stupňům	Díky 5 stupňům navíc to mohl stihnout.
angle	degree • ( = 0.002˙7 rev)	inanimate	Jeden stupeň stál 135 Kč.	instrumental	{0} stupněm	Spokojíme se s 1 stupněm.	{0} stupni	Spokojíme se s 3 stupni.	{0} stupně	Spokojíme se s 0,1 stupně.	{0} stupni	Spokojíme se s 5 stupni.
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Jeden radián stál 135 Kč.	nominative	{0} radián	Chybí ještě 1 radián.	{0} radiány	Chybí ještě 3 radiány.	{0} radiánu	Chybí ještě 0,1 radiánu.	{0} radiánů	Chybí ještě 5 radiánů.
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Jeden radián stál 135 Kč.	accusative	{0} radián	Naměřili jsme 1 radián.	{0} radiány	Naměřili jsme 3 radiány.	{0} radiánu	Naměřili jsme 0,1 radiánu.	{0} radiánů	Naměřili jsme 5 radiánů.
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Jeden radián stál 135 Kč.	genitive	{0} radiánu	Bez 1 radiánu se obejdeme.	{0} radiánů	Bez 3 radiánů se obejdeme.	{0} radiánu	Bez 0,1 radiánu se obejdeme.	{0} radiánů	Bez 5 radiánů se obejdeme.
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Jeden radián stál 135 Kč.	locative	{0} radiánu	Po 1 radiánu se zastavil.	{0} radiánech	Po 3 radiánech se zastavil.	{0} radiánu	Po 0,1 radiánu se zastavil.	{0} radiánech	Po 5 radiánech se zastavil.
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Jeden radián stál 135 Kč.	dative	{0} radiánu	Díky 1 radiánu navíc to mohl stihnout.	{0} radiánům	Díky 3 radiánům navíc to mohl stihnout.	{0} radiánu	Díky 0,1 radiánu navíc to mohl stihnout.	{0} radiánům	Díky 5 radiánům navíc to mohl stihnout.
angle	radian • ( = ~0.1591549430918953 rev)	inanimate	Jeden radián stál 135 Kč.	instrumental	{0} radiánem	Spokojíme se s 1 radiánem.	{0} radiány	Spokojíme se s 3 radiány.	{0} radiánu	Spokojíme se s 0,1 radiánu.	{0} radiány	Spokojíme se s 5 radiány.
angle	revolutions	feminine	Jedna otáčka stála 135 Kč.	nominative	{0} otáčka	Chybí ještě 1 otáčka.	{0} otáčky	Chybí ještě 3 otáčky.	{0} otáčky	Chybí ještě 0,1 otáčky.	{0} otáček	Chybí ještě 5 otáček.
angle	revolutions	feminine	Jedna otáčka stála 135 Kč.	accusative	{0} otáčku	Naměřili jsme 1 otáčku.	{0} otáčky	Naměřili jsme 3 otáčky.	{0} otáčky	Naměřili jsme 0,1 otáčky.	{0} otáček	Naměřili jsme 5 otáček.
angle	revolutions	feminine	Jedna otáčka stála 135 Kč.	genitive	{0} otáčky	Bez 1 otáčky se obejdeme.	{0} otáček	Bez 3 otáček se obejdeme.	{0} otáčky	Bez 0,1 otáčky se obejdeme.	{0} otáček	Bez 5 otáček se obejdeme.
angle	revolutions	feminine	Jedna otáčka stála 135 Kč.	locative	{0} otáčce	Po 1 otáčce se zastavil.	{0} otáčkách	Po 3 otáčkách se zastavil.	{0} otáčky	Po 0,1 otáčky se zastavil.	{0} otáčkách	Po 5 otáčkách se zastavil.
angle	revolutions	feminine	Jedna otáčka stála 135 Kč.	dative	{0} otáčce	Díky 1 otáčce navíc to mohl stihnout.	{0} otáčkám	Díky 3 otáčkám navíc to mohl stihnout.	{0} otáčky	Díky 0,1 otáčky navíc to mohl stihnout.	{0} otáčkám	Díky 5 otáčkám navíc to mohl stihnout.
angle	revolutions	feminine	Jedna otáčka stála 135 Kč.	instrumental	{0} otáčkou	Spokojíme se s 1 otáčkou.	{0} otáčkami	Spokojíme se s 3 otáčkami.	{0} otáčky	Spokojíme se s 0,1 otáčky.	{0} otáčkami	Spokojíme se s 5 otáčkami.
area	square centimeters	inanimate	Jeden centimetr čtvereční stál 135 Kč.	nominative	{0} centimetr čtvereční	Chybí ještě 1 centimetr čtvereční.	{0} centimetry čtvereční	Chybí ještě 3 centimetry čtvereční.	{0} centimetru čtverečního	Chybí ještě 0,1 centimetru čtverečního.	{0} centimetrů čtverečních	Chybí ještě 5 centimetrů čtverečních.
area	square centimeters	inanimate	Jeden centimetr čtvereční stál 135 Kč.	accusative	{0} centimetr čtvereční	Naměřili jsme 1 centimetr čtvereční.	{0} centimetry čtvereční	Naměřili jsme 3 centimetry čtvereční.	{0} centimetru čtverečního	Naměřili jsme 0,1 centimetru čtverečního.	{0} centimetrů čtverečních	Naměřili jsme 5 centimetrů čtverečních.
area	square centimeters	inanimate	Jeden centimetr čtvereční stál 135 Kč.	genitive	{0} centimetru čtverečního	Bez 1 centimetru čtverečního se obejdeme.	{0} centimetrů čtverečních	Bez 3 centimetrů čtverečních se obejdeme.	{0} centimetru čtverečního	Bez 0,1 centimetru čtverečního se obejdeme.	{0} centimetrů čtverečních	Bez 5 centimetrů čtverečních se obejdeme.
area	square centimeters	inanimate	Jeden centimetr čtvereční stál 135 Kč.	locative	{0} centimetru čtverečním	Po 1 centimetru čtverečním se zastavil.	{0} centimetrech čtverečních	Po 3 centimetrech čtverečních se zastavil.	{0} centimetru čtverečního	Po 0,1 centimetru čtverečního se zastavil.	{0} centimetrech čtverečních	Po 5 centimetrech čtverečních se zastavil.
area	square centimeters	inanimate	Jeden centimetr čtvereční stál 135 Kč.	dative	{0} centimetru čtverečnímu	Díky 1 centimetru čtverečnímu navíc to mohl stihnout.	{0} centimetrům čtverečním	Díky 3 centimetrům čtverečním navíc to mohl stihnout.	{0} centimetru čtverečního	Díky 0,1 centimetru čtverečního navíc to mohl stihnout.	{0} centimetrům čtverečním	Díky 5 centimetrům čtverečním navíc to mohl stihnout.
area	square centimeters	inanimate	Jeden centimetr čtvereční stál 135 Kč.	instrumental	{0} centimetrem čtverečním	Spokojíme se s 1 centimetrem čtverečním.	{0} centimetry čtverečními	Spokojíme se s 3 centimetry čtverečními.	{0} centimetru čtverečního	Spokojíme se s 0,1 centimetru čtverečního.	{0} centimetry čtverečními	Spokojíme se s 5 centimetry čtverečními.
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	nominative	{0} palec čtvereční	Chybí ještě 1 palec čtvereční.	{0} palce čtvereční	Chybí ještě 3 palce čtvereční.	{0} palce čtverečního	Chybí ještě 0,1 palce čtverečního.	{0} palců čtverečních	Chybí ještě 5 palců čtverečních.
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	accusative	{0} palec čtvereční	Naměřili jsme 1 palec čtvereční.	{0} palce čtvereční	Naměřili jsme 3 palce čtvereční.	{0} palce čtverečního	Naměřili jsme 0,1 palce čtverečního.	{0} palců čtverečních	Naměřili jsme 5 palců čtverečních.
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	genitive	{0} palec čtvereční	Bez 1 palec čtvereční se obejdeme.	{0} palce čtvereční	Bez 3 palce čtvereční se obejdeme.	{0} palce čtverečního	Bez 0,1 palce čtverečního se obejdeme.	{0} palců čtverečních	Bez 5 palců čtverečních se obejdeme.
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	locative	{0} palec čtvereční	Po 1 palec čtvereční se zastavil.	{0} palce čtvereční	Po 3 palce čtvereční se zastavil.	{0} palce čtverečního	Po 0,1 palce čtverečního se zastavil.	{0} palců čtverečních	Po 5 palců čtverečních se zastavil.
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	dative	{0} palec čtvereční	Díky 1 palec čtvereční navíc to mohl stihnout.	{0} palce čtvereční	Díky 3 palce čtvereční navíc to mohl stihnout.	{0} palce čtverečního	Díky 0,1 palce čtverečního navíc to mohl stihnout.	{0} palců čtverečních	Díky 5 palců čtverečních navíc to mohl stihnout.
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	instrumental	{0} palec čtvereční	Spokojíme se s 1 palec čtvereční.	{0} palce čtvereční	Spokojíme se s 3 palce čtvereční.	{0} palce čtverečního	Spokojíme se s 0,1 palce čtverečního.	{0} palců čtverečních	Spokojíme se s 5 palců čtverečních.
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	nominative	{0} stopa čtvereční	Chybí ještě 1 stopa čtvereční.	{0} stopy čtvereční	Chybí ještě 3 stopy čtvereční.	{0} stopy čtvereční	Chybí ještě 0,1 stopy čtvereční.	{0} stop čtverečních	Chybí ještě 5 stop čtverečních.
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	accusative	{0} stopa čtvereční	Naměřili jsme 1 stopa čtvereční.	{0} stopy čtvereční	Naměřili jsme 3 stopy čtvereční.	{0} stopy čtvereční	Naměřili jsme 0,1 stopy čtvereční.	{0} stop čtverečních	Naměřili jsme 5 stop čtverečních.
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	genitive	{0} stopa čtvereční	Bez 1 stopa čtvereční se obejdeme.	{0} stopy čtvereční	Bez 3 stopy čtvereční se obejdeme.	{0} stopy čtvereční	Bez 0,1 stopy čtvereční se obejdeme.	{0} stop čtverečních	Bez 5 stop čtverečních se obejdeme.
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	locative	{0} stopa čtvereční	Po 1 stopa čtvereční se zastavil.	{0} stopy čtvereční	Po 3 stopy čtvereční se zastavil.	{0} stopy čtvereční	Po 0,1 stopy čtvereční se zastavil.	{0} stop čtverečních	Po 5 stop čtverečních se zastavil.
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	dative	{0} stopa čtvereční	Díky 1 stopa čtvereční navíc to mohl stihnout.	{0} stopy čtvereční	Díky 3 stopy čtvereční navíc to mohl stihnout.	{0} stopy čtvereční	Díky 0,1 stopy čtvereční navíc to mohl stihnout.	{0} stop čtverečních	Díky 5 stop čtverečních navíc to mohl stihnout.
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	instrumental	{0} stopa čtvereční	Spokojíme se s 1 stopa čtvereční.	{0} stopy čtvereční	Spokojíme se s 3 stopy čtvereční.	{0} stopy čtvereční	Spokojíme se s 0,1 stopy čtvereční.	{0} stop čtverečních	Spokojíme se s 5 stop čtverečních.
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	nominative	{0} yard čtvereční	Chybí ještě 1 yard čtvereční.	{0} yardy čtvereční	Chybí ještě 3 yardy čtvereční.	{0} yardu čtverečního	Chybí ještě 0,1 yardu čtverečního.	{0} yardů čtverečních	Chybí ještě 5 yardů čtverečních.
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	accusative	{0} yard čtvereční	Naměřili jsme 1 yard čtvereční.	{0} yardy čtvereční	Naměřili jsme 3 yardy čtvereční.	{0} yardu čtverečního	Naměřili jsme 0,1 yardu čtverečního.	{0} yardů čtverečních	Naměřili jsme 5 yardů čtverečních.
