# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ona kotna sekunda	instrumental	{0} kotno sekundo	s/z 101 kotno sekundo	{0} kotnima sekundama	s/z 102 kotnima sekundama	{0} kotnimi sekundami	s/z 4 kotnimi sekundami	{0} kotnimi sekundami	s/z 5 kotnimi sekundami
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ona kotna minuta	nominative	{0} kotna minuta	101 kotna minuta je	{0} kotni minuti	102 kotni minuti je	{0} kotne minute	4 kotne minute je	{0} kotnih minut	5 kotnih minut je
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ona kotna minuta	accusative	{0} kotno minuto	čez 101 kotno minuto	{0} kotni minuti	čez 102 kotni minuti	{0} kotne minute	čez 4 kotne minute	{0} kotnih minut	čez 5 kotnih minut
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ona kotna minuta	genitive	{0} kotne minute	brez 101 kotne minute	{0} kotnih minut	brez 102 kotnih minut	{0} kotnih minut	brez 4 kotnih minut	{0} kotnih minut	brez 5 kotnih minut
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ona kotna minuta	locative	{0} kotni minuti	po 101 kotni minuti	{0} kotnih minutah	po 102 kotnih minutah	{0} kotnih minutah	po 4 kotnih minutah	{0} kotnih minutah	po 5 kotnih minutah
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ona kotna minuta	dative	{0} kotni minuti	kljub 101 kotni minuti	{0} kotnima minutama	kljub 102 kotnima minutama	{0} kotnim minutam	kljub 4 kotnim minutam	{0} kotnim minutam	kljub 5 kotnim minutam
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ona kotna minuta	instrumental	{0} kotno minuto	s/z 101 kotno minuto	{0} kotnima minutama	s/z 102 kotnima minutama	{0} kotnimi minutami	s/z 4 kotnimi minutami	{0} kotnimi minutami	s/z 5 kotnimi minutami
angle	degree • ( = 0.002˙7 rev)	feminine	Ona stopinja	nominative	{0} stopinja	101 stopinja je	{0} stopinji	102 stopinji je	{0} stopinje	4 stopinje je	{0} stopinj	5 stopinj je
angle	degree • ( = 0.002˙7 rev)	feminine	Ona stopinja	accusative	{0} stopinjo	čez 101 stopinjo	{0} stopinji	čez 102 stopinji	{0} stopinje	čez 4 stopinje	{0} stopinj	čez 5 stopinj
angle	degree • ( = 0.002˙7 rev)	feminine	Ona stopinja	genitive	{0} stopinje	brez 101 stopinje	{0} stopinj	brez 102 stopinj	{0} stopinj	brez 4 stopinj	{0} stopinj	brez 5 stopinj
angle	degree • ( = 0.002˙7 rev)	feminine	Ona stopinja	locative	{0} stopinji	po 101 stopinji	{0} stopinjah	po 102 stopinjah	{0} stopinjah	po 4 stopinjah	{0} stopinjah	po 5 stopinjah
angle	degree • ( = 0.002˙7 rev)	feminine	Ona stopinja	dative	{0} stopinji	kljub 101 stopinji	{0} stopinjama	kljub 102 stopinjama	{0} stopinjam	kljub 4 stopinjam	{0} stopinjam	kljub 5 stopinjam
angle	degree • ( = 0.002˙7 rev)	feminine	Ona stopinja	instrumental	{0} stopinjo	s/z 101 stopinjo	{0} stopinjama	s/z 102 stopinjama	{0} stopinjami	s/z 4 stopinjami	{0} stopinjami	s/z 5 stopinjami
angle	radian • ( = ~0.1591549430918953 rev)	masculine	On radian	nominative	{0} radian	101 radian je	{0} radiana	102 radiana je	{0} radiani	4 radiani je	{0} radianov	5 radianov je
angle	radian • ( = ~0.1591549430918953 rev)	masculine	On radian	accusative	{0} radian	čez 101 radian	{0} radiana	čez 102 radiana	{0} radiane	čez 4 radiane	{0} radianov	čez 5 radianov
angle	radian • ( = ~0.1591549430918953 rev)	masculine	On radian	genitive	{0} radiana	brez 101 radiana	{0} radianov	brez 102 radianov	{0} radianov	brez 4 radianov	{0} radianov	brez 5 radianov
angle	radian • ( = ~0.1591549430918953 rev)	masculine	On radian	locative	{0} radianu	po 101 radianu	{0} radianih	po 102 radianih	{0} radianih	po 4 radianih	{0} radianih	po 5 radianih
angle	radian • ( = ~0.1591549430918953 rev)	masculine	On radian	dative	{0} radianu	kljub 101 radianu	{0} radianoma	kljub 102 radianoma	{0} radianom	kljub 4 radianom	{0} radianom	kljub 5 radianom
angle	radian • ( = ~0.1591549430918953 rev)	masculine	On radian	instrumental	{0} radianom	s/z 101 radianom	{0} radianoma	s/z 102 radianoma	{0} radiani	s/z 4 radiani	{0} radiani	s/z 5 radiani
angle	revolutions	masculine	On vrtljaj	nominative	{0} vrtljaj	101 vrtljaj je	{0} vrtljaja	102 vrtljaja je	{0} vrtljaji	4 vrtljaji je	{0} vrtljajev	5 vrtljajev je
angle	revolutions	masculine	On vrtljaj	accusative	{0} vrtljaj	čez 101 vrtljaj	{0} vrtljaja	čez 102 vrtljaja	{0} vrtljaje	čez 4 vrtljaje	{0} vrtljajev	čez 5 vrtljajev
angle	revolutions	masculine	On vrtljaj	genitive	{0} vrtljaja	brez 101 vrtljaja	{0} vrtljajev	brez 102 vrtljajev	{0} vrtljajev	brez 4 vrtljajev	{0} vrtljajev	brez 5 vrtljajev
angle	revolutions	masculine	On vrtljaj	locative	{0} vrtljaju	po 101 vrtljaju	{0} vrtljajih	po 102 vrtljajih	{0} vrtljajih	po 4 vrtljajih	{0} vrtljajih	po 5 vrtljajih
angle	revolutions	masculine	On vrtljaj	dative	{0} vrtljaju	kljub 101 vrtljaju	{0} vrtljajema	kljub 102 vrtljajema	{0} vrtljajem	kljub 4 vrtljajem	{0} vrtljajem	kljub 5 vrtljajem
angle	revolutions	masculine	On vrtljaj	instrumental	{0} vrtljajem	s/z 101 vrtljajem	{0} vrtljajema	s/z 102 vrtljajema	{0} vrtljaji	s/z 4 vrtljaji	{0} vrtljaji	s/z 5 vrtljaji
area	square centimeters	masculine	On kvadratni centimeter	nominative	{0} kvadratni centimeter	101 kvadratni centimeter je	{0} kvadratna centimetra	102 kvadratna centimetra je	{0} kvadratni centimetri	4 kvadratni centimetri je	{0} kvadratnih centimetrov	5 kvadratnih centimetrov je
area	square centimeters	masculine	On kvadratni centimeter	accusative	{0} kvadratni centimeter	čez 101 kvadratni centimeter	{0} kvadratna centimetra	čez 102 kvadratna centimetra	{0} kvadratne centimetre	čez 4 kvadratne centimetre	{0} kvadratnih centimetrov	čez 5 kvadratnih centimetrov
area	square centimeters	masculine	On kvadratni centimeter	genitive	{0} kvadratnega centimetra	brez 101 kvadratnega centimetra	{0} kvadratnih centimetrov	brez 102 kvadratnih centimetrov	{0} kvadratnih centimetrov	brez 4 kvadratnih centimetrov	{0} kvadratnih centimetrov	brez 5 kvadratnih centimetrov
area	square centimeters	masculine	On kvadratni centimeter	locative	{0} kvadratnem centimetru	po 101 kvadratnem centimetru	{0} kvadratnih centimetrih	po 102 kvadratnih centimetrih	{0} kvadratnih centimetrih	po 4 kvadratnih centimetrih	{0} kvadratnih centimetrih	po 5 kvadratnih centimetrih
area	square centimeters	masculine	On kvadratni centimeter	dative	{0} kvadratnemu centimetru	kljub 101 kvadratnemu centimetru	{0} kvadratnima centimetroma	kljub 102 kvadratnima centimetroma	{0} kvadratnim centimetrom	kljub 4 kvadratnim centimetrom	{0} kvadratnim centimetrom	kljub 5 kvadratnim centimetrom
area	square centimeters	masculine	On kvadratni centimeter	instrumental	{0} kvadratnim centimetrom	s/z 101 kvadratnim centimetrom	{0} kvadratnima centimetroma	s/z 102 kvadratnima centimetroma	{0} kvadratnimi centimetri	s/z 4 kvadratnimi centimetri	{0} kvadratnimi centimetri	s/z 5 kvadratnimi centimetri
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	nominative	{0} kvadratni palec	101 kvadratni palec je	{0} kvadratna palca	102 kvadratna palca je	{0} kvadratni palci	4 kvadratni palci je	{0} kvadratnih palcev	5 kvadratnih palcev je
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	accusative	{0} kvadratni palec	čez 101 kvadratni palec	{0} kvadratna palca	čez 102 kvadratna palca	{0} kvadratni palci	čez 4 kvadratni palci	{0} kvadratnih palcev	čez 5 kvadratnih palcev
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	genitive	{0} kvadratni palec	brez 101 kvadratni palec	{0} kvadratna palca	brez 102 kvadratna palca	{0} kvadratni palci	brez 4 kvadratni palci	{0} kvadratnih palcev	brez 5 kvadratnih palcev
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	locative	{0} kvadratni palec	po 101 kvadratni palec	{0} kvadratna palca	po 102 kvadratna palca	{0} kvadratni palci	po 4 kvadratni palci	{0} kvadratnih palcev	po 5 kvadratnih palcev
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	dative	{0} kvadratni palec	kljub 101 kvadratni palec	{0} kvadratna palca	kljub 102 kvadratna palca	{0} kvadratni palci	kljub 4 kvadratni palci	{0} kvadratnih palcev	kljub 5 kvadratnih palcev
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	instrumental	{0} kvadratni palec	s/z 101 kvadratni palec	{0} kvadratna palca	s/z 102 kvadratna palca	{0} kvadratni palci	s/z 4 kvadratni palci	{0} kvadratnih palcev	s/z 5 kvadratnih palcev
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	nominative	{0} kvadratni čevelj	101 kvadratni čevelj je	{0} kvadratna čevlja	102 kvadratna čevlja je	{0} kvadratni čevlji	4 kvadratni čevlji je	{0} kvadratnih čevljev	5 kvadratnih čevljev je
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	accusative	{0} kvadratni čevelj	čez 101 kvadratni čevelj	{0} kvadratna čevlja	čez 102 kvadratna čevlja	{0} kvadratni čevlji	čez 4 kvadratni čevlji	{0} kvadratnih čevljev	čez 5 kvadratnih čevljev
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	genitive	{0} kvadratni čevelj	brez 101 kvadratni čevelj	{0} kvadratna čevlja	brez 102 kvadratna čevlja	{0} kvadratni čevlji	brez 4 kvadratni čevlji	{0} kvadratnih čevljev	brez 5 kvadratnih čevljev
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	locative	{0} kvadratni čevelj	po 101 kvadratni čevelj	{0} kvadratna čevlja	po 102 kvadratna čevlja	{0} kvadratni čevlji	po 4 kvadratni čevlji	{0} kvadratnih čevljev	po 5 kvadratnih čevljev
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	dative	{0} kvadratni čevelj	kljub 101 kvadratni čevelj	{0} kvadratna čevlja	kljub 102 kvadratna čevlja	{0} kvadratni čevlji	kljub 4 kvadratni čevlji	{0} kvadratnih čevljev	kljub 5 kvadratnih čevljev
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	instrumental	{0} kvadratni čevelj	s/z 101 kvadratni čevelj	{0} kvadratna čevlja	s/z 102 kvadratna čevlja	{0} kvadratni čevlji	s/z 4 kvadratni čevlji	{0} kvadratnih čevljev	s/z 5 kvadratnih čevljev
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	nominative	{0} kvadratni jard	101 kvadratni jard je	{0} kvadratna jarda	102 kvadratna jarda je	{0} kvadratni jardi	4 kvadratni jardi je	{0} kvadratnih jardov	5 kvadratnih jardov je
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	accusative	{0} kvadratni jard	čez 101 kvadratni jard	{0} kvadratna jarda	čez 102 kvadratna jarda	{0} kvadratni jardi	čez 4 kvadratni jardi	{0} kvadratnih jardov	čez 5 kvadratnih jardov
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	genitive	{0} kvadratni jard	brez 101 kvadratni jard	{0} kvadratna jarda	brez 102 kvadratna jarda	{0} kvadratni jardi	brez 4 kvadratni jardi	{0} kvadratnih jardov	brez 5 kvadratnih jardov
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	locative	{0} kvadratni jard	po 101 kvadratni jard	{0} kvadratna jarda	po 102 kvadratna jarda	{0} kvadratni jardi	po 4 kvadratni jardi	{0} kvadratnih jardov	po 5 kvadratnih jardov
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	dative	{0} kvadratni jard	kljub 101 kvadratni jard	{0} kvadratna jarda	kljub 102 kvadratna jarda	{0} kvadratni jardi	kljub 4 kvadratni jardi	{0} kvadratnih jardov	kljub 5 kvadratnih jardov
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	instrumental	{0} kvadratni jard	s/z 101 kvadratni jard	{0} kvadratna jarda	s/z 102 kvadratna jarda	{0} kvadratni jardi	s/z 4 kvadratni jardi	{0} kvadratnih jardov	s/z 5 kvadratnih jardov
area	square meters	masculine	On kvadratni meter	nominative	{0} kvadratni meter	101 kvadratni meter je	{0} kvadratna metra	102 kvadratna metra je	{0} kvadratni metri	4 kvadratni metri je	{0} kvadratnih metrov	5 kvadratnih metrov je
area	square meters	masculine	On kvadratni meter	accusative	{0} kvadratni meter	čez 101 kvadratni meter	{0} kvadratna metra	čez 102 kvadratna metra	{0} kvadratne metre	čez 4 kvadratne metre	{0} kvadratnih metrov	čez 5 kvadratnih metrov
area	square meters	masculine	On kvadratni meter	genitive	{0} kvadratnega metra	brez 101 kvadratnega metra	{0} kvadratnih metrov	brez 102 kvadratnih metrov	{0} kvadratnih metrov	brez 4 kvadratnih metrov	{0} kvadratnih metrov	brez 5 kvadratnih metrov
area	square meters	masculine	On kvadratni meter	locative	{0} kvadratnem metru	po 101 kvadratnem metru	{0} kvadratnih metrih	po 102 kvadratnih metrih	{0} kvadratnih metrih	po 4 kvadratnih metrih	{0} kvadratnih metrih	po 5 kvadratnih metrih
area	square meters	masculine	On kvadratni meter	dative	{0} kvadratnemu metru	kljub 101 kvadratnemu metru	{0} kvadratnima metroma	kljub 102 kvadratnima metroma	{0} kvadratnim metrom	kljub 4 kvadratnim metrom	{0} kvadratnim metrom	kljub 5 kvadratnim metrom
area	square meters	masculine	On kvadratni meter	instrumental	{0} kvadratnim metrom	s/z 101 kvadratnim metrom	{0} kvadratnima metroma	s/z 102 kvadratnima metroma	{0} kvadratnimi metri	s/z 4 kvadratnimi metri	{0} kvadratnimi metri	s/z 5 kvadratnimi metri
area	acre • ( = 4046.8564224 m²)	n/a	n/a	nominative	{0} aker	101 aker je	{0} akra	102 akra je	{0} akri	4 akri je	{0} akrov	5 akrov je
area	acre • ( = 4046.8564224 m²)	n/a	n/a	accusative	{0} aker	čez 101 aker	{0} akra	čez 102 akra	{0} akri	čez 4 akri	{0} akrov	čez 5 akrov
area	acre • ( = 4046.8564224 m²)	n/a	n/a	genitive	{0} aker	brez 101 aker	{0} akra	brez 102 akra	{0} akri	brez 4 akri	{0} akrov	brez 5 akrov
area	acre • ( = 4046.8564224 m²)	n/a	n/a	locative	{0} aker	po 101 aker	{0} akra	po 102 akra	{0} akri	po 4 akri	{0} akrov	po 5 akrov
area	acre • ( = 4046.8564224 m²)	n/a	n/a	dative	{0} aker	kljub 101 aker	{0} akra	kljub 102 akra	{0} akri	kljub 4 akri	{0} akrov	kljub 5 akrov
area	acre • ( = 4046.8564224 m²)	n/a	n/a	instrumental	{0} aker	s/z 101 aker	{0} akra	s/z 102 akra	{0} akri	s/z 4 akri	{0} akrov	s/z 5 akrov
area	hectares	masculine	On hektar	nominative	{0} hektar	101 hektar je	{0} hektara	102 hektara je	{0} hektari	4 hektari je	{0} hektarov	5 hektarov je
area	hectares	masculine	On hektar	accusative	{0} hektar	čez 101 hektar	{0} hektara	čez 102 hektara	{0} hektare	čez 4 hektare	{0} hektarjev	čez 5 hektarjev
area	hectares	masculine	On hektar	genitive	{0} hektara	brez 101 hektara	{0} hektarjev	brez 102 hektarjev	{0} hektarjev	brez 4 hektarjev	{0} hektarjev	brez 5 hektarjev
area	hectares	masculine	On hektar	locative	{0} hektarju	po 101 hektarju	{0} hektarih	po 102 hektarih	{0} hektarih	po 4 hektarih	{0} hektarih	po 5 hektarih
area	hectares	masculine	On hektar	dative	{0} hektarju	kljub 101 hektarju	{0} hektarjema	kljub 102 hektarjema	{0} hektarjem	kljub 4 hektarjem	{0} hektarjem	kljub 5 hektarjem
area	hectares	masculine	On hektar	instrumental	{0} hektarjem	s/z 101 hektarjem	{0} hektarjema	s/z 102 hektarjema	{0} hektari	s/z 4 hektari	{0} hektari	s/z 5 hektari
area	square kilometers	masculine	On kvadratni kilometer	nominative	{0} kvadratni kilometer	101 kvadratni kilometer je	{0} kvadratna kilometra	102 kvadratna kilometra je	{0} kvadratni kilometri	4 kvadratni kilometri je	{0} kvadratnih kilometrov	5 kvadratnih kilometrov je
area	square kilometers	masculine	On kvadratni kilometer	accusative	{0} kvadratni kilometer	čez 101 kvadratni kilometer	{0} kvadratna kilometra	čez 102 kvadratna kilometra	{0} kvadratne kilometre	čez 4 kvadratne kilometre	{0} kvadratnih kilometrov	čez 5 kvadratnih kilometrov
