# Grammatical Features
#Locale	ID	Feature	Usage	Values
Tamil	ta	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental, ablative
Tamil	ta	grammaticalCase	units	nominative, accusative, dative, ablative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} நாள்	<div class='cldr_example'><span class='cldr_substituted'>1</span> நாள்</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> நாள்</div>
Plural	other	{0} நாட்கள்	<div class='cldr_example'><span class='cldr_substituted'>2</span> நாட்கள்</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> நாட்கள்</div>
Case (for measurement units)	nominative	{0} ரூ. 50 மதிப்புடையது	<div class='cldr_example'><span class='cldr_substituted'>2 நாட்கள்</span> ரூ. 50 மதிப்புடையது</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2 நாட்களில்</span> ரூ. 50 மதிப்புடையது</div>
Case (for measurement units)	accusative	… என்பதை {0} … ஆல் பெருக்குதல்	<div class='cldr_example'>… என்பதை <span class='cldr_substituted'>2 நாட்களை</span> … ஆல் பெருக்குதல்</div><div class='cldr_example'>❌  … என்பதை <span class='cldr_substituted'>2 நாட்களில்</span> … ஆல் பெருக்குதல்</div>
Case (for measurement units)	dative	… என்பதற்கு {0} …	<div class='cldr_example'>… என்பதற்கு <span class='cldr_substituted'>2 நாட்களுக்கு</span> …</div><div class='cldr_example'>❌  … என்பதற்கு <span class='cldr_substituted'>2 நாட்களில்</span> …</div>
Case (for measurement units)	ablative	… என்பதிலிருந்து {0} …	<div class='cldr_example'>… என்பதிலிருந்து <span class='cldr_substituted'>2 நாட்களில்</span> …</div><div class='cldr_example'>❌  … என்பதிலிருந்து <span class='cldr_substituted'>2 நாட்களை</span> …</div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
angle	arc-second • ( = 0.0000007˙716049382 rev)	dative	{0} ஆர்க் விநாடிக்கு	… என்பதற்கு 1 ஆர்க் விநாடிக்கு …	{0} ஆர்க் விநாடிகளுக்கு	… என்பதற்கு 2 ஆர்க் விநாடிகளுக்கு …
angle	arc-second • ( = 0.0000007˙716049382 rev)	ablative	{0} ஆர்க் விநாடியில்	… என்பதிலிருந்து 1 ஆர்க் விநாடியில் …	{0} ஆர்க் விநாடிகளில்	… என்பதிலிருந்து 2 ஆர்க் விநாடிகளில் …
angle	arc-minute • ( = 0.00004˙629 rev)	nominative	{0} ஆர்க் நிமிடம்	1 ஆர்க் நிமிடம் ரூ. 50 மதிப்புடையது	{0} ஆர்க் நிமிடங்கள்	2 ஆர்க் நிமிடங்கள் ரூ. 50 மதிப்புடையது
angle	arc-minute • ( = 0.00004˙629 rev)	accusative	{0} ஆர்க் நிமிடத்தை	… என்பதை 1 ஆர்க் நிமிடத்தை … ஆல் பெருக்குதல்	{0} ஆர்க் நிமிடங்களை	… என்பதை 2 ஆர்க் நிமிடங்களை … ஆல் பெருக்குதல்
angle	arc-minute • ( = 0.00004˙629 rev)	dative	{0} ஆர்க் நிமிடத்திற்கு	… என்பதற்கு 1 ஆர்க் நிமிடத்திற்கு …	{0} ஆர்க் நிமிடங்களுக்கு	… என்பதற்கு 2 ஆர்க் நிமிடங்களுக்கு …
angle	arc-minute • ( = 0.00004˙629 rev)	ablative	{0} ஆர்க் நிமிடத்தில்	… என்பதிலிருந்து 1 ஆர்க் நிமிடத்தில் …	{0} ஆர்க் நிமிடங்களில்	… என்பதிலிருந்து 2 ஆர்க் நிமிடங்களில் …
angle	degree • ( = 0.002˙7 rev)	nominative	{0} டிகிரி	1 டிகிரி ரூ. 50 மதிப்புடையது	{0} டிகிரீஸ்	2 டிகிரீஸ் ரூ. 50 மதிப்புடையது
angle	degree • ( = 0.002˙7 rev)	accusative	{0} டிகிரியை	… என்பதை 1 டிகிரியை … ஆல் பெருக்குதல்	{0} டிகிரீஸை	… என்பதை 2 டிகிரீஸை … ஆல் பெருக்குதல்
angle	degree • ( = 0.002˙7 rev)	dative	{0} டிகிரிக்கு	… என்பதற்கு 1 டிகிரிக்கு …	{0} டிகிரீஸுக்கு	… என்பதற்கு 2 டிகிரீஸுக்கு …
angle	degree • ( = 0.002˙7 rev)	ablative	{0} டிகிரியில்	… என்பதிலிருந்து 1 டிகிரியில் …	{0} டிகிரீஸில்	… என்பதிலிருந்து 2 டிகிரீஸில் …
angle	radian • ( = ~0.1591549430918953 rev)	nominative	{0} ரேடியன்	1 ரேடியன் ரூ. 50 மதிப்புடையது	{0} ரேடியன்ஸ்	2 ரேடியன்ஸ் ரூ. 50 மதிப்புடையது
angle	radian • ( = ~0.1591549430918953 rev)	accusative	{0} ரேடியனை	… என்பதை 1 ரேடியனை … ஆல் பெருக்குதல்	{0} ரேடியன்ஸை	… என்பதை 2 ரேடியன்ஸை … ஆல் பெருக்குதல்
angle	radian • ( = ~0.1591549430918953 rev)	dative	{0} ரேடியனுக்கு	… என்பதற்கு 1 ரேடியனுக்கு …	{0} ரேடியன்ஸுக்கு	… என்பதற்கு 2 ரேடியன்ஸுக்கு …
angle	radian • ( = ~0.1591549430918953 rev)	ablative	{0} ரேடியனில்	… என்பதிலிருந்து 1 ரேடியனில் …	{0} ரேடியன்ஸில்	… என்பதிலிருந்து 2 ரேடியன்ஸில் …
angle	revolutions	nominative	{0} சுழற்சி	1 சுழற்சி ரூ. 50 மதிப்புடையது	{0} சுழற்சிகள்	2 சுழற்சிகள் ரூ. 50 மதிப்புடையது
angle	revolutions	accusative	{0} சுழற்சியை	… என்பதை 1 சுழற்சியை … ஆல் பெருக்குதல்	{0} சுழற்சிகளை	… என்பதை 2 சுழற்சிகளை … ஆல் பெருக்குதல்
angle	revolutions	dative	{0} சுழற்சிக்கு	… என்பதற்கு 1 சுழற்சிக்கு …	{0} சுழற்சிகளுக்கு	… என்பதற்கு 2 சுழற்சிகளுக்கு …
angle	revolutions	ablative	{0} சுழற்சியில்	… என்பதிலிருந்து 1 சுழற்சியில் …	{0} சுழற்சிகளில்	… என்பதிலிருந்து 2 சுழற்சிகளில் …
area	square centimeters	nominative	{0} சதுர சென்டிமீட்டர்	1 சதுர சென்டிமீட்டர் ரூ. 50 மதிப்புடையது	{0} சதுர சென்டிமீட்டர்கள்	2 சதுர சென்டிமீட்டர்கள் ரூ. 50 மதிப்புடையது
area	square centimeters	accusative	{0} சதுர சென்டிமீட்டரை	… என்பதை 1 சதுர சென்டிமீட்டரை … ஆல் பெருக்குதல்	{0} சதுர சென்டிமீட்டர்களை	… என்பதை 2 சதுர சென்டிமீட்டர்களை … ஆல் பெருக்குதல்
area	square centimeters	dative	{0} சதுர சென்டிமீட்டருக்கு	… என்பதற்கு 1 சதுர சென்டிமீட்டருக்கு …	{0} சதுர சென்டிமீட்டர்களுக்கு	… என்பதற்கு 2 சதுர சென்டிமீட்டர்களுக்கு …
area	square centimeters	ablative	{0} சதுர சென்டிமீட்டரில்	… என்பதிலிருந்து 1 சதுர சென்டிமீட்டரில் …	{0} சதுர சென்டிமீட்டர்களில்	… என்பதிலிருந்து 2 சதுர சென்டிமீட்டர்களில் …
area	square-inch • ( = 6.4516 cm²)	nominative	{0} சதுர அங்குலம்	1 சதுர அங்குலம் ரூ. 50 மதிப்புடையது	{0} சதுர அங்குலங்கள்	2 சதுர அங்குலங்கள் ரூ. 50 மதிப்புடையது
area	square-inch • ( = 6.4516 cm²)	accusative	{0} சதுர அங்குலம்	… என்பதை 1 சதுர அங்குலம் … ஆல் பெருக்குதல்	{0} சதுர அங்குலங்கள்	… என்பதை 2 சதுர அங்குலங்கள் … ஆல் பெருக்குதல்
area	square-inch • ( = 6.4516 cm²)	dative	{0} சதுர அங்குலம்	… என்பதற்கு 1 சதுர அங்குலம் …	{0} சதுர அங்குலங்கள்	… என்பதற்கு 2 சதுர அங்குலங்கள் …
area	square-inch • ( = 6.4516 cm²)	ablative	{0} சதுர அங்குலம்	… என்பதிலிருந்து 1 சதுர அங்குலம் …	{0} சதுர அங்குலங்கள்	… என்பதிலிருந்து 2 சதுர அங்குலங்கள் …
area	square-foot • ( = 929.0304 cm²)	nominative	{0} சதுர அடி	1 சதுர அடி ரூ. 50 மதிப்புடையது	{0} சதுர அடி	2 சதுர அடி ரூ. 50 மதிப்புடையது
area	square-foot • ( = 929.0304 cm²)	accusative	{0} சதுர அடி	… என்பதை 1 சதுர அடி … ஆல் பெருக்குதல்	{0} சதுர அடி	… என்பதை 2 சதுர அடி … ஆல் பெருக்குதல்
area	square-foot • ( = 929.0304 cm²)	dative	{0} சதுர அடி	… என்பதற்கு 1 சதுர அடி …	{0} சதுர அடி	… என்பதற்கு 2 சதுர அடி …
area	square-foot • ( = 929.0304 cm²)	ablative	{0} சதுர அடி	… என்பதிலிருந்து 1 சதுர அடி …	{0} சதுர அடி	… என்பதிலிருந்து 2 சதுர அடி …
area	square-yard • ( = 0.83612736 m²)	nominative	{0} சதுர யார்டு	1 சதுர யார்டு ரூ. 50 மதிப்புடையது	{0} சதுர யார்டுகள்	2 சதுர யார்டுகள் ரூ. 50 மதிப்புடையது
area	square-yard • ( = 0.83612736 m²)	accusative	{0} சதுர யார்டு	… என்பதை 1 சதுர யார்டு … ஆல் பெருக்குதல்	{0} சதுர யார்டுகள்	… என்பதை 2 சதுர யார்டுகள் … ஆல் பெருக்குதல்
area	square-yard • ( = 0.83612736 m²)	dative	{0} சதுர யார்டு	… என்பதற்கு 1 சதுர யார்டு …	{0} சதுர யார்டுகள்	… என்பதற்கு 2 சதுர யார்டுகள் …
area	square-yard • ( = 0.83612736 m²)	ablative	{0} சதுர யார்டு	… என்பதிலிருந்து 1 சதுர யார்டு …	{0} சதுர யார்டுகள்	… என்பதிலிருந்து 2 சதுர யார்டுகள் …
area	square meters	nominative	{0} சதுர மீட்டர்	1 சதுர மீட்டர் ரூ. 50 மதிப்புடையது	{0} சதுர மீட்டர்கள்	2 சதுர மீட்டர்கள் ரூ. 50 மதிப்புடையது
area	square meters	accusative	{0} சதுர மீட்டரை	… என்பதை 1 சதுர மீட்டரை … ஆல் பெருக்குதல்	{0} சதுர மீட்டர்களை	… என்பதை 2 சதுர மீட்டர்களை … ஆல் பெருக்குதல்
area	square meters	dative	{0} சதுர மீட்டருக்கு	… என்பதற்கு 1 சதுர மீட்டருக்கு …	{0} சதுர மீட்டர்களுக்கு	… என்பதற்கு 2 சதுர மீட்டர்களுக்கு …
area	square meters	ablative	{0} சதுர மீட்டரில்	… என்பதிலிருந்து 1 சதுர மீட்டரில் …	{0} சதுர மீட்டர்களில்	… என்பதிலிருந்து 2 சதுர மீட்டர்களில் …
area	acre • ( = 4046.8564224 m²)	nominative	{0} ஏக்கர்	1 ஏக்கர் ரூ. 50 மதிப்புடையது	{0} ஏக்கர்	2 ஏக்கர் ரூ. 50 மதிப்புடையது
area	acre • ( = 4046.8564224 m²)	accusative	{0} ஏக்கர்	… என்பதை 1 ஏக்கர் … ஆல் பெருக்குதல்	{0} ஏக்கர்	… என்பதை 2 ஏக்கர் … ஆல் பெருக்குதல்
area	acre • ( = 4046.8564224 m²)	dative	{0} ஏக்கர்	… என்பதற்கு 1 ஏக்கர் …	{0} ஏக்கர்	… என்பதற்கு 2 ஏக்கர் …
area	acre • ( = 4046.8564224 m²)	ablative	{0} ஏக்கர்	… என்பதிலிருந்து 1 ஏக்கர் …	{0} ஏக்கர்	… என்பதிலிருந்து 2 ஏக்கர் …
area	hectares	nominative	{0} ஹெக்டேர்	1 ஹெக்டேர் ரூ. 50 மதிப்புடையது	{0} ஹெக்டேர்கள்	2 ஹெக்டேர்கள் ரூ. 50 மதிப்புடையது
area	hectares	accusative	{0} ஹெக்டேரை	… என்பதை 1 ஹெக்டேரை … ஆல் பெருக்குதல்	{0} ஹெக்டேர்களை	… என்பதை 2 ஹெக்டேர்களை … ஆல் பெருக்குதல்
area	hectares	dative	{0} ஹெக்டேருக்கு	… என்பதற்கு 1 ஹெக்டேருக்கு …	{0} ஹெக்டேர்களுக்கு	… என்பதற்கு 2 ஹெக்டேர்களுக்கு …
area	hectares	ablative	{0} ஹெக்டேரில்	… என்பதிலிருந்து 1 ஹெக்டேரில் …	{0} ஹெக்டேர்களில்	… என்பதிலிருந்து 2 ஹெக்டேர்களில் …
area	square kilometers	nominative	{0} சதுர கிலோமீட்டர்	1 சதுர கிலோமீட்டர் ரூ. 50 மதிப்புடையது	{0} சதுர கிலோமீட்டர்கள்	2 சதுர கிலோமீட்டர்கள் ரூ. 50 மதிப்புடையது
area	square kilometers	accusative	{0} சதுர கிலோமீட்டரை	… என்பதை 1 சதுர கிலோமீட்டரை … ஆல் பெருக்குதல்	{0} சதுர கிலோமீட்டர்களை	… என்பதை 2 சதுர கிலோமீட்டர்களை … ஆல் பெருக்குதல்
area	square kilometers	dative	{0} சதுர கிலோமீட்டருக்கு	… என்பதற்கு 1 சதுர கிலோமீட்டருக்கு …	{0} சதுர கிலோமீட்டர்களுக்கு	… என்பதற்கு 2 சதுர கிலோமீட்டர்களுக்கு …
area	square kilometers	ablative	{0} சதுர கிலோமீட்டரில்	… என்பதிலிருந்து 1 சதுர கிலோமீட்டரில் …	{0} சதுர கிலோமீட்டர்களில்	… என்பதிலிருந்து 2 சதுர கிலோமீட்டர்களில் …
area	square-mile • ( = 2.589988110336 km²)	nominative	{0} சதுர மைல்	1 சதுர மைல் ரூ. 50 மதிப்புடையது	{0} சதுர மைல்கள்	2 சதுர மைல்கள் ரூ. 50 மதிப்புடையது
area	square-mile • ( = 2.589988110336 km²)	accusative	{0} சதுர மைல்	… என்பதை 1 சதுர மைல் … ஆல் பெருக்குதல்	{0} சதுர மைல்கள்	… என்பதை 2 சதுர மைல்கள் … ஆல் பெருக்குதல்
area	square-mile • ( = 2.589988110336 km²)	dative	{0} சதுர மைல்	… என்பதற்கு 1 சதுர மைல் …	{0} சதுர மைல்கள்	… என்பதற்கு 2 சதுர மைல்கள் …
area	square-mile • ( = 2.589988110336 km²)	ablative	{0} சதுர மைல்	… என்பதிலிருந்து 1 சதுர மைல் …	{0} சதுர மைல்கள்	… என்பதிலிருந்து 2 சதுர மைல்கள் …
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	nominative	{0} மில்லிமோல்/லிட்டர்	1 மில்லிமோல்/லிட்டர் ரூ. 50 மதிப்புடையது	{0} மில்லிமோல்கள்/லிட்டர்	2 மில்லிமோல்கள்/லிட்டர் ரூ. 50 மதிப்புடையது
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	accusative	{0} மில்லிமோல்/லிட்டரை	… என்பதை 1 மில்லிமோல்/லிட்டரை … ஆல் பெருக்குதல்	{0} மில்லிமோல்கள்/லிட்டரை	… என்பதை 2 மில்லிமோல்கள்/லிட்டரை … ஆல் பெருக்குதல்
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	dative	{0} மில்லிமோல்/லிட்டருக்கு	… என்பதற்கு 1 மில்லிமோல்/லிட்டருக்கு …	{0} மில்லிமோல்கள்/லிட்டருக்கு	… என்பதற்கு 2 மில்லிமோல்கள்/லிட்டருக்கு …
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	ablative	{0} மில்லிமோல்/லிட்டரில்	… என்பதிலிருந்து 1 மில்லிமோல்/லிட்டரில் …	{0} மில்லிமோல்கள்/லிட்டரில்	… என்பதிலிருந்து 2 மில்லிமோல்கள்/லிட்டரில் …
consumption	liters per 100 kilometers	nominative	{0} லிட்டர்/100கி.மீ	1 லிட்டர்/100கி.மீ ரூ. 50 மதிப்புடையது	{0} லிட்டர்/100கி.மீ	2 லிட்டர்/100கி.மீ ரூ. 50 மதிப்புடையது
consumption	liters per 100 kilometers	accusative	{0} லிட்டர்/100கிலோமீட்டரை	… என்பதை 1 லிட்டர்/100கிலோமீட்டரை … ஆல் பெருக்குதல்	{0} லிட்டர்/100கிலோமீட்டரை	… என்பதை 2 லிட்டர்/100கிலோமீட்டரை … ஆல் பெருக்குதல்
consumption	liters per 100 kilometers	dative	{0} லிட்டர்/100கிலோமீட்டருக்கு	… என்பதற்கு 1 லிட்டர்/100கிலோமீட்டருக்கு …	{0} லிட்டர்/100கிலோமீட்டருக்கு	… என்பதற்கு 2 லிட்டர்/100கிலோமீட்டருக்கு …
consumption	liters per 100 kilometers	ablative	{0} லிட்டர்/100கிலோமீட்டரில்	… என்பதிலிருந்து 1 லிட்டர்/100கிலோமீட்டரில் …	{0} லிட்டர்/100கிலோமீட்டரில்	… என்பதிலிருந்து 2 லிட்டர்/100கிலோமீட்டரில் …
consumption	liters per kilometer	nominative	{0} லிட்டர்/கிலோமீட்டர்	1 லிட்டர்/கிலோமீட்டர் ரூ. 50 மதிப்புடையது	{0} லிட்டர்கள்/கிலோமீட்டர்	2 லிட்டர்கள்/கிலோமீட்டர் ரூ. 50 மதிப்புடையது
consumption	liters per kilometer	accusative	{0} லிட்டர்/கிலோமீட்டரை	… என்பதை 1 லிட்டர்/கிலோமீட்டரை … ஆல் பெருக்குதல்	{0} லிட்டர்கள்/கிலோமீட்டரை	… என்பதை 2 லிட்டர்கள்/கிலோமீட்டரை … ஆல் பெருக்குதல்
consumption	liters per kilometer	dative	{0} லிட்டர்/கிலோமீட்டருக்கு	… என்பதற்கு 1 லிட்டர்/கிலோமீட்டருக்கு …	{0} லிட்டர்கள்/கிலோமீட்டருக்கு	… என்பதற்கு 2 லிட்டர்கள்/கிலோமீட்டருக்கு …
consumption	liters per kilometer	ablative	{0} லிட்டர்/கிலோமீட்டரில்	… என்பதிலிருந்து 1 லிட்டர்/கிலோமீட்டரில் …	{0} லிட்டர்கள்/கிலோமீட்டரில்	… என்பதிலிருந்து 2 லிட்டர்கள்/கிலோமீட்டரில் …
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	nominative	{0} மைல்/இம்பீ. கேலன்	1 மைல்/இம்பீ. கேலன் ரூ. 50 மதிப்புடையது	{0} மைல்கள்/இம்பீ. கேலன்	2 மைல்கள்/இம்பீ. கேலன் ரூ. 50 மதிப்புடையது
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	accusative	{0} மைல்/இம்பீ. கேலன்	… என்பதை 1 மைல்/இம்பீ. கேலன் … ஆல் பெருக்குதல்	{0} மைல்கள்/இம்பீ. கேலன்	… என்பதை 2 மைல்கள்/இம்பீ. கேலன் … ஆல் பெருக்குதல்
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	dative	{0} மைல்/இம்பீ. கேலன்	… என்பதற்கு 1 மைல்/இம்பீ. கேலன் …	{0} மைல்கள்/இம்பீ. கேலன்	… என்பதற்கு 2 மைல்கள்/இம்பீ. கேலன் …
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	ablative	{0} மைல்/இம்பீ. கேலன்	… என்பதிலிருந்து 1 மைல்/இம்பீ. கேலன் …	{0} மைல்கள்/இம்பீ. கேலன்	… என்பதிலிருந்து 2 மைல்கள்/இம்பீ. கேலன் …
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	nominative	{0} மைல்/கேலன்	1 மைல்/கேலன் ரூ. 50 மதிப்புடையது	{0} மைல்கள்/கேலன்	2 மைல்கள்/கேலன் ரூ. 50 மதிப்புடையது
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	accusative	{0} மைல்/கேலன்	… என்பதை 1 மைல்/கேலன் … ஆல் பெருக்குதல்	{0} மைல்கள்/கேலன்	… என்பதை 2 மைல்கள்/கேலன் … ஆல் பெருக்குதல்
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	dative	{0} மைல்/கேலன்	… என்பதற்கு 1 மைல்/கேலன் …	{0} மைல்கள்/கேலன்	… என்பதற்கு 2 மைல்கள்/கேலன் …
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	ablative	{0} மைல்/கேலன்	… என்பதிலிருந்து 1 மைல்/கேலன் …	{0} மைல்கள்/கேலன்	… என்பதிலிருந்து 2 மைல்கள்/கேலன் …
digital	bits	nominative	{0} பிட்	1 பிட் ரூ. 50 மதிப்புடையது	{0} பிட்கள்	2 பிட்கள் ரூ. 50 மதிப்புடையது
digital	bits	accusative	{0} பிட்டை	… என்பதை 1 பிட்டை … ஆல் பெருக்குதல்	{0} பிட்களை	… என்பதை 2 பிட்களை … ஆல் பெருக்குதல்
digital	bits	dative	{0} பிட்டுக்கு	… என்பதற்கு 1 பிட்டுக்கு …	{0} பிட்களுக்கு	… என்பதற்கு 2 பிட்களுக்கு …
digital	bits	ablative	{0} பிட்டில்	… என்பதிலிருந்து 1 பிட்டில் …	{0} பிட்களில்	… என்பதிலிருந்து 2 பிட்களில் …
digital	byte • ( = 8 bit)	nominative	{0} பைட்	1 பைட் ரூ. 50 மதிப்புடையது	{0} பைட்கள்	2 பைட்கள் ரூ. 50 மதிப்புடையது
digital	byte • ( = 8 bit)	accusative	{0} பைட்டை	… என்பதை 1 பைட்டை … ஆல் பெருக்குதல்	{0} பைட்களை	… என்பதை 2 பைட்களை … ஆல் பெருக்குதல்
digital	byte • ( = 8 bit)	dative	{0} பைட்டுக்கு	… என்பதற்கு 1 பைட்டுக்கு …	{0} பைட்களுக்கு	… என்பதற்கு 2 பைட்களுக்கு …
digital	byte • ( = 8 bit)	ablative	{0} பைட்டில்	… என்பதிலிருந்து 1 பைட்டில் …	{0} பைட்களில்	… என்பதிலிருந்து 2 பைட்களில் …
digital	kilobits	nominative	{0} கிலோபிட்	1 கிலோபிட் ரூ. 50 மதிப்புடையது	{0} கிலோபிட்கள்	2 கிலோபிட்கள் ரூ. 50 மதிப்புடையது
digital	kilobits	accusative	{0} கிலோபிட்டை	… என்பதை 1 கிலோபிட்டை … ஆல் பெருக்குதல்	{0} கிலோபிட்களை	… என்பதை 2 கிலோபிட்களை … ஆல் பெருக்குதல்
digital	kilobits	dative	{0} கிலோபிட்டுக்கு	… என்பதற்கு 1 கிலோபிட்டுக்கு …	{0} கிலோபிட்களுக்கு	… என்பதற்கு 2 கிலோபிட்களுக்கு …
digital	kilobits	ablative	{0} கிலோபிட்டில்	… என்பதிலிருந்து 1 கிலோபிட்டில் …	{0} கிலோபிட்களில்	… என்பதிலிருந்து 2 கிலோபிட்களில் …
digital	kilobyte • ( = 8 kb)	nominative	{0} கிலோபைட்	1 கிலோபைட் ரூ. 50 மதிப்புடையது	{0} கிலோபைட்கள்	2 கிலோபைட்கள் ரூ. 50 மதிப்புடையது
digital	kilobyte • ( = 8 kb)	accusative	{0} கிலோபைட்டை	… என்பதை 1 கிலோபைட்டை … ஆல் பெருக்குதல்	{0} கிலோபைட்களை	… என்பதை 2 கிலோபைட்களை … ஆல் பெருக்குதல்
