# Grammatical Features
#Locale	ID	Feature	Usage	Values
Ukrainian	uk	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} день	<div class='cldr_example'><span class='cldr_substituted'>1</span> день</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> день</div>
Plural	few	{0} дні	<div class='cldr_example'><span class='cldr_substituted'>2</span> дні</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> дні</div>
Plural	many	{0} днів	<div class='cldr_example'><span class='cldr_substituted'>5</span> днів</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> днів</div>
Plural	other	{0} дня	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> дня</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> дня</div>
Case (for measurement units)	nominative	Є {0}	<div class='cldr_example'>Є <span class='cldr_substituted'>1 метр</span></div><div class='cldr_example'>❌  Є <span class='cldr_substituted'>1 метру</span></div>
Case (for measurement units)	accusative	Знайшли {0}	<div class='cldr_example'>Знайшли <span class='cldr_substituted'>1 метр</span></div><div class='cldr_example'>❌  Знайшли <span class='cldr_substituted'>1 метру</span></div>
Case (for measurement units)	genitive	Немає {0}	<div class='cldr_example'>Немає <span class='cldr_substituted'>1 метра</span></div><div class='cldr_example'>❌  Немає <span class='cldr_substituted'>1 метр</span></div>
Case (for measurement units)	locative	Міститься в {0}	<div class='cldr_example'>Міститься в <span class='cldr_substituted'>1 метрі</span></div><div class='cldr_example'>❌  Міститься в <span class='cldr_substituted'>1 метр</span></div>
Case (for measurement units)	dative	Це відповідає {0}	<div class='cldr_example'>Це відповідає <span class='cldr_substituted'>1 метру</span></div><div class='cldr_example'>❌  Це відповідає <span class='cldr_substituted'>1 метр</span></div>
Case (for measurement units)	instrumental	Вимірюється не {0}	<div class='cldr_example'>Вимірюється не <span class='cldr_substituted'>1 метром</span></div><div class='cldr_example'>❌  Вимірюється не <span class='cldr_substituted'>1 метр</span></div>
Gender (for measurement units)	masculine	Цей {0}	<div class='cldr_example'>Цей <span class='cldr_substituted'>день</span></div><div class='cldr_example'>❌  Цей <span class='cldr_substituted'>година</span></div>
Gender (for measurement units)	feminine	Ця {0}	<div class='cldr_example'>Ця <span class='cldr_substituted'>година</span></div><div class='cldr_example'>❌  Ця <span class='cldr_substituted'>день</span></div>
Gender (for measurement units)	neuter	Це {0}	<div class='cldr_example'>Це <span class='cldr_substituted'>століття</span></div><div class='cldr_example'>❌  Це <span class='cldr_substituted'>година</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 5.0	Pattern for other	Case MP + pattern with 0.1
angle	degree • ( = 0.002˙7 rev)	masculine	Цей градус	dative	{0} градусу	Це відповідає 21 градусу	{0} градусам	Це відповідає 3 градусам	{0} градусам	Це відповідає 5 градусам	{0} градуса	Це відповідає 0,1 градуса
angle	degree • ( = 0.002˙7 rev)	masculine	Цей градус	instrumental	{0} градусом	Вимірюється не 21 градусом	{0} градусами	Вимірюється не 3 градусами	{0} градусами	Вимірюється не 5 градусами	{0} градуса	Вимірюється не 0,1 градуса
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Цей радіан	nominative	{0} радіан	Є 21 радіан	{0} радіани	Є 3 радіани	{0} радіанів	Є 5 радіанів	{0} радіана	Є 0,1 радіана
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Цей радіан	accusative	{0} радіан	Знайшли 21 радіан	{0} радіани	Знайшли 3 радіани	{0} радіанів	Знайшли 5 радіанів	{0} радіана	Знайшли 0,1 радіана
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Цей радіан	genitive	{0} радіана	Немає 21 радіана	{0} радіанів	Немає 3 радіанів	{0} радіанів	Немає 5 радіанів	{0} радіана	Немає 0,1 радіана
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Цей радіан	locative	{0} радіані	Міститься в 21 радіані	{0} радіанах	Міститься в 3 радіанах	{0} радіанах	Міститься в 5 радіанах	{0} радіана	Міститься в 0,1 радіана
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Цей радіан	dative	{0} радіану	Це відповідає 21 радіану	{0} радіанам	Це відповідає 3 радіанам	{0} радіанам	Це відповідає 5 радіанам	{0} радіана	Це відповідає 0,1 радіана
angle	radian • ( = ~0.1591549430918953 rev)	masculine	Цей радіан	instrumental	{0} радіаном	Вимірюється не 21 радіаном	{0} радіанами	Вимірюється не 3 радіанами	{0} радіанами	Вимірюється не 5 радіанами	{0} радіана	Вимірюється не 0,1 радіана
angle	revolutions	masculine	Цей оберт	nominative	{0} оберт	Є 21 оберт	{0} оберти	Є 3 оберти	{0} обертів	Є 5 обертів	{0} оберта	Є 0,1 оберта
angle	revolutions	masculine	Цей оберт	accusative	{0} оберт	Знайшли 21 оберт	{0} оберти	Знайшли 3 оберти	{0} обертів	Знайшли 5 обертів	{0} оберта	Знайшли 0,1 оберта
angle	revolutions	masculine	Цей оберт	genitive	{0} оберта	Немає 21 оберта	{0} обертів	Немає 3 обертів	{0} обертів	Немає 5 обертів	{0} оберта	Немає 0,1 оберта
angle	revolutions	masculine	Цей оберт	locative	{0} оберті	Міститься в 21 оберті	{0} обертах	Міститься в 3 обертах	{0} обертах	Міститься в 5 обертах	{0} оберта	Міститься в 0,1 оберта
angle	revolutions	masculine	Цей оберт	dative	{0} оберту	Це відповідає 21 оберту	{0} обертам	Це відповідає 3 обертам	{0} обертам	Це відповідає 5 обертам	{0} оберта	Це відповідає 0,1 оберта
angle	revolutions	masculine	Цей оберт	instrumental	{0} обертом	Вимірюється не 21 обертом	{0} обертами	Вимірюється не 3 обертами	{0} обертами	Вимірюється не 5 обертами	{0} оберта	Вимірюється не 0,1 оберта
area	square centimeters	masculine	Цей квадратний сантиметр	nominative	{0} квадратний сантиметр	Є 21 квадратний сантиметр	{0} квадратні сантиметри	Є 3 квадратні сантиметри	{0} квадратних сантиметрів	Є 5 квадратних сантиметрів	{0} квадратного сантиметра	Є 0,1 квадратного сантиметра
area	square centimeters	masculine	Цей квадратний сантиметр	accusative	{0} квадратний сантиметр	Знайшли 21 квадратний сантиметр	{0} квадратні сантиметри	Знайшли 3 квадратні сантиметри	{0} квадратних сантиметрів	Знайшли 5 квадратних сантиметрів	{0} квадратного сантиметра	Знайшли 0,1 квадратного сантиметра
area	square centimeters	masculine	Цей квадратний сантиметр	genitive	{0} квадратного сантиметра	Немає 21 квадратного сантиметра	{0} квадратних сантиметрів	Немає 3 квадратних сантиметрів	{0} квадратних сантиметрів	Немає 5 квадратних сантиметрів	{0} квадратного сантиметра	Немає 0,1 квадратного сантиметра
area	square centimeters	masculine	Цей квадратний сантиметр	locative	{0} квадратному сантиметрі	Міститься в 21 квадратному сантиметрі	{0} квадратних сантиметрах	Міститься в 3 квадратних сантиметрах	{0} квадратних сантиметрах	Міститься в 5 квадратних сантиметрах	{0} квадратного сантиметра	Міститься в 0,1 квадратного сантиметра
area	square centimeters	masculine	Цей квадратний сантиметр	dative	{0} квадратному сантиметру	Це відповідає 21 квадратному сантиметру	{0} квадратним сантиметрам	Це відповідає 3 квадратним сантиметрам	{0} квадратним сантиметрам	Це відповідає 5 квадратним сантиметрам	{0} квадратного сантиметра	Це відповідає 0,1 квадратного сантиметра
area	square centimeters	masculine	Цей квадратний сантиметр	instrumental	{0} квадратним сантиметром	Вимірюється не 21 квадратним сантиметром	{0} квадратними сантиметрами	Вимірюється не 3 квадратними сантиметрами	{0} квадратними сантиметрами	Вимірюється не 5 квадратними сантиметрами	{0} квадратного сантиметра	Вимірюється не 0,1 квадратного сантиметра
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	nominative	{0} квадратний дюйм	Є 21 квадратний дюйм	{0} квадратні дюйми	Є 3 квадратні дюйми	{0} квадратних дюймів	Є 5 квадратних дюймів	{0} квадратного дюйма	Є 0,1 квадратного дюйма
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	accusative	{0} квадратний дюйм	Знайшли 21 квадратний дюйм	{0} квадратні дюйми	Знайшли 3 квадратні дюйми	{0} квадратних дюймів	Знайшли 5 квадратних дюймів	{0} квадратного дюйма	Знайшли 0,1 квадратного дюйма
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	genitive	{0} квадратний дюйм	Немає 21 квадратний дюйм	{0} квадратні дюйми	Немає 3 квадратні дюйми	{0} квадратних дюймів	Немає 5 квадратних дюймів	{0} квадратного дюйма	Немає 0,1 квадратного дюйма
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	locative	{0} квадратний дюйм	Міститься в 21 квадратний дюйм	{0} квадратні дюйми	Міститься в 3 квадратні дюйми	{0} квадратних дюймів	Міститься в 5 квадратних дюймів	{0} квадратного дюйма	Міститься в 0,1 квадратного дюйма
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	dative	{0} квадратний дюйм	Це відповідає 21 квадратний дюйм	{0} квадратні дюйми	Це відповідає 3 квадратні дюйми	{0} квадратних дюймів	Це відповідає 5 квадратних дюймів	{0} квадратного дюйма	Це відповідає 0,1 квадратного дюйма
area	square-inch • ( = 6.4516 cm²)	n/a	n/a	instrumental	{0} квадратний дюйм	Вимірюється не 21 квадратний дюйм	{0} квадратні дюйми	Вимірюється не 3 квадратні дюйми	{0} квадратних дюймів	Вимірюється не 5 квадратних дюймів	{0} квадратного дюйма	Вимірюється не 0,1 квадратного дюйма
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	nominative	{0} квадратний фут	Є 21 квадратний фут	{0} квадратні фути	Є 3 квадратні фути	{0} квадратних футів	Є 5 квадратних футів	{0} квадратного фута	Є 0,1 квадратного фута
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	accusative	{0} квадратний фут	Знайшли 21 квадратний фут	{0} квадратні фути	Знайшли 3 квадратні фути	{0} квадратних футів	Знайшли 5 квадратних футів	{0} квадратного фута	Знайшли 0,1 квадратного фута
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	genitive	{0} квадратний фут	Немає 21 квадратний фут	{0} квадратні фути	Немає 3 квадратні фути	{0} квадратних футів	Немає 5 квадратних футів	{0} квадратного фута	Немає 0,1 квадратного фута
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	locative	{0} квадратний фут	Міститься в 21 квадратний фут	{0} квадратні фути	Міститься в 3 квадратні фути	{0} квадратних футів	Міститься в 5 квадратних футів	{0} квадратного фута	Міститься в 0,1 квадратного фута
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	dative	{0} квадратний фут	Це відповідає 21 квадратний фут	{0} квадратні фути	Це відповідає 3 квадратні фути	{0} квадратних футів	Це відповідає 5 квадратних футів	{0} квадратного фута	Це відповідає 0,1 квадратного фута
area	square-foot • ( = 929.0304 cm²)	n/a	n/a	instrumental	{0} квадратний фут	Вимірюється не 21 квадратний фут	{0} квадратні фути	Вимірюється не 3 квадратні фути	{0} квадратних футів	Вимірюється не 5 квадратних футів	{0} квадратного фута	Вимірюється не 0,1 квадратного фута
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	nominative	{0} квадратний ярд	Є 21 квадратний ярд	{0} квадратні ярди	Є 3 квадратні ярди	{0} квадратних ярдів	Є 5 квадратних ярдів	{0} квадратного ярда	Є 0,1 квадратного ярда
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	accusative	{0} квадратний ярд	Знайшли 21 квадратний ярд	{0} квадратні ярди	Знайшли 3 квадратні ярди	{0} квадратних ярдів	Знайшли 5 квадратних ярдів	{0} квадратного ярда	Знайшли 0,1 квадратного ярда
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	genitive	{0} квадратний ярд	Немає 21 квадратний ярд	{0} квадратні ярди	Немає 3 квадратні ярди	{0} квадратних ярдів	Немає 5 квадратних ярдів	{0} квадратного ярда	Немає 0,1 квадратного ярда
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	locative	{0} квадратний ярд	Міститься в 21 квадратний ярд	{0} квадратні ярди	Міститься в 3 квадратні ярди	{0} квадратних ярдів	Міститься в 5 квадратних ярдів	{0} квадратного ярда	Міститься в 0,1 квадратного ярда
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	dative	{0} квадратний ярд	Це відповідає 21 квадратний ярд	{0} квадратні ярди	Це відповідає 3 квадратні ярди	{0} квадратних ярдів	Це відповідає 5 квадратних ярдів	{0} квадратного ярда	Це відповідає 0,1 квадратного ярда
area	square-yard • ( = 0.83612736 m²)	n/a	n/a	instrumental	{0} квадратний ярд	Вимірюється не 21 квадратний ярд	{0} квадратні ярди	Вимірюється не 3 квадратні ярди	{0} квадратних ярдів	Вимірюється не 5 квадратних ярдів	{0} квадратного ярда	Вимірюється не 0,1 квадратного ярда
area	square meters	masculine	Цей квадратний метр	nominative	{0} квадратний метр	Є 21 квадратний метр	{0} квадратні метри	Є 3 квадратні метри	{0} квадратних метрів	Є 5 квадратних метрів	{0} квадратного метра	Є 0,1 квадратного метра
area	square meters	masculine	Цей квадратний метр	accusative	{0} квадратний метр	Знайшли 21 квадратний метр	{0} квадратні метри	Знайшли 3 квадратні метри	{0} квадратних метрів	Знайшли 5 квадратних метрів	{0} квадратного метра	Знайшли 0,1 квадратного метра
area	square meters	masculine	Цей квадратний метр	genitive	{0} квадратного метра	Немає 21 квадратного метра	{0} квадратних метрів	Немає 3 квадратних метрів	{0} квадратних метрів	Немає 5 квадратних метрів	{0} квадратного метра	Немає 0,1 квадратного метра
area	square meters	masculine	Цей квадратний метр	locative	{0} квадратному метрі	Міститься в 21 квадратному метрі	{0} квадратних метрах	Міститься в 3 квадратних метрах	{0} квадратних метрах	Міститься в 5 квадратних метрах	{0} квадратного метра	Міститься в 0,1 квадратного метра
area	square meters	masculine	Цей квадратний метр	dative	{0} квадратному метру	Це відповідає 21 квадратному метру	{0} квадратним метрам	Це відповідає 3 квадратним метрам	{0} квадратним метрам	Це відповідає 5 квадратним метрам	{0} квадратного метра	Це відповідає 0,1 квадратного метра
area	square meters	masculine	Цей квадратний метр	instrumental	{0} квадратним метром	Вимірюється не 21 квадратним метром	{0} квадратними метрами	Вимірюється не 3 квадратними метрами	{0} квадратними метрами	Вимірюється не 5 квадратними метрами	{0} квадратного метра	Вимірюється не 0,1 квадратного метра
area	acre • ( = 4046.8564224 m²)	n/a	n/a	nominative	{0} акр	Є 21 акр	{0} акри	Є 3 акри	{0} акрів	Є 5 акрів	{0} акра	Є 0,1 акра
area	acre • ( = 4046.8564224 m²)	n/a	n/a	accusative	{0} акр	Знайшли 21 акр	{0} акри	Знайшли 3 акри	{0} акрів	Знайшли 5 акрів	{0} акра	Знайшли 0,1 акра
area	acre • ( = 4046.8564224 m²)	n/a	n/a	genitive	{0} акр	Немає 21 акр	{0} акри	Немає 3 акри	{0} акрів	Немає 5 акрів	{0} акра	Немає 0,1 акра
area	acre • ( = 4046.8564224 m²)	n/a	n/a	locative	{0} акр	Міститься в 21 акр	{0} акри	Міститься в 3 акри	{0} акрів	Міститься в 5 акрів	{0} акра	Міститься в 0,1 акра
area	acre • ( = 4046.8564224 m²)	n/a	n/a	dative	{0} акр	Це відповідає 21 акр	{0} акри	Це відповідає 3 акри	{0} акрів	Це відповідає 5 акрів	{0} акра	Це відповідає 0,1 акра
area	acre • ( = 4046.8564224 m²)	n/a	n/a	instrumental	{0} акр	Вимірюється не 21 акр	{0} акри	Вимірюється не 3 акри	{0} акрів	Вимірюється не 5 акрів	{0} акра	Вимірюється не 0,1 акра
area	hectares	masculine	Цей гектар	nominative	{0} гектар	Є 21 гектар	{0} гектари	Є 3 гектари	{0} гектарів	Є 5 гектарів	{0} гектара	Є 0,1 гектара
area	hectares	masculine	Цей гектар	accusative	{0} гектар	Знайшли 21 гектар	{0} гектари	Знайшли 3 гектари	{0} гектарів	Знайшли 5 гектарів	{0} гектара	Знайшли 0,1 гектара
area	hectares	masculine	Цей гектар	genitive	{0} гектара	Немає 21 гектара	{0} гектарів	Немає 3 гектарів	{0} гектарів	Немає 5 гектарів	{0} гектара	Немає 0,1 гектара
area	hectares	masculine	Цей гектар	locative	{0} гектарі	Міститься в 21 гектарі	{0} гектарах	Міститься в 3 гектарах	{0} гектарах	Міститься в 5 гектарах	{0} гектара	Міститься в 0,1 гектара
area	hectares	masculine	Цей гектар	dative	{0} гектару	Це відповідає 21 гектару	{0} гектарам	Це відповідає 3 гектарам	{0} гектарам	Це відповідає 5 гектарам	{0} гектара	Це відповідає 0,1 гектара
area	hectares	masculine	Цей гектар	instrumental	{0} гектаром	Вимірюється не 21 гектаром	{0} гектарами	Вимірюється не 3 гектарами	{0} гектарами	Вимірюється не 5 гектарами	{0} гектара	Вимірюється не 0,1 гектара
