# Grammatical Features
#Locale	ID	Feature	Usage	Values
Amharic	am	grammaticalCase	general	nominative, accusative
Amharic	am	grammaticalDefiniteness	general	indefinite, definite

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} ቀን	<div class='cldr_example'><span class='cldr_substituted'>1</span> ቀን</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ቀን</div>
Plural	other	{0} ቀናት	<div class='cldr_example'><span class='cldr_substituted'>2</span> ቀናት</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ቀናት</div>
Case (for measurement units)	nominative	የዩኬ {0} የሻይ ማንኪያ	<div class='cldr_example'>የዩኬ <span class='cldr_substituted'>1 rad</span> የሻይ ማንኪያ</div><div class='cldr_example'>❌  የዩኬ <span class='cldr_substituted'>1 ራዲያን</span> የሻይ ማንኪያ</div>
Case (for measurement units)	accusative	{0} ዩኬ የሻይ ማንኪያው	<div class='cldr_example'><span class='cldr_substituted'>1 ራዲያን</span> ዩኬ የሻይ ማንኪያው</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 rad</span> ዩኬ የሻይ ማንኪያው</div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
mass	carat • ( = 200 mg)	accusative	{0} ካራት	1 ካራት ዩኬ የሻይ ማንኪያው	{0} ካራቶች	3 ካራቶች ዩኬ የሻይ ማንኪያው
mass	grams	nominative	{0} ግራም	የዩኬ 1 ግራም የሻይ ማንኪያ	{0} ግራም	የዩኬ 3 ግራም የሻይ ማንኪያ
mass	grams	accusative	{0} ግራም	1 ግራም ዩኬ የሻይ ማንኪያው	{0} ግራም	3 ግራም ዩኬ የሻይ ማንኪያው
mass	kilograms	nominative	{0} ኪሎግራም	የዩኬ 1 ኪሎግራም የሻይ ማንኪያ	{0} ኪሎግራም	የዩኬ 3 ኪሎግራም የሻይ ማንኪያ
mass	kilograms	accusative	{0} ኪሎግራም	1 ኪሎግራም ዩኬ የሻይ ማንኪያው	{0} ኪሎግራም	3 ኪሎግራም ዩኬ የሻይ ማንኪያው
mass	metric tons	nominative	{0} ሜትሪክ ቶን	የዩኬ 1 ሜትሪክ ቶን የሻይ ማንኪያ	{0} ሜትሪክ ቶኖች	የዩኬ 3 ሜትሪክ ቶኖች የሻይ ማንኪያ
mass	metric tons	accusative	{0} ሜትሪክ ቶን	1 ሜትሪክ ቶን ዩኬ የሻይ ማንኪያው	{0} ሜትሪክ ቶኖች	3 ሜትሪክ ቶኖች ዩኬ የሻይ ማንኪያው
portion	parts per million	nominative	{0} ppm	የዩኬ 1 ppm የሻይ ማንኪያ	{0} ppm	የዩኬ 3 ppm የሻይ ማንኪያ
portion	parts per million	accusative	{0} ክፍል በየሚሊዮን	1 ክፍል በየሚሊዮን ዩኬ የሻይ ማንኪያው	{0} ክፍል በየሚሊዮን	3 ክፍል በየሚሊዮን ዩኬ የሻይ ማንኪያው
portion	permyriad	nominative	{0}‱	የዩኬ 1‱ የሻይ ማንኪያ	{0}‱	የዩኬ 3‱ የሻይ ማንኪያ
portion	permyriad	accusative	{0}‱	1‱ ዩኬ የሻይ ማንኪያው	{0}‱	3‱ ዩኬ የሻይ ማንኪያው
portion	permille	nominative	{0} በማይል	የዩኬ 1 በማይል የሻይ ማንኪያ	{0}‰	የዩኬ 3‰ የሻይ ማንኪያ
portion	permille	accusative	{0} በማይል	1 በማይል ዩኬ የሻይ ማንኪያው	{0}‰	3‰ ዩኬ የሻይ ማንኪያው
portion	percent	nominative	{0} ፐርሰንት	የዩኬ 1 ፐርሰንት የሻይ ማንኪያ	{0} ፐርሰንት	የዩኬ 3 ፐርሰንት የሻይ ማንኪያ
portion	percent	accusative	{0} ፐርሰንት	1 ፐርሰንት ዩኬ የሻይ ማንኪያው	{0} ፐርሰንት	3 ፐርሰንት ዩኬ የሻይ ማንኪያው
portion	karat • ( = 4.1˙6%)	nominative	{0} ካራት	የዩኬ 1 ካራት የሻይ ማንኪያ	{0} ካራት	የዩኬ 3 ካራት የሻይ ማንኪያ
portion	karat • ( = 4.1˙6%)	accusative	{0} ካራት	1 ካራት ዩኬ የሻይ ማንኪያው	{0} ካራት	3 ካራት ዩኬ የሻይ ማንኪያው
power	milliwatts	nominative	{0} mW	የዩኬ 1 mW የሻይ ማንኪያ	{0} mW	የዩኬ 3 mW የሻይ ማንኪያ
power	milliwatts	accusative	{0} mW	1 mW ዩኬ የሻይ ማንኪያው	{0} mW	3 mW ዩኬ የሻይ ማንኪያው
power	watts	nominative	{0} ዋት	የዩኬ 1 ዋት የሻይ ማንኪያ	{0} ዋት	የዩኬ 3 ዋት የሻይ ማንኪያ
power	watts	accusative	{0} ዋት	1 ዋት ዩኬ የሻይ ማንኪያው	{0} ዋት	3 ዋት ዩኬ የሻይ ማንኪያው
power	kilowatts	nominative	{0} ኪሎዋት	የዩኬ 1 ኪሎዋት የሻይ ማንኪያ	{0} ኪሎዋት	የዩኬ 3 ኪሎዋት የሻይ ማንኪያ
power	kilowatts	accusative	{0} ኪሎዋት	1 ኪሎዋት ዩኬ የሻይ ማንኪያው	{0} ኪሎዋት	3 ኪሎዋት ዩኬ የሻይ ማንኪያው
power	megawatts	nominative	{0} MW	የዩኬ 1 MW የሻይ ማንኪያ	{0} MW	የዩኬ 3 MW የሻይ ማንኪያ
power	megawatts	accusative	{0} MW	1 MW ዩኬ የሻይ ማንኪያው	{0} MW	3 MW ዩኬ የሻይ ማንኪያው
power	gigawatts	nominative	{0} GW	የዩኬ 1 GW የሻይ ማንኪያ	{0} GW	የዩኬ 3 GW የሻይ ማንኪያ
power	gigawatts	accusative	{0} GW	1 GW ዩኬ የሻይ ማንኪያው	{0} GW	3 GW ዩኬ የሻይ ማንኪያው
pressure	pascals	nominative	{0} ፓስካል	የዩኬ 1 ፓስካል የሻይ ማንኪያ	{0} ፓስካል	የዩኬ 3 ፓስካል የሻይ ማንኪያ
pressure	pascals	accusative	{0} ፓስካል	1 ፓስካል ዩኬ የሻይ ማንኪያው	{0} ፓስካል	3 ፓስካል ዩኬ የሻይ ማንኪያው
pressure	hectopascal • ( = 1 mbar)	nominative	{0} ሄክቶፓስካል	የዩኬ 1 ሄክቶፓስካል የሻይ ማንኪያ	{0} ሄክቶፓስካል	የዩኬ 3 ሄክቶፓስካል የሻይ ማንኪያ
pressure	hectopascal • ( = 1 mbar)	accusative	{0} ሄክቶፓስካል	1 ሄክቶፓስካል ዩኬ የሻይ ማንኪያው	{0} ሄክቶፓስካል	3 ሄክቶፓስካል ዩኬ የሻይ ማንኪያው
pressure	millibars	nominative	{0} ሚሊባር	የዩኬ 1 ሚሊባር የሻይ ማንኪያ	{0} ሚሊባር	የዩኬ 3 ሚሊባር የሻይ ማንኪያ
pressure	millibars	accusative	{0} ሚሊባር	1 ሚሊባር ዩኬ የሻይ ማንኪያው	{0} ሚሊባር	3 ሚሊባር ዩኬ የሻይ ማንኪያው
pressure	kilopascals	nominative	{0} ኪሎፓስካል	የዩኬ 1 ኪሎፓስካል የሻይ ማንኪያ	{0} ኪሎፓስካል	የዩኬ 3 ኪሎፓስካል የሻይ ማንኪያ
pressure	kilopascals	accusative	{0} ኪሎፓስካል	1 ኪሎፓስካል ዩኬ የሻይ ማንኪያው	{0} ኪሎፓስካል	3 ኪሎፓስካል ዩኬ የሻይ ማንኪያው
pressure	bars	nominative	{0} አሞሌ	የዩኬ 1 አሞሌ የሻይ ማንኪያ	{0} አሞሌዎች	የዩኬ 3 አሞሌዎች የሻይ ማንኪያ
pressure	bars	accusative	{0} አሞሌ	1 አሞሌ ዩኬ የሻይ ማንኪያው	{0} አሞሌዎች	3 አሞሌዎች ዩኬ የሻይ ማንኪያው
pressure	atmosphere • ( = 1.01325 bar)	nominative	{0} ከባቢ አየር	የዩኬ 1 ከባቢ አየር የሻይ ማንኪያ	{0} ከባቢ አየር	የዩኬ 3 ከባቢ አየር የሻይ ማንኪያ
pressure	atmosphere • ( = 1.01325 bar)	accusative	{0} ከባቢ አየር	1 ከባቢ አየር ዩኬ የሻይ ማንኪያው	{0} ከባቢ አየር	3 ከባቢ አየር ዩኬ የሻይ ማንኪያው
pressure	megapascals	nominative	{0} ሜጋፓስካል	የዩኬ 1 ሜጋፓስካል የሻይ ማንኪያ	{0} ሜጋፓስካሎች	የዩኬ 3 ሜጋፓስካሎች የሻይ ማንኪያ
pressure	megapascals	accusative	{0} ሜጋፓስካል	1 ሜጋፓስካል ዩኬ የሻይ ማንኪያው	{0} ሜጋፓስካሎች	3 ሜጋፓስካሎች ዩኬ የሻይ ማንኪያው
resolution	pixel-per-centimeter • ( = 1 dpcm)	nominative	{0} ፒበሴሜ	የዩኬ 1 ፒበሴሜ የሻይ ማንኪያ	{0} ፒበሴሜ	የዩኬ 3 ፒበሴሜ የሻይ ማንኪያ
resolution	pixel-per-centimeter • ( = 1 dpcm)	accusative	{0} ፒበሴሜ	1 ፒበሴሜ ዩኬ የሻይ ማንኪያው	{0} ፒበሴሜ	3 ፒበሴሜ ዩኬ የሻይ ማንኪያው
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	nominative	{0} ኪሎሜትር በሰዓት	የዩኬ 1 ኪሎሜትር በሰዓት የሻይ ማንኪያ	{0} ኪሎሜትር በሰዓት	የዩኬ 3 ኪሎሜትር በሰዓት የሻይ ማንኪያ
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	accusative	{0} ኪሎሜትር በሰዓት	1 ኪሎሜትር በሰዓት ዩኬ የሻይ ማንኪያው	{0} ኪሎሜትር በሰዓት	3 ኪሎሜትር በሰዓት ዩኬ የሻይ ማንኪያው
speed	meters per second	nominative	{0} ሜትር በሰከንድ	የዩኬ 1 ሜትር በሰከንድ የሻይ ማንኪያ	{0} ሜትር በሰከንድ	የዩኬ 3 ሜትር በሰከንድ የሻይ ማንኪያ
speed	meters per second	accusative	{0} ሜትር በሰከንድ	1 ሜትር በሰከንድ ዩኬ የሻይ ማንኪያው	{0} ሜትር በሰከንድ	3 ሜትር በሰከንድ ዩኬ የሻይ ማንኪያው
substance-amount	items	nominative	{0} ንጥል	የዩኬ 1 ንጥል የሻይ ማንኪያ	{0} ንጥሎች	የዩኬ 3 ንጥሎች የሻይ ማንኪያ
substance-amount	items	accusative	{0} ንጥል	1 ንጥል ዩኬ የሻይ ማንኪያው	{0} ንጥሎች	3 ንጥሎች ዩኬ የሻይ ማንኪያው
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	nominative	{0} mol	የዩኬ 1 mol የሻይ ማንኪያ	{0} mol	የዩኬ 3 mol የሻይ ማንኪያ
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	accusative	{0} mole	1 mole ዩኬ የሻይ ማንኪያው	{0} moles	3 moles ዩኬ የሻይ ማንኪያው
temperature	°	nominative	{0}°	የዩኬ 1° የሻይ ማንኪያ	{0}°	የዩኬ 3° የሻይ ማንኪያ
temperature	°	accusative	{0}°	1° ዩኬ የሻይ ማንኪያው	{0}°	3° ዩኬ የሻይ ማንኪያው
temperature	celsius • ( = 1 K)	nominative	{0} ዲግሪ ሴልሺየስ	የዩኬ 1 ዲግሪ ሴልሺየስ የሻይ ማንኪያ	{0} ዲግሪ ሴልሺየስ	የዩኬ 3 ዲግሪ ሴልሺየስ የሻይ ማንኪያ
temperature	celsius • ( = 1 K)	accusative	{0} ዲግሪ ሴልሺየስ	1 ዲግሪ ሴልሺየስ ዩኬ የሻይ ማንኪያው	{0} ዲግሪ ሴልሺየስ	3 ዲግሪ ሴልሺየስ ዩኬ የሻይ ማንኪያው
temperature	kelvins	nominative	{0} K	የዩኬ 1 K የሻይ ማንኪያ	{0} K	የዩኬ 3 K የሻይ ማንኪያ
temperature	kelvins	accusative	{0} ኬልቪን	1 ኬልቪን ዩኬ የሻይ ማንኪያው	{0} ኬልቪኖች	3 ኬልቪኖች ዩኬ የሻይ ማንኪያው
typewidth	typographic ems	nominative	{0} em	የዩኬ 1 em የሻይ ማንኪያ	{0} em	የዩኬ 3 em የሻይ ማንኪያ
typewidth	typographic ems	accusative	{0} em	1 em ዩኬ የሻይ ማንኪያው	{0} em	3 em ዩኬ የሻይ ማንኪያው
voltage	volts	nominative	{0} V	የዩኬ 1 V የሻይ ማንኪያ	{0} V	የዩኬ 3 V የሻይ ማንኪያ
voltage	volts	accusative	{0} ቮልት	1 ቮልት ዩኬ የሻይ ማንኪያው	{0} ቮልቶች	3 ቮልቶች ዩኬ የሻይ ማንኪያው
volume	cubic-centimeter • ( = 1 mL)	nominative	{0} ሴሜ³	የዩኬ 1 ሴሜ³ የሻይ ማንኪያ	{0} ሴሜ³	የዩኬ 3 ሴሜ³ የሻይ ማንኪያ
volume	cubic-centimeter • ( = 1 mL)	accusative	{0} ሴሜ³	1 ሴሜ³ ዩኬ የሻይ ማንኪያው	{0} ሴሜ³	3 ሴሜ³ ዩኬ የሻይ ማንኪያው
volume	milliliters	nominative	{0} ሚሊ ሊትር	የዩኬ 1 ሚሊ ሊትር የሻይ ማንኪያ	{0} ሚሊ ሊትር	የዩኬ 3 ሚሊ ሊትር የሻይ ማንኪያ
volume	milliliters	accusative	{0} ሚሊ ሊትር	1 ሚሊ ሊትር ዩኬ የሻይ ማንኪያው	{0} ሚሊ ሊትር	3 ሚሊ ሊትር ዩኬ የሻይ ማንኪያው
volume	centiliters	nominative	{0} ሴንቲ ሊትር	የዩኬ 1 ሴንቲ ሊትር የሻይ ማንኪያ	{0} ሴንቲ ሊትር	የዩኬ 3 ሴንቲ ሊትር የሻይ ማንኪያ
volume	centiliters	accusative	{0} ሴንቲ ሊትር	1 ሴንቲ ሊትር ዩኬ የሻይ ማንኪያው	{0} ሴንቲ ሊትር	3 ሴንቲ ሊትር ዩኬ የሻይ ማንኪያው
volume	deciliters	nominative	{0} ዴሲ ሊትር	የዩኬ 1 ዴሲ ሊትር የሻይ ማንኪያ	{0} ዴሲ ሊትር	የዩኬ 3 ዴሲ ሊትር የሻይ ማንኪያ
volume	deciliters	accusative	{0} ዴሲ ሊትር	1 ዴሲ ሊትር ዩኬ የሻይ ማንኪያው	{0} ዴሲ ሊትር	3 ዴሲ ሊትር ዩኬ የሻይ ማንኪያው
volume	cup-metric • ( = 2.5 dL)	nominative	{0} mc	የዩኬ 1 mc የሻይ ማንኪያ	{0} mc	የዩኬ 3 mc የሻይ ማንኪያ
volume	cup-metric • ( = 2.5 dL)	accusative	{0} mc	1 mc ዩኬ የሻይ ማንኪያው	{0} mc	3 mc ዩኬ የሻይ ማንኪያው
volume	pint-metric • ( = 5 dL)	nominative	{0} mpt	የዩኬ 1 mpt የሻይ ማንኪያ	{0} mpt	የዩኬ 3 mpt የሻይ ማንኪያ
volume	pint-metric • ( = 5 dL)	accusative	{0} ሜትሪክ ፒንት	1 ሜትሪክ ፒንት ዩኬ የሻይ ማንኪያው	{0} ሜትሪክ ፒንቶች	3 ሜትሪክ ፒንቶች ዩኬ የሻይ ማንኪያው
volume	liters	nominative	{0} ሊትር	የዩኬ 1 ሊትር የሻይ ማንኪያ	{0} ሊትር	የዩኬ 3 ሊትር የሻይ ማንኪያ
volume	liters	accusative	{0} ሊትር	1 ሊትር ዩኬ የሻይ ማንኪያው	{0} ሊትር	3 ሊትር ዩኬ የሻይ ማንኪያው
volume	hectoliters	nominative	{0} hL	የዩኬ 1 hL የሻይ ማንኪያ	{0} hL	የዩኬ 3 hL የሻይ ማንኪያ
volume	hectoliters	accusative	{0} ሄሊ	1 ሄሊ ዩኬ የሻይ ማንኪያው	{0} ሄሊ	3 ሄሊ ዩኬ የሻይ ማንኪያው
volume	cubic meters	nominative	{0} ሜ³	የዩኬ 1 ሜ³ የሻይ ማንኪያ	{0} ሜ³	የዩኬ 3 ሜ³ የሻይ ማንኪያ
volume	cubic meters	accusative	{0} ሜ³	1 ሜ³ ዩኬ የሻይ ማንኪያው	{0} ሜ³	3 ሜ³ ዩኬ የሻይ ማንኪያው
volume	megaliters	nominative	{0} ML	የዩኬ 1 ML የሻይ ማንኪያ	{0} ML	የዩኬ 3 ML የሻይ ማንኪያ
volume	megaliters	accusative	{0} ሜሊ	1 ሜሊ ዩኬ የሻይ ማንኪያው	{0} ሜሊ	3 ሜሊ ዩኬ የሻይ ማንኪያው
volume	cubic kilometers	nominative	{0} ኩቢክ ኪሎሜትር	የዩኬ 1 ኩቢክ ኪሎሜትር የሻይ ማንኪያ	{0} ኩቢክ ኪሎሜትር	የዩኬ 3 ኩቢክ ኪሎሜትር የሻይ ማንኪያ
volume	cubic kilometers	accusative	{0} ኩቢክ ኪሎሜትር	1 ኩቢክ ኪሎሜትር ዩኬ የሻይ ማንኪያው	{0} ኩቢክ ኪሎሜትር	3 ኩቢክ ኪሎሜትር ዩኬ የሻይ ማንኪያው
year-duration	month • ( = 0.08˙3 yrs)	nominative	{0} ወር	የዩኬ 1 ወር የሻይ ማንኪያ	{0} ወራት	የዩኬ 3 ወራት የሻይ ማንኪያ
year-duration	month • ( = 0.08˙3 yrs)	accusative	{0} ወር	1 ወር ዩኬ የሻይ ማንኪያው	{0} ወራት	3 ወራት ዩኬ የሻይ ማንኪያው
year-duration	years	nominative	{0} ዓመት	የዩኬ 1 ዓመት የሻይ ማንኪያ	{0} ዓመታት	የዩኬ 3 ዓመታት የሻይ ማንኪያ
year-duration	years	accusative	{0} ዓመት	1 ዓመት ዩኬ የሻይ ማንኪያው	{0} ዓመታት	3 ዓመታት ዩኬ የሻይ ማንኪያው
year-duration	decades	nominative	{0} ዓሠርተ-ዓመት	የዩኬ 1 ዓሠርተ-ዓመት የሻይ ማንኪያ	{0} ዓሠርተ-ዓመታት	የዩኬ 3 ዓሠርተ-ዓመታት የሻይ ማንኪያ
year-duration	decades	accusative	{0} ዓሠርተ-ዓመት	1 ዓሠርተ-ዓመት ዩኬ የሻይ ማንኪያው	{0} ዓሠርተ-ዓመታት	3 ዓሠርተ-ዓመታት ዩኬ የሻይ ማንኪያው
year-duration	centuries	nominative	{0} ምዕተ ዓመት	የዩኬ 1 ምዕተ ዓመት የሻይ ማንኪያ	{0} ምዕተ ዓመት	የዩኬ 3 ምዕተ ዓመት የሻይ ማንኪያ
year-duration	centuries	accusative	{0} ምዕተ ዓመት	1 ምዕተ ዓመት ዩኬ የሻይ ማንኪያው	{0} ምዕተ ዓመት	3 ምዕተ ዓመት ዩኬ የሻይ ማንኪያው

# Unit Power Components
#Unit	Case	Gender	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
